Level 	ID 6 	ID 12	ID 14 	ID 36 	ID 38	ID 46	ID74 	ID 78	ID 98	ID 102	ID 108	ID 238
A_P		3897				3370					4097	7242
A_C		10926		3396		7809					21626	25840
A_O		124492				108078			10314		189264	235245
A_F		516345				443967					928628	1214641
B_P		4187				6053					3161	14535
B_C		19631				20282					13395	67538
B_O		92550				118674	84834				63396	265481
B_F		296782				418899	438322				288641	1122675
C_P		8185				5361					3537	4709
C_C		49090				25546					25360	26465
C_O		192324				80745					129580	173178
C_F		637138				231282					590860	994237
