	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Proteobacteria	18054	9630	34974	30403	27354	14545	22826	28080	18813	18100	15275	22785
Bacteria unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Actinobacteria	1387	326	1316	2376	1510	1608	2523	2093	2155	2069	1867	2573
Firmicutes	261	1425	472	1339	340	393	2291	1175	1056	326	506	588
Cyanobacteria	593	173	1777	1362	827	94	900	550	1793	563	71	152
Bacteroidetes	579	1028	1483	690	1444	281	771	855	473	342	363	368
Planctomycetes	429	14	241	378	266	558	456	725	571	506	1026	845
Verrucomicrobia	188	98	327	234	237	306	279	415	356	168	359	527
Ascomycota	2	1	2	690	3	5	1087	253	313	800	3	2
Acidobacteria	269	2	104	276	153	160	298	215	204	271	186	309
Chloroflexi	76	2	48	149	143	233	220	240	385	184	355	408
Terrabacteria group unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Eukaryota unclassified	296	27	172	295	351	96	229	87	219	116	71	185
Euryarchaeota	88	248	32	35	51	98	38	201	63	50	145	153
Spirochaetes	34	74	235	10	146	74	62	186	148	51	70	75
Unclassified Bacteria unclassified	40	39	64	49	91	67	89	176	126	54	87	161
Deinococcus-Thermus	40	6	44	84	67	53	92	128	90	75	73	141
Gemmatimonadetes	67	0	20	108	40	36	77	77	66	128	73	105
Parcubacteria group unclassified	19	19	28	13	34	23	27	39	28	37	51	31
Bacteria candidate phyla unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Synergistetes	3	2	8	0	4	32	15	37	22	11	28	28
Armatimonadetes	13	1	4	15	4	6	3	24	9	17	32	47
Chlorobi	3	0	31	1	8	1	39	27	8	2	18	17
Archaea unclassified	5	0	3	2	4	29	4	16	24	25	6	36
Candidatus Rokubacteria	10	0	8	10	5	20	16	13	12	9	17	19
Thermotogae	2	4	16	1	5	2	8	73	3	4	10	10
Nitrospirae	6	2	2	12	3	8	24	11	15	19	14	11
Microgenomates group unclassified	7	1	6	16	9	16	14	11	4	16	11	10
Nitrospinae	16	0	0	10	0	0	8	15	1	17	1	19
PVC group unclassified	6	2	7	6	6	7	3	7	12	3	8	13
Cloacimonetes	2	2	9	4	8	2	8	11	9	2	11	10
