Sample	sulfur	carbon	oxygen	iron	nitrogen	<sulfur comp>	sulfur_1	sulfur_2	sulfur_3	sulfur_4	sulfur_5	sulfur_6	sulfur_7	sulfur_8	sulfur_9	sulfur_10	sulfur_11	sulfur_12	sulfur_13	sulfur_14	sulfur_15	sulfur_16	sulfur_17	sulfur_18	sulfur_19	sulfur_20	sulfur_21	sulfur_22	sulfur_23	sulfur_24	sulfur_25	sulfur_26	sulfur_27	sulfur_28	sulfur_29	<carbon comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
C_Autumn_13	8.714	35.156	6.853	9.391	19.180	84.8	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	72.4	100.0	100.0	100.0	71.4	68.8	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	61.1	87.5	58.3	100.0	36.4	75.0	50.0	92.9	66.7	28.6	100.0	37.5	0.0
B_Autumn_13	8.535	42.132	6.839	9.391	19.226	87.6	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	65.5	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	57.1	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	63.3	87.5	58.3	100.0	45.5	75.0	50.0	92.9	100.0	28.6	84.6	37.5	0.0
C_Spring_13	8.262	33.394	6.839	9.391	18.785	87.3	100.0	60.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	56.2	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	91.7	64.0	87.5	58.3	100.0	36.4	100.0	50.0	85.7	100.0	28.6	84.6	37.5	0.0
C_Autumn_12	9.085	29.336	6.839	9.391	19.048	89.2	100.0	80.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	75.9	100.0	100.0	100.0	71.4	81.2	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	60.5	87.5	58.3	100.0	27.3	100.0	50.0	85.7	66.7	28.6	84.6	37.5	0.0
A_Autumn_13	8.901	42.838	6.839	9.391	19.226	88.3	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	72.4	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	66.0	87.5	58.3	100.0	45.5	100.0	50.0	92.9	100.0	28.6	92.3	37.5	0.0
B_Spring_13	8.989	35.881	6.839	9.391	19.226	89.2	100.0	80.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	81.2	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	61.9	87.5	58.3	100.0	36.4	100.0	50.0	92.9	66.7	28.6	84.6	37.5	0.0
C_Spring_14	8.901	37.170	6.839	9.391	19.226	88.3	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	72.4	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	65.3	87.5	58.3	100.0	36.4	100.0	50.0	92.9	100.0	28.6	92.3	37.5	0.0
A_Autumn_12	8.505	36.301	6.839	9.391	19.031	84.7	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	72.4	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	63.8	87.5	58.3	100.0	36.4	75.0	50.0	92.9	100.0	28.6	100.0	37.5	0.0
A_Spring_13	8.696	33.383	6.839	9.391	19.650	84.7	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	69.0	100.0	100.0	100.0	71.4	81.2	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	62.4	87.5	58.3	100.0	27.3	75.0	50.0	92.9	100.0	28.6	92.3	37.5	0.0
A_Spring_14	8.763	40.041	6.554	9.391	18.946	85.0	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	69.0	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	65.3	87.5	58.3	100.0	36.4	100.0	50.0	92.9	100.0	28.6	92.3	37.5	0.0
B_Spring_14	8.763	40.041	6.554	9.391	18.826	85.0	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	69.0	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	65.3	87.5	58.3	100.0	36.4	100.0	50.0	92.9	100.0	28.6	92.3	37.5	0.0
