
	7	5	3	9	11	10	1	4	6	8	12	2
PF00037	586	600	646	724	570	601	440	362	856	1062	1172	272
PF00067	116	58	38	78	77	79	58	167	27	32	36	7
PF00115	189	168	132	175	183	191	149	212	97	162	149	37
PF00116	41	20	22	36	36	38	34	59	25	27	16	10
PF00117	334	272	275	362	253	261	238	325	247	344	372	120
PF00120	148	140	133	151	138	143	123	180	122	160	173	48
PF00142	87	103	107	111	62	71	72	112	69	89	85	53
PF00146	135	105	83	119	94	99	107	121	101	103	155	29
PF00148	139	151	177	185	90	90	89	148	69	133	106	64
PF00173	7	7	5	3	5	6	7	3	4	4	4	1
PF00174	57	30	38	59	40	41	48	76	36	31	37	11
PF00175	71	85	72	75	68	68	48	55	65	95	92	34
PF00194	6	4	3	13	6	5	4	12	3	2	6	
PF00208	116	84	89	117	100	102	92	95	96	107	143	32
PF00296	90	37	25	77	119	122	67	146	26	35	45	10
PF00310	90	70	78	91	80	86	61	94	52	79	78	28
PF00329	54	39	45	47	51	55	55	66	52	60	61	15
PF00346	122	76	74	108	76	80	92	100	87	85	126	36
PF00361	501	383	377	508	423	426	401	492	333	453	503	128
PF00374	78	76	78	105	62	64	53	75	70	88	140	12
PF00384	235	211	240	209	210	211	174	223	209	277	301	74
PF00420	80	76	86	86	57	58	57	67	68	77	73	30
PF00441	292	270	260	251	303	309	243	349	260	300	369	77
PF00484	43	23	29	28	37	39	25	37	24	22	24	5
PF00499	46	35	32	55	34	35	46	48	43	33	58	15
PF00507	48	36	27	40	32	33	39	58	30	49	39	9
PF00662	78	45	61	64	41	42	35	66	39	61	73	24
PF00696	272	208	250	271	215	228	181	232	208	265	297	94
PF00795	252	207	226	256	216	224	218	259	179	298	271	82
PF00871	81	69	106	98	66	69	58	78	98	116	109	51
PF00970	40	40	52	36	24	24	18	46	38	53	46	21
PF00988	41	44	39	48	34	36	24	46	29	48	52	9
PF01011	204	154	110	233	252	257	189	216	289	279	403	34
PF01058	93	83	77	107	79	86	57	92	82	105	116	21
PF01077	72	52	39	77	54	56	43	75	50	69	80	13
PF01208	190	201	209	332	205	208	161	154	308	451	426	56
PF01266	367	357	389	365	331	351	259	436	329	425	429	155
PF01493	53	37	64	48	30	30	38	42	28	43	52	16
PF01515	104	113	121	92	71	74	73	108	108	131	113	49
PF01568	95	68	72	80	77	76	65	73	72	95	94	27
PF01571	126	98	133	142	118	124	90	153	84	125	127	57
PF01645	115	107	135	153	104	109	73	126	105	130	128	42
PF01913	5	1	1	6	1	1	5	4	1	1	2	2
PF01993	2				2	2				1		1
PF02007	1	4	1	2	5	5	2	2	8	3	4	
PF02142	87	59	78	87	64	68	58	72	84	84	102	34
PF02239	18	17	13	14	15	14	17	29	17	12	21	2
PF02289	4	3	1	8	7	7	7	4	4	3	5	1
PF02335	43	33	32	44	46	47	29	32	32	44	40	11
PF02552	3				1	1	2	1	2	1	10	1
PF02560	3	6	2	3	2	2	2	3	2	1	1	
PF02663	16	18	14	16	12	13	10	12	13	28	23	8
PF02665	14	16	24	25	19	19	18	15	22	31	35	2
PF02741	4	1		3	2	3	3	2		1	2	2
PF02771	245	156	206	181	208	212	167	291	176	236	310	58
PF02786	303	267	295	280	261	273	228	312	238	335	336	111
PF02787	49	40	53	47	37	37	40	55	48	62	69	23
PF02812	67	65	60	71	78	83	47	69	51	81	96	28
PF02975				1			1					
PF03060	76	56	72	79	66	68	57	63	70	89	84	35
PF03063	94	91	120	123	66	66	42	24	117	176	199	38
PF03069	17	17	20	12	12	14	20	17	11	14	21	12
PF03404	5	5	8	6	12	12	8	10	3	7	3	3
PF03460	41	35	36	46	40	40	29	60	28	36	46	11
PF03598	2	11	4	7	9	8	6	1	16	19	25	3
PF03599	18	29	26	26	22	23	22	13	40	40	62	14
PF03951	45	39	27	43	26	28	22	48	29	49	50	12
PF04060	25	29	35	36	17	18	14	13	42	76	50	19
PF04208	1	2		1	1	1	2		2		4	1
PF04210	1											
PF04211										1		
PF04267	4	8	9	2	3	3	2	9	2	8	3	5
PF04268	7	8	19	9	8	8	11	22	5	8	18	9
PF04324	24	16	23	32	27	28	14	23	28	22	40	18
PF04422	12	9	9	11	5	6	5	10	10	17	14	3
PF04432	23	24	13	20	12	14	12	14	16	37	23	8
PF04879	61	51	64	45	49	52	46	47	52	70	78	18
PF04898	82	54	51	76	51	51	43	66	35	49	63	25
PF05088	75	42	40	36	51	52	38	101	19	29	32	19
PF05369	1	2	2	3	5	5	2	1	5	12	12	1
PF05440										2		
PF06253	55	60	61	83	71	75	64	51	110	136	162	16
PF06433	2			3	5	5	2	1			2	1
PF07732	13	1	8	15	12	12	5	9	1	6	5	1
PF07969	211	183	187	183	200	201	171	234	168	200	271	72
PF07992	864	782	824	887	682	736	585	746	847	1157	1159	373
PF08669	56	48	52	64	42	44	50	73	42	49	45	23
PF09505	1	1	2		1	1			2		2	
PF09723	39	37	42	47	37	49	27	25	48	86	74	5
PF11844	2	4	4	8			4	4	1	2	1	2
PF12176	2	9	10	8	3	3	2	2	7	10	13	5
PF12800	126	144	141	149	140	151	122	76	176	245	251	58
PF12838	422	420	462	496	400	420	320	288	577	712	771	193
PF13187	313	341	360	386	319	340	245	202	466	573	630	163
PF13247	85	81	79	73	69	68	54	50	97	102	116	21
PF13360	187	140	104	212	249	253	164	187	262	268	367	34
PF13442	112	87	75	80	84	92	86	119	46	73	97	22
PF13447	14	20	10	23	14	14	6	3	24	35	30	4
PF13484	141	151	160	183	129	141	133	93	187	247	249	84
PF13510	78	77	99	108	64	67	58	61	87	131	139	48
PF13522	172	136	120	183	136	142	126	152	132	188	186	52
PF13806	20	11	12	24	15	17	18	24	4	16	22	5
PF14691	85	73	100	80	81	82	44	50	97	136	172	35
PF14710	4	4	3		2	2	2	1	1	3	1	1
PF14711	6	3	7	4	3	3	5	3	2	4	3	1
