Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Alphaproteobacteria	11495	4826	19673	20831	11955	6438	11017	9039	9737	9088	4364	9475
Deltaproteobacteria	2094	988	8428	2488	7944	3374	4496	11028	3470	2789	6461	5558
Gammaproteobacteria	2033	3179	4055	3076	4874	2239	3272	4880	2732	2662	2138	3466
Bacteria unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Actinobacteria	1307	308	1222	2168	1360	1490	2376	1871	1961	1886	1744	2314
Betaproteobacteria	1334	282	1383	2340	1237	1209	2433	1563	1339	2080	1017	1982
Proteobacteria unclassified	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Cyanobacteria unclassified	585	173	1777	1336	818	88	890	550	1776	550	71	152
Bacilli	120	113	174	1168	124	113	2020	411	753	135	129	218
Bacteroidia	243	791	430	124	943	174	306	517	220	156	226	200
Clostridia	94	1271	220	111	126	195	183	643	222	121	261	257
Phycisphaerae	175	11	121	134	104	221	208	314	229	205	384	353
Eurotiomycetes	0	0	1	658	0	0	1062	247	296	1	0	0
Terrabacteria group unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Eukaryota unclassified	296	27	172	295	351	96	229	87	219	116	71	185
Planctomycetia	155	1	57	207	95	189	158	219	225	166	242	230
Bacteroidetes unclassified	108	77	388	166	137	64	164	148	123	94	83	113
Planctomycetes unclassified	99	2	63	37	67	148	90	192	117	135	400	262
Verrucomicrobia unclassified	83	42	131	90	113	122	117	175	171	75	185	202
Cytophagia	128	87	514	157	156	9	96	44	34	26	16	19
Acidobacteria unclassified	122	1	57	142	73	84	135	115	108	129	97	114
Spirochaetia	33	74	234	9	146	73	62	186	148	51	70	74
Opitutae	62	47	131	66	80	110	87	112	105	62	92	167
Anaerolineae	35	0	16	55	32	120	82	106	154	89	197	214
Unclassified Bacteria unclassified	40	39	64	49	91	67	89	176	126	54	87	161
Flavobacteriia	89	54	114	115	111	33	136	93	67	41	36	32
Deinococci	40	6	44	84	67	53	92	128	90	75	73	141
Verrucomicrobiae	43	9	65	78	44	74	75	128	80	31	82	158
Sordariomycetes	0	0	1	3	0	1	3	2	1	797	1	1
Gemmatimonadetes	67	0	20	108	40	36	77	77	66	128	73	105
Actinobacteria unclassified	53	11	37	88	62	48	47	102	84	73	59	115
Firmicutes unclassified	41	37	59	45	60	55	60	85	48	42	80	71
Acidobacteriia	62	1	9	73	17	35	70	31	46	72	24	97
Methanomicrobia	8	233	9	5	12	6	4	136	7	4	50	10
Solibacteres	73	0	20	48	42	23	82	34	30	47	35	50
Chloroflexia	3	2	12	40	47	12	65	48	134	35	21	56
Sphingobacteriia	11	19	37	128	97	1	69	53	29	25	2	4
Halobacteria	69	7	17	29	24	28	28	35	34	35	35	66
Thermoleophilia	14	1	17	50	34	27	42	50	52	38	25	57
Chloroflexi unclassified	26	0	17	21	28	34	26	48	30	33	44	47
Parcubacteria group unclassified	19	19	28	13	34	23	27	39	28	37	51	31
Coriobacteriia	11	6	18	24	15	21	36	31	24	18	27	40
Holophagae	12	0	18	13	21	18	11	35	20	23	30	40
Acidimicrobiia	2	0	3	37	29	22	9	22	28	44	2	33
Bacteria candidate phyla unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Synergistia	3	2	8	0	4	31	15	36	22	11	28	28
Negativicutes	6	2	13	12	12	19	12	23	21	14	17	27
Thermoplasmata	8	1	1	0	8	40	0	9	10	1	41	53
Armatimonadetes unclassified	13	1	4	15	4	6	3	24	9	6	32	47
Caldilineae	6	0	0	13	14	18	16	16	21	12	16	26
Chlorobia	3	0	31	1	8	1	39	27	8	2	18	17
Archaea unclassified	5	0	3	2	4	29	4	16	24	25	6	36
Epsilonproteobacteria	9	12	16	7	21	8	16	19	13	9	11	13
Dehalococcoidia	6	0	1	2	3	24	10	7	10	4	48	30
Candidatus Rokubacteria unclassified	10	0	8	10	5	20	16	13	12	9	17	19
Thermotogae	2	4	16	1	5	2	7	73	3	4	10	9
Thermomicrobia	0	0	2	10	10	20	8	15	15	11	15	21
Microgenomates group unclassified	7	1	6	16	9	16	14	11	4	16	11	10
Nitrospira	5	2	2	11	2	8	22	9	14	16	13	9
Limnochordia	0	0	6	0	16	9	13	12	9	13	16	14
Euryarchaeota unclassified	2	5	4	0	4	19	3	16	7	8	16	16
Gloeobacteria	8	0	0	26	9	6	10	0	17	13	0	0
Nitrospinia	16	0	0	10	0	0	8	15	1	17	1	19
Ardenticatenia	0	0	0	8	9	5	12	0	21	0	14	14
PVC group unclassified	6	2	7	6	6	7	3	7	12	3	8	13
Cloacimonetes unclassified	2	2	9	4	8	2	8	11	9	2	11	10
Patescibacteria group unclassified	2	4	7	4	3	5	2	9	6	8	5	14
FCB group unclassified	7	0	1	4	3	2	14	18	3	2	3	10
Nanoarchaeota unclassified	1	1	3	0	4	9	5	14	6	8	6	9
Leotiomyceta unclassified	0	0	0	23	0	2	19	4	15	2	0	0
Candidatus Moranbacteria unclassified	4	2	6	5	4	5	5	10	8	6	3	6
Candidate division NC10 unclassified	0	0	0	0	0	17	0	0	7	0	16	22
Rubrobacteria	0	0	8	0	0	0	2	17	0	10	10	9
Marinimicrobia unclassified	1	4	3	8	4	2	7	4	6	3	8	5
Chlamydiia	8	2	8	6	6	2	8	2	3	5	1	4
Omnitrophica unclassified	0	0	1	0	1	17	0	0	4	0	11	19
Nitriliruptoria	0	0	11	9	10	0	11	0	6	0	0	5
Fusobacteriia	7	8	6	3	5	4	3	1	3	4	2	5
Bacteroidetes/Chlorobi group unclassified	2	1	4	15	4	0	9	4	5	2	2	2
Candidatus Uhrbacteria unclassified	1	2	3	2	5	7	5	6	5	7	2	4
Thaumarchaeota unclassified	2	0	1	9	0	4	5	5	0	7	4	6
Candidatus Peregrinibacteria unclassified	2	5	3	3	1	3	6	1	3	5	1	6
Candidatus Falkowbacteria unclassified	0	0	3	2	3	5	2	2	3	5	1	9
Candidatus Atribacteria unclassified	1	1	2	0	2	1	1	12	1	0	9	4
Candidatus Parcubacteria unclassified	1	1	1	0	1	7	2	0	0	0	0	16
Candidatus Magasanikbacteria unclassified	0	2	0	1	1	1	1	4	1	3	7	7
Latescibacteria unclassified	0	0	5	1	0	0	1	3	0	1	11	5
Chrysiogenetes	0	0	0	0	0	4	0	10	0	0	8	4
Candidatus Hydrogenedentes unclassified	1	0	2	1	2	1	2	4	3	5	2	2
Candidate division Zixibacteria unclassified	1	0	0	1	2	1	1	1	0	1	16	1
Ignavibacteria	0	0	0	0	0	13	0	0	0	11	0	0
Candidatus Nomurabacteria unclassified	2	2	3	2	1	0	1	3	2	3	3	0
Candidatus Woesebacteria unclassified	0	0	2	2	3	2	4	1	2	1	0	4
Candidatus Aminicenantes unclassified	2	1	0	0	1	4	1	3	1	3	2	2
Mollicutes	0	6	2	2	1	0	2	4	1	1	0	1
Tissierellia	0	2	0	3	2	2	3	1	3	1	3	0
Candidatus Wolfebacteria unclassified	1	0	3	1	1	2	2	3	1	0	4	1
Candidatus Campbellbacteria unclassified	0	5	2	1	4	1	0	3	1	0	1	1
Candidatus Acetothermia unclassified	0	0	0	0	0	0	0	0	0	0	10	8
Dikarya unclassified	0	0	1	3	1	1	3	3	2	0	0	3
Methanobacteria	0	2	0	1	2	2	2	3	2	1	0	2
Aquificae	0	0	3	1	3	1	2	1	0	0	1	5
Unclassified Archaea unclassified	0	0	0	0	0	0	0	0	0	0	17	0
Candidate division WWE3 unclassified	1	0	1	3	1	3	1	1	1	1	0	2
Candidatus Beckwithbacteria unclassified	0	1	1	2	0	0	3	1	1	0	3	3
Candidatus Amesbacteria unclassified	0	1	0	0	2	4	1	1	2	1	1	2
Candidatus Kaiserbacteria unclassified	0	0	0	3	1	0	0	6	0	0	2	3
Nitrospirae unclassified	1	0	0	1	1	0	2	2	1	3	1	2
Candidate division CPR2 unclassified	1	0	1	3	0	1	2	0	2	1	3	0
Candidatus Roizmanbacteria unclassified	0	0	1	1	0	2	1	2	1	2	3	1
Thermococci	1	0	0	0	0	3	1	0	2	1	1	4
Candidatus Daviesbacteria unclassified	0	1	1	0	1	2	0	3	1	1	2	0
Thermoprotei	0	0	2	0	1	1	0	0	2	0	1	5
Fibrobacteria	1	0	0	1	1	1	2	0	1	2	1	1
Candidatus Fervidibacteria unclassified	1	1	1	0	0	1	2	0	1	0	1	3
Candidatus Pacebacteria unclassified	1	0	0	2	1	1	2	2	0	1	1	0
Candidatus Azambacteria unclassified	0	1	1	2	1	3	1	0	0	1	0	1
Fimbriimonadia	0	0	0	0	0	0	0	0	0	11	0	0
Delta/epsilon subdivisions unclassified	0	0	1	0	2	1	0	2	2	0	1	1
Dothideomycetes	1	0	0	4	0	1	2	0	0	0	2	0
Candidatus Collierbacteria unclassified	0	1	0	2	0	1	1	0	1	1	1	2
Candidatus Gottesmanbacteria unclassified	0	0	0	2	2	1	0	1	1	0	1	1
Candidatus Shapirobacteria unclassified	0	0	0	1	0	2	2	1	1	0	1	1
Candidatus Peribacteria	1	0	1	0	1	2	2	0	0	0	0	1
Candidatus Adlerbacteria unclassified	0	1	1	1	1	0	0	1	1	1	1	0
Methanococci	0	0	1	0	1	0	0	2	1	0	2	1
Candidatus Jorgensenbacteria unclassified	0	0	1	1	0	0	1	2	0	0	2	1
Blastocatellia	0	0	0	0	0	0	0	0	0	0	0	8
Candidatus Poribacteria unclassified	2	0	0	0	1	0	0	1	1	1	0	1
Zetaproteobacteria	0	0	0	0	1	0	1	2	1	1	0	1
Chlamydiae unclassified	1	0	2	0	0	1	1	1	0	0	0	0
Saccharomyceta unclassified	1	0	0	1	2	1	0	0	1	0	0	0
Spirochaetes unclassified	1	0	1	1	0	1	0	0	0	0	0	1
Candidatus Saccharibacteria unclassified	0	0	0	0	3	0	0	0	0	1	1	0
Candidatus Berkelbacteria unclassified	0	0	0	0	0	0	0	3	0	0	1	1
Crenarchaeota unclassified	1	0	0	0	1	1	1	0	0	0	0	0
Elusimicrobia unclassified	1	0	0	0	0	1	0	0	0	0	1	1
Candidate division CPR3 unclassified	0	0	1	0	0	2	0	1	0	0	0	0
Nitrososphaeria	0	0	1	0	0	0	0	0	2	0	0	1
Candidatus Giovannonibacteria unclassified	0	0	2	0	0	0	0	0	1	0	0	1
Candidatus Levybacteria unclassified	0	0	0	0	0	1	0	0	0	1	0	2
Fungi unclassified	0	0	0	1	0	0	0	0	1	0	0	1
Basidiomycota unclassified	0	0	0	0	0	0	0	0	1	0	1	1
Candidatus Curtissbacteria unclassified	0	0	0	1	1	0	0	0	1	0	0	0
Agaricomycetes	0	0	0	0	1	0	0	0	1	0	0	1
Ascomycota unclassified	0	1	0	1	0	0	0	0	0	0	0	0
Thermotogae unclassified	0	0	0	0	0	0	1	0	0	0	0	1
Synergistetes unclassified	0	0	0	0	0	1	0	1	0	0	0	0
TACK group unclassified	1	0	0	0	0	0	0	0	0	0	1	0
Apicomplexa unclassified	0	0	0	1	0	0	1	0	0	0	0	0
Coccidia	0	0	1	0	1	0	0	0	0	0	0	0
Thermodesulfobacteria	0	0	1	0	0	0	0	0	0	0	0	1
Aconoidasida	0	0	1	0	0	0	0	0	0	1	0	0
Candidatus Bathyarchaeota unclassified	0	0	0	0	1	0	0	0	0	0	1	0
Candidatus Diapherotrites unclassified	0	0	0	0	0	0	0	1	0	0	1	0
Dictyoglomia	0	0	0	0	0	0	0	0	1	0	1	0
Fibrobacteres unclassified	0	1	0	0	0	0	0	0	0	0	0	0
Sordariomyceta unclassified	0	0	0	0	0	0	1	0	0	0	0	0
Ustilaginomycetes	0	0	0	1	0	0	0	0	0	0	0	0
Saccharomycetes	0	0	0	0	1	0	0	0	0	0	0	0
Candidatus Calescamantes unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Ktedonobacteria	0	0	0	0	0	0	1	0	0	0	0	0
Lentisphaerae unclassified	0	0	0	0	0	0	0	0	1	0	0	0
Candidatus Yanofskybacteria unclassified	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Microgenomates unclassified	0	0	0	0	0	0	0	0	0	0	0	1
