	Sulfite oxidation	Thiosulfate oxidation	Tetrathionate oxidation	Tetrathionate reduction	Sulfate reduction DS	Elemental sulfur reduction	Thiosulfate disproportion	Alkanesulfonate degradation	Sulfate reduction Assimilative	Sulfide oxidation	Dimethylsulfone oxidation	Sulfacetate oxidation	Sulfolactate oxidation	DMS oxidation	DMSP oxidation	MTP oxidation	Suloacetaldehyde oxidation	Elemental sulfur oxidation	Elemental sulfur disproportion	Methanesulfonate oxidation	Taurine oxidation	Marker genes
s01_ANOV12	100	70	100	76.5	75	60	77.8	100	65	72.4	100	100	71.4	62.5	100	100	85.7	71.4	0	85.7	81.8	100
s02_BNOV12	100	70	100	76.5	75	60	77.8	100	65	69	100	100	71.4	68.8	100	100	85.7	57.1	0	85.7	81.8	100
s03_CNOV12	100	80	100	76.5	75	60	77.8	100	65	75.9	100	100	71.4	81.2	100	100	85.7	71.4	100	85.7	81.8	100
s04_AMAY13	100	70	100	76.5	75	60	77.8	100	65	69	100	100	71.4	81.2	100	100	85.7	57.1	0	85.7	81.8	100
s05_BMAY13	100	80	100	76.5	75	60	77.8	100	70	69	100	100	71.4	81.2	100	100	85.7	71.4	100	85.7	81.8	100
s06_CMAY13	100	60	100	76.5	75	60	77.8	100	70	69	100	100	71.4	56.2	100	100	85.7	71.4	100	85.7	81.8	91.7
s07_AOCT13	100	70	100	76.5	75	60	77.8	100	70	72.4	100	100	71.4	62.5	100	100	85.7	71.4	100	85.7	81.8	100
s08_BOCT13	100	70	100	76.5	75	60	77.8	100	70	65.5	100	100	71.4	62.5	100	100	85.7	57.1	100	85.7	81.8	100
s09_COCT13	100	70	100	76.5	75	60	77.8	100	70	72.4	100	100	71.4	68.8	91.7	100	85.7	71.4	0	85.7	81.8	100
s10_AMAY14	100	70	100	76.5	75	60	77.8	100	65	69	100	100	71.4	75	100	100	85.7	71.4	0	85.7	81.8	100
s11_BMAY14	100	70	100	76.5	75	60	77.8	100	65	69	100	100	71.4	75	100	100	85.7	71.4	0	85.7	81.8	100
s12_CMAY14	100	70	100	76.5	75	60	77.8	100	70	72.4	100	100	71.4	62.5	100	100	85.7	71.4	100	85.7	81.8	100

