Env	Meta	PF00034	PF00037	PF00005	PF13579	PF00534	PF01058	PF05239	PF00106	PF01613	PF13247	PF09459	PF10418	PF12139	PF01568	PF13360	PF00528	PF03404	PF00174	PF14306	PF00258	PF01547	PF12838	PF12831	PF07992	PF00890	PF02635	PF13193	PF04945	PF00557	PF00556	PF02826	PF00009	PF04173	PF04663	PF01553	PF04077	PF04879	PF13501	PF01292	PF13183	PF02662	PF05398	PF07682	PF06099	PF03916	PF07680	PF12798	PF00374	PF11511	PF13237	PF08669	PF00384	PF13442	PF00389	PF00205	PF00202	PF03967	PF09242	PF08770	PF02775	PF02776	PF00175	PF00171	PF07883	PF01370	PF02665	PF02910	PF01507	PF04358	PF01747	PF13746	PF00459	PF01571	PF01077	PF09084	PF01070	PF00124	PF10518	PF00501	PF03144	PF03460	PF00355	PF01583	PF00291	PF00111
air	4465825.3	32.0	13.0	245.0	17.0	52.0	4.0	0.0	227.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	36.0	0.0	2.0	0.0	0.0	18.0	12.0	17.0	106.0	88.0	2.0	37.0	2.0	27.0	0.0	43.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	10.0	6.0	17.0	33.0	10.0	15.0	0.0	0.0	0.0	23.0	12.0	0.0	0.0	39.0	101.0	0.0	7.0	5.0	0.0	0.0	4.0	27.0	13.0	10.0	10.0	23.0	0.0	8.0	90.0	31.0	10.0	17.0	8.0	55.0	11.0
air	4465946.3	75.0	42.0	744.0	54.0	176.0	15.0	0.0	583.0	33.0	2.0	0.0	0.0	0.0	6.0	0.0	161.0	0.0	9.0	0.0	0.0	51.0	44.0	91.0	429.0	282.0	9.0	75.0	14.0	66.0	0.0	93.0	187.0	0.0	0.0	0.0	0.0	13.0	1.0	34.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	46.0	19.0	39.0	34.0	49.0	27.0	55.0	2.0	1.0	4.0	41.0	30.0	0.0	0.0	54.0	301.0	5.0	12.0	37.0	0.0	0.0	13.0	74.0	42.0	25.0	29.0	87.0	0.0	18.0	253.0	104.0	20.0	44.0	17.0	209.0	51.0
air	4500755.3	0.0	5.0	68.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	8.0	0.0	6.0	1.0	4.0	0.0	13.0	17.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	1.0	6.0	0.0	21.0	0.0	0.0	0.0	5.0	12.0	0.0	64.0	4.0	8.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	7.0	1.0	1.0	0.0	0.0	0.0	50.0	3.0	5.0	4.0	3.0	3.0	7.0
air	4516366.3	0.0	1256.0	18858.0	0.0	2185.0	328.0	188.0	0.0	0.0	328.0	0.0	37.0	1.0	289.0	2.0	1007.0	123.0	738.0	80.0	0.0	0.0	160.0	266.0	1203.0	1710.0	7.0	1638.0	137.0	632.0	19.0	1750.0	4914.0	3.0	6.0	186.0	4.0	411.0	57.0	15.0	60.0	2.0	0.0	0.0	2.0	16.0	2.0	0.0	76.0	0.0	179.0	248.0	1140.0	42.0	560.0	197.0	3396.0	36.0	24.0	112.0	1398.0	1199.0	0.0	7677.0	779.0	1736.0	0.0	601.0	0.0	10.0	181.0	69.0	930.0	977.0	488.0	269.0	0.0	677.0	254.0	8998.0	545.0	607.0	959.0	643.0	526.0	365.0
air	4516402.3	0.0	4836.0	70119.0	0.0	7593.0	1143.0	616.0	0.0	0.0	1033.0	4.0	169.0	15.0	1036.0	17.0	3659.0	374.0	2337.0	242.0	0.0	0.0	658.0	954.0	4353.0	6596.0	8.0	5642.0	453.0	2326.0	40.0	6248.0	17201.0	14.0	8.0	652.0	5.0	1393.0	218.0	43.0	218.0	15.0	1.0	0.0	4.0	75.0	1.0	1.0	276.0	0.0	834.0	897.0	3853.0	155.0	2120.0	613.0	13305.0	65.0	73.0	365.0	4755.0	4331.0	0.0	28833.0	2713.0	6124.0	0.0	2057.0	0.0	51.0	618.0	234.0	3762.0	3554.0	1545.0	845.0	0.0	1235.0	917.0	28329.0	1800.0	1905.0	3231.0	2251.0	2302.0	1392.0
air	4516403.3	0.0	3531.0	50035.0	0.0	5465.0	825.0	516.0	0.0	0.0	666.0	3.0	227.0	1.0	602.0	9.0	2595.0	365.0	1454.0	259.0	0.0	0.0	452.0	671.0	3071.0	4341.0	14.0	3301.0	287.0	2139.0	24.0	4630.0	14644.0	9.0	3.0	538.0	8.0	741.0	88.0	16.0	115.0	21.0	1.0	0.0	3.0	32.0	3.0	0.0	173.0	0.0	682.0	529.0	2409.0	91.0	1502.0	475.0	8889.0	38.0	36.0	181.0	3211.0	2737.0	0.0	19759.0	1653.0	4506.0	0.0	1368.0	0.0	45.0	732.0	148.0	2200.0	2224.0	1171.0	682.0	0.0	1407.0	539.0	19641.0	1576.0	1384.0	1916.0	1512.0	1529.0	832.0
air	4516455.3	0.0	4844.0	68078.0	0.0	7456.0	1298.0	665.0	0.0	0.0	1040.0	9.0	161.0	1.0	981.0	12.0	3904.0	333.0	2517.0	274.0	0.0	0.0	630.0	1035.0	4480.0	6342.0	15.0	5620.0	449.0	2184.0	65.0	6064.0	17518.0	3.0	9.0	687.0	11.0	1327.0	184.0	43.0	213.0	29.0	1.0	0.0	4.0	49.0	1.0	1.0	289.0	0.0	827.0	817.0	3790.0	150.0	2083.0	661.0	12736.0	84.0	93.0	332.0	4813.0	4285.0	0.0	29154.0	2907.0	6506.0	0.0	1984.0	0.0	54.0	662.0	219.0	3410.0	3535.0	1593.0	860.0	0.0	1548.0	1019.0	28255.0	1857.0	2044.0	3351.0	2236.0	2231.0	1397.0
air	4516459.3	0.0	4765.0	66873.0	0.0	6574.0	1184.0	557.0	0.0	0.0	984.0	9.0	203.0	11.0	877.0	21.0	3549.0	420.0	2178.0	216.0	0.0	0.0	683.0	946.0	4064.0	6080.0	14.0	5077.0	441.0	2360.0	49.0	6508.0	17484.0	10.0	9.0	627.0	14.0	1126.0	177.0	43.0	210.0	32.0	0.0	0.0	2.0	45.0	2.0	4.0	248.0	1.0	860.0	834.0	3644.0	140.0	2079.0	600.0	13099.0	48.0	65.0	317.0	4500.0	3843.0	0.0	28782.0	2449.0	5830.0	0.0	1902.0	0.0	83.0	655.0	206.0	3308.0	3415.0	1346.0	909.0	0.0	806.0	924.0	27125.0	1829.0	1675.0	2927.0	2300.0	2055.0	1257.0
air	4516594.3	0.0	4011.0	57308.0	0.0	6200.0	956.0	526.0	0.0	0.0	953.0	13.0	139.0	8.0	852.0	17.0	3126.0	290.0	1936.0	218.0	0.0	0.0	520.0	840.0	3624.0	5309.0	12.0	4657.0	437.0	1859.0	48.0	5075.0	14340.0	7.0	9.0	519.0	7.0	1125.0	156.0	24.0	188.0	25.0	2.0	0.0	3.0	57.0	6.0	1.0	220.0	0.0	684.0	733.0	3402.0	125.0	1693.0	549.0	10533.0	75.0	71.0	278.0	3928.0	3521.0	0.0	23823.0	2221.0	5204.0	0.0	1712.0	0.0	52.0	564.0	187.0	2924.0	2967.0	1270.0	724.0	0.0	1298.0	807.0	23340.0	1552.0	1594.0	2636.0	1791.0	1775.0	1157.0
air	4516637.3	0.0	6070.0	87824.0	0.0	11465.0	1528.0	1056.0	0.0	0.0	1227.0	11.0	171.0	10.0	1324.0	22.0	4457.0	396.0	3255.0	360.0	0.0	0.0	818.0	1319.0	5695.0	8448.0	8.0	7217.0	586.0	2805.0	82.0	7839.0	21701.0	11.0	10.0	858.0	7.0	1782.0	292.0	48.0	254.0	22.0	2.0	1.0	5.0	85.0	5.0	0.0	420.0	2.0	1012.0	1121.0	4769.0	217.0	2680.0	854.0	16316.0	153.0	128.0	440.0	6011.0	5334.0	0.0	35598.0	3760.0	8263.0	0.0	2703.0	0.0	48.0	818.0	268.0	4862.0	4596.0	2194.0	1002.0	0.0	2350.0	1392.0	36576.0	2219.0	2775.0	4415.0	2963.0	2944.0	1897.0
