Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Rhodobacteraceae	5043	2441	9859	8742	5238	2026	3837	3564	3473	2620	1402	2698
Desulfobacteraceae	469	503	6503	153	5301	1150	1492	7730	1081	816	3526	1822
Bacteria_unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Proteobacteria_unclassified	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Alphaproteobacteria_unclassified	1123	446	1465	1821	1088	845	1197	942	1125	1105	622	1160
Nonspecific/Host	813	191	599	1031	1034	609	1293	749	2622	870	706	1137
Actinobacteria_unclassified1	648	148	612	927	669	772	1026	906	949	891	881	1148
Ectothiorhodospiraceae	324	1237	1335	327	1775	260	332	1796	286	280	433	358
Rhizobiales_unclassified	670	270	963	1184	678	486	718	595	641	752	367	693
Bradyrhizobiaceae	637	226	1221	1397	679	393	743	547	663	594	228	685
Rhodospirillaceae	521	239	898	969	611	432	721	525	599	665	285	740
Chromatiaceae	205	89	629	473	859	643	522	473	557	392	410	939
Desulfovibrionaceae	181	155	579	179	370	464	578	868	579	337	709	874
Sphingomonadaceae	393	97	678	1061	451	302	489	287	401	337	214	467
Methylobacteriaceae	368	160	746	739	449	288	477	401	382	375	206	513
Deltaproteobacteria_unclassified	304	38	314	326	368	449	449	517	362	383	583	676
Pseudomonadaceae	321	117	455	471	434	309	507	478	380	424	313	526
Rhizobiaceae	342	129	685	803	414	264	421	299	335	421	167	393
Phyllobacteriaceae	480	139	644	750	374	217	431	300	287	430	145	327
Gammaproteobacteria_unclassified	392	193	358	362	426	290	410	431	409	368	296	416
Bacillaceae	40	43	51	1028	34	25	1895	278	617	30	35	68
Chroococcales_unclassified	246	130	1287	449	497	27	276	341	512	165	28	62
Burkholderiales_unclassified	285	73	298	491	276	294	434	332	300	444	216	426
Betaproteobacteria_unclassified	266	53	260	437	252	281	449	267	251	399	238	454
Burkholderiaceae	254	61	245	376	251	240	354	281	257	341	198	349
Oscillatoriales_unclassified	191	9	320	580	190	19	398	97	893	246	3	37
Comamonadaceae	157	27	226	490	150	138	525	269	196	228	146	306
Aurantimonadaceae	270	103	396	438	262	127	214	209	228	256	61	229
Xanthomonadaceae	215	56	193	384	229	150	348	216	191	352	137	228
Myxococcales_unclassified	238	5	46	560	519	94	441	100	141	212	90	159
Hyphomonadaceae	280	155	242	370	258	60	341	298	210	200	12	115
Acetobacteraceae	205	71	273	335	239	182	208	193	190	215	130	297
Rhodospirillales_unclassified	196	73	273	377	156	230	167	146	187	201	112	262
Aspergillaceae	0	0	1	657	0	0	1061	247	296	1	0	0
Terrabacteria_group_unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Streptomycetaceae	142	36	136	224	175	147	225	203	191	224	206	267
Eukaryota_unclassified	294	27	172	295	351	96	227	87	219	116	69	185
Erythrobacteraceae	236	12	226	388	302	91	232	110	237	80	77	145
Halomonadaceae	112	200	265	131	273	69	129	529	91	135	58	139
Geobacteraceae	52	13	156	92	129	185	163	295	155	110	247	326
Desulfobulbaceae	40	3	209	49	193	157	191	300	157	92	223	296
Hyphomicrobiaceae	162	41	225	363	149	115	151	125	161	186	63	160
Unclassified_Gammaproteobacteria_unclassified	0	0	186	174	204	127	176	209	163	171	120	217
Marinilabiliaceae	142	690	95	0	555	6	57	127	34	5	16	9
Alteromonadaceae	85	1134	74	26	99	16	38	118	27	27	15	28
Caulobacteraceae	145	31	181	279	143	82	154	113	130	185	46	123
Planctomycetes_unclassified	99	2	63	37	67	148	90	192	117	135	400	262
Halanaerobiaceae	2	1153	42	1	4	0	1	379	0	0	18	0
Phycisphaerae_unclassified	88	0	65	46	44	155	85	220	130	117	319	254
Polyangiaceae	130	1	46	180	132	111	171	109	149	147	120	165
Methylocystaceae	105	64	192	195	90	98	139	94	106	129	59	117
Rhodocyclaceae	96	16	132	152	104	77	195	144	93	163	60	153
Microbacteriaceae	76	13	68	203	79	68	259	102	143	121	88	122
Enterobacteriaceae	61	28	91	162	82	89	208	127	149	109	88	117
Planctomycetaceae	89	1	34	142	58	129	100	151	115	123	170	151
Bacteroidetes_unclassified	82	67	372	110	110	29	131	79	80	49	33	51
Acidobacteria_unclassified	122	1	57	142	73	84	135	115	108	129	97	114
Nannocystaceae	130	0	15	278	276	32	214	32	55	69	24	41
Xanthobacteraceae	97	44	150	165	125	60	95	74	81	114	39	105
Spirochaetaceae	29	70	230	6	139	69	57	177	141	47	65	67
Unclassified_Bacteria_unclassified	40	39	64	49	91	67	89	176	126	54	87	161
Verrucomicrobia_unclassified	14	42	131	18	113	122	117	20	171	75	185	29
Mycobacteriaceae	76	28	69	128	76	78	98	87	83	109	85	110
Oxalobacteraceae	74	18	74	107	48	68	114	73	101	111	64	101
Opitutaceae	47	24	92	55	63	102	70	89	91	62	84	159
Phycisphaeraceae	87	11	56	88	60	66	123	94	99	88	65	99
Desulfarculaceae	36	17	89	27	53	106	56	131	65	53	126	154
Anaerolineaceae	31	0	14	54	30	107	67	92	130	77	138	154
Myxococcaceae	67	4	24	133	54	47	109	74	89	87	68	126
Clostridiales_unclassified	38	50	43	44	46	86	93	104	82	53	85	90
Hypocreaceae	0	0	0	0	0	0	1	1	0	796	0	1
Alcaligenaceae	59	16	82	105	67	37	85	95	52	65	50	82
Flavobacteriaceae	74	45	102	94	94	27	128	82	56	35	29	28
Gemmatimonadaceae	67	0	20	108	40	36	77	77	66	124	73	105
Actinobacteria_unclassified	53	11	37	88	62	48	47	102	84	73	59	115
