Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Actinobacteria unclassified_class_1760	648	148	612	927	669	772	1026	906	949	891	881	1148
Actinobacteria unclassified_phylum_201174	53	11	37	88	62	48	47	102	84	73	59	115
Gemmatimonadetes unclassified_class_219685	0	0	0	0	0	0	0	0	0	4	0	0
Thermotogae unclassified__188708	0	2	3	0	0	0	2	2	1	0	0	0
Thermotogae unclassified_phylum_200918	0	0	0	0	0	0	1	0	0	0	0	1
Acetobacteraceae	205	71	273	335	239	182	208	193	190	215	130	297
Acholeplasmataceae	0	1	0	1	0	0	0	2	0	0	0	1
Acholeplasmatales unclassified	0	0	0	0	0	0	1	0	0	0	0	0
Acidaminococcaceae	1	0	2	0	0	3	0	2	3	0	3	3
Acidimicrobiaceae	1	0	2	28	28	21	9	21	27	31	1	32
Acidimicrobiales unclassified	0	0	0	0	0	0	0	0	1	1	0	0
Acidimicrobiia unclassified	1	0	1	0	1	1	0	1	0	0	1	1
Acidithiobacillaceae	0	0	2	0	8	0	0	4	1	0	0	0
Acidithiobacillales unclassified	5	3	7	9	7	4	12	5	4	2	3	5
Acidobacteria unclassified	122	1	57	142	73	84	135	115	108	129	97	114
Acidobacteriaceae	62	1	9	73	17	35	70	31	46	72	24	97
Actinomycetaceae	11	4	15	14	17	19	16	28	18	20	18	20
Actinopolysporaceae	0	0	0	0	0	0	1	0	0	0	0	0
Aerococcaceae	1	0	0	0	1	1	0	0	0	1	0	0
Aeromonadaceae	31	16	66	51	50	41	52	58	47	42	47	76
Aeromonadales unclassified	0	0	0	0	0	0	0	0	0	0	1	0
Agaricales unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Agaricomycetes unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Akkermansiaceae	2	1	3	1	7	3	3	9	3	3	3	16
Alcaligenaceae	59	16	82	105	67	37	85	95	52	65	50	82
Alcanivoracaceae	11	7	7	4	14	9	22	15	24	12	6	16
Algiphilaceae	7	0	9	13	6	0	7	13	11	5	0	6
Alicyclobacillaceae	3	0	2	5	1	4	7	5	5	4	8	17
Alphaproteobacteria unclassified	1123	446	1465	1821	1088	845	1197	942	1125	1105	622	1160
Alteromonadaceae	85	1134	74	26	99	16	38	118	27	27	15	28
Alteromonadales unclassified	4	1	6	4	7	2	8	4	7	5	0	6
Amoebophilaceae	0	0	0	0	2	0	0	0	1	0	0	0
Anaerolineaceae	31	0	14	54	30	107	67	92	130	77	138	154
Anaerolineae unclassified	4	0	2	1	2	13	15	14	24	12	59	60
Anaeromyxobacteraceae	41	3	31	73	40	52	80	69	75	76	58	85
Anaplasmataceae	4	2	0	1	2	3	3	0	1	0	1	2
Apicomplexa unclassified	0	0	0	1	0	0	1	0	0	0	0	0
Aquificaceae	0	0	3	1	1	0	1	0	0	0	0	2
Archaea unclassified	5	0	3	2	4	29	4	16	24	25	6	36
Archaeoglobaceae	0	0	0	0	0	0	0	0	0	0	0	1
Ardenticatenaceae	0	0	0	8	9	5	12	0	21	0	14	14
Armatimonadetes unclassified	13	1	4	15	4	6	3	24	9	6	32	47
Ascomycota unclassified	0	1	0	1	0	0	0	0	0	0	0	0
Aspergillaceae	0	0	1	657	0	0	1061	247	296	1	0	0
Atopobiaceae	5	1	3	3	2	4	5	10	2	1	6	10
Aurantimonadaceae	270	103	396	438	262	127	214	209	228	256	61	229
Bacillaceae	40	43	51	1028	34	25	1895	278	617	30	35	68
Bacillales unclassified	25	22	29	43	21	27	38	31	38	17	26	53
Bacilli unclassified	10	6	7	10	9	3	8	6	4	4	6	2
Bacteria candidate phyla unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Bacteria unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Bacteriovoracaceae	0	0	1	0	0	0	0	0	0	0	0	0
Bacteroidaceae	41	15	81	32	94	66	66	82	48	62	92	71
Bacteroidales unclassified	22	23	102	24	89	54	70	117	49	28	49	49
Bacteroidetes unclassified	82	67	372	110	110	29	131	79	80	49	33	51
Bacteroidetes/Chlorobi group unclassified	2	1	4	15	4	0	9	4	5	2	2	2
Bacteroidia unclassified	3	1	1	3	2	3	1	2	5	0	2	1
Bartonellaceae	0	0	0	0	1	0	3	3	0	0	0	2
Basidiomycota unclassified	0	0	0	0	0	0	0	0	1	0	1	1
Bdellovibrionaceae	0	0	0	1	1	0	0	0	0	1	0	0
Bdellovibrionales unclassified	0	0	0	1	1	0	0	0	2	1	1	0
Beijerinckiaceae	43	23	105	123	54	37	74	53	54	62	33	58
Betaproteobacteria unclassified	266	53	260	437	252	281	449	267	251	399	238	454
Bifidobacteriaceae	2	1	12	10	4	14	5	12	11	2	12	7
Blastocatellia unclassified	0	0	0	0	0	0	0	0	0	0	0	8
Blattabacteriaceae	2	1	0	0	0	0	0	1	1	1	0	0
Borreliaceae	1	2	0	1	1	0	0	2	2	1	1	1
Botryosphaeriaceae	0	0	0	2	0	1	1	0	0	0	2	0
