Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Bacteria_unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Desulfatitalea	187	257	4791	59	3120	372	966	5216	267	499	2709	532
Proteobacteria_unclassified	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Rhodobacteraceae_unclassified	1315	713	2648	2241	1537	600	1044	1033	998	782	417	808
Nonspecific/Host	813	191	599	1031	1034	609	1293	749	2622	870	706	1137
Alphaproteobacteria_unclassified	938	360	1263	1479	919	737	1009	831	951	883	546	996
Actinobacteria_unclassified1	648	148	612	927	669	772	1026	906	949	891	881	1140
Paracoccus	597	378	1286	1014	671	239	431	431	431	303	160	393
Rhizobiales_unclassified	492	270	670	828	503	486	530	432	487	540	367	494
Desulfovibrio	153	136	513	153	322	408	525	775	509	296	642	780
Thioalkalivibrio	196	559	686	211	826	182	225	915	204	203	210	239
Pseudomonas	302	110	430	445	405	290	477	446	363	399	300	484
Methylobacterium	314	149	635	621	370	269	401	320	308	307	179	423
Gammaproteobacteria_unclassified	293	137	358	362	426	290	410	431	409	368	296	416
Rhodobacter	327	183	840	672	376	206	253	295	269	197	117	223
Bacillus	24	26	18	994	18	13	1859	237	590	14	15	25
Desulfotignum	76	166	667	4	1197	60	80	1110	94	32	127	72
Desulfococcus	104	9	555	22	633	349	62	531	265	54	201	591
Bradyrhizobium	245	68	555	624	253	150	329	186	230	257	114	261
Unclassified_Deltaproteobacteria_unclassified	204	1	145	214	208	259	283	278	196	243	323	399
Mesorhizobium	234	81	391	458	207	146	234	195	180	249	113	202
Roseovarius	235	114	453	456	277	91	194	181	149	167	72	121
Sphingomonas	167	48	357	551	188	122	238	128	199	152	106	212
Azospirillum	155	87	280	294	208	130	205	174	205	208	108	218
Aspergillus	0	0	0	657	0	0	1058	246	295	0	0	0
Terrabacteria_group_unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Rhizobium	161	40	329	396	172	131	198	136	138	204	84	170
Burkholderia	173	44	170	266	166	161	223	181	173	221	141	235
Eukaryota_unclassified	294	27	172	295	351	96	227	87	219	116	69	185
Bosea	183	62	299	324	211	114	192	159	144	158	39	215
Oceanicola	209	100	361	346	185	100	176	167	127	98	71	101
Jannaschia	205	96	419	337	210	78	169	140	130	90	49	91
Streptomyces	129	31	122	203	163	129	200	179	173	196	183	236
Burkholderiales_unclassified	141	43	132	181	147	161	211	178	166	216	141	212
Halomonas	95	191	248	112	217	59	113	503	77	112	49	123
Unclassified_Rhizobiales_unclassified	173	0	285	351	174	0	181	156	152	207	0	193
Aureimonas	177	66	246	290	165	62	145	124	168	172	37	156
Ectothiorhodospira	40	361	315	18	397	19	12	454	23	9	96	23
Betaproteobacteria_unclassified	161	32	131	195	127	134	204	147	138	172	125	179
Deltaproteobacteria_unclassified	74	36	146	95	135	148	139	198	141	123	213	218
Roseivivax	164	83	273	271	150	85	175	92	110	106	44	90
Geobacter	52	4	122	87	100	162	139	237	127	98	212	291
Rhodovulum	143	76	314	237	168	56	134	135	103	90	65	108
Marinobacter	82	1116	72	23	97	14	27	112	22	25	12	23
Planctomycetes_unclassified	99	2	63	37	67	148	90	192	117	135	400	262
Halanaerobium	1	1139	42	1	3	0	1	379	0	0	18	0
Unclassified_Gammaproteobacteria_unclassified	90	39	149	156	163	109	145	166	137	150	99	180
Ectothiorhodospiraceae_unclassified	51	282	258	27	418	17	24	331	25	21	93	23
Ponticoccus	135	76	330	245	165	47	111	117	112	82	44	83
Phycisphaerae_unclassified	88	0	65	46	44	155	85	220	130	117	319	254
Loktanella	332	32	188	395	118	21	177	60	50	50	17	61
Enhygromyxa	169	0	12	391	390	25	288	18	57	80	17	46
Unclassified_Rhodospirillales_unclassified	126	39	159	230	91	147	92	86	107	118	71	186
Desulfobulbus	36	3	159	49	127	122	161	212	115	64	168	222
Hyphomonas	121	10	137	223	110	24	215	215	129	141	3	64
Thiocapsa	37	20	141	67	213	128	105	149	84	79	182	157
Unclassified_Alphaproteobacteria_unclassified	142	48	131	257	103	54	124	57	126	172	42	100
Chromatiaceae_unclassified	45	26	132	99	183	141	102	70	124	84	66	210
Bacteroidetes_unclassified	82	67	372	110	110	29	131	79	80	49	33	51
Plesiocystis	130	0	15	278	276	32	214	32	55	69	24	41
Desulfosarcina	33	14	143	24	63	109	82	232	91	62	140	162
Citreicella	113	56	230	173	98	50	70	67	74	70	31	60
Unclassified_Bacteria_unclassified	40	39	64	49	91	67	89	176	126	54	87	161
Verrucomicrobia_unclassified	14	42	131	18	113	122	117	20	171	75	185	29
Mycobacterium	75	28	69	127	76	78	98	87	83	109	85	110
Unclassified_Betaproteobacteria_unclassified	72	15	87	142	72	67	125	71	45	126	55	130
Leptolyngbya	66	0	104	206	80	1	122	34	287	98	0	8
Devosia	94	19	123	185	83	61	63	54	100	77	33	95
Ruegeria	114	31	241	215	91	27	63	52	56	28	13	32
Synechococcus	92	4	58	247	55	17	141	15	188	98	11	25
Xanthomonadaceae_unclassified	85	20	74	109	59	58	121	79	87	131	50	78
Porphyrobacter	81	4	90	134	116	53	101	61	119	43	55	85
Phycisphaera	87	11	56	88	60	66	123	94	99	88	65	99
Sphingomonadaceae_unclassified	72	21	87	125	83	74	89	67	101	68	48	100
Myxococcales_unclassified	69	5	34	128	114	58	121	70	69	91	73	94
Thiorhodococcus	30	18	86	72	139	88	91	81	94	59	38	124
Thioclava	99	38	176	142	100	30	78	59	73	50	25	31
Magnetospirillum	53	33	118	114	80	36	85	56	78	89	33	111
