Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Bacteria unclassified	genus	superkingdom	2	Bacteria							22336	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Desulfatitalea	genus	genus	1303912	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatitalea		18975	187	257	4791	59	3120	372	966	5216	267	499	2709	532
Proteobacteria unclassified	genus	phylum	1224	Bacteria	Proteobacteria						16807	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Rhodobacteraceae unclassified	genus	family	31989	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			14136	1315	713	2648	2241	1537	600	1044	1033	998	782	417	808
Nonspecific/Host	genus	no rank	1	None							11654	813	191	599	1031	1034	609	1293	749	2622	870	706	1137
Alphaproteobacteria unclassified	genus	class	28211	Bacteria	Proteobacteria	Alphaproteobacteria					10912	938	360	1263	1479	919	737	1009	831	951	883	546	996
Actinobacteria unclassified	genus	class	1760	Bacteria	Actinobacteria	Actinobacteria					9569	648	148	612	927	669	772	1026	906	949	891	881	1140
Paracoccus	genus	genus	265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		6334	597	378	1286	1014	671	239	431	431	431	303	160	393
Rhizobiales unclassified	genus	order	356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				6099	492	270	670	828	503	486	530	432	487	540	367	494
Desulfovibrio	genus	genus	872	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		5212	153	136	513	153	322	408	525	775	509	296	642	780
Thioalkalivibrio	genus	genus	106633	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio		4656	196	559	686	211	826	182	225	915	204	203	210	239
Pseudomonas	genus	genus	286	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		4451	302	110	430	445	405	290	477	446	363	399	300	484
Methylobacterium	genus	genus	407	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		4296	314	149	635	621	370	269	401	320	308	307	179	423
Gammaproteobacteria unclassified	genus	class	1236	Bacteria	Proteobacteria	Gammaproteobacteria					4196	293	137	358	362	426	290	410	431	409	368	296	416
Rhodobacter	genus	genus	1060	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter		3958	327	183	840	672	376	206	253	295	269	197	117	223
Bacillus	genus	genus	1386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		3833	24	26	18	994	18	13	1859	237	590	14	15	25
Desulfotignum	genus	genus	115780	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum		3685	76	166	667	4	1197	60	80	1110	94	32	127	72
Desulfococcus	genus	genus	896	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus		3376	104	9	555	22	633	349	62	531	265	54	201	591
Bradyrhizobium	genus	genus	374	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		3272	245	68	555	624	253	150	329	186	230	257	114	261
Unclassified Deltaproteobacteria unclassified	genus	no rank	45456	Bacteria	Proteobacteria	Deltaproteobacteria					2753	204	1	145	214	208	259	283	278	196	243	323	399
Mesorhizobium	genus	genus	68287	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium		2690	234	81	391	458	207	146	234	195	180	249	113	202
Roseovarius	genus	genus	74030	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius		2510	235	114	453	456	277	91	194	181	149	167	72	121
Sphingomonas	genus	genus	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		2468	167	48	357	551	188	122	238	128	199	152	106	212
Azospirillum	genus	genus	191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum		2272	155	87	280	294	208	130	205	174	205	208	108	218
Aspergillus	genus	genus	5052	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		2256	0	0	0	657	0	0	1058	246	295	0	0	0
Terrabacteria group unclassified	genus	no rank	1783272	Bacteria							2223	161	33	152	217	177	161	210	201	276	202	186	247
Rhizobium	genus	genus	379	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium		2159	161	40	329	396	172	131	198	136	138	204	84	170
Burkholderia	genus	genus	32008	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		2154	173	44	170	266	166	161	223	181	173	221	141	235
Eukaryota unclassified	genus	superkingdom	2759	None							2138	294	27	172	295	351	96	227	87	219	116	69	185
Bosea	genus	genus	85413	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea		2100	183	62	299	324	211	114	192	159	144	158	39	215
Oceanicola	genus	genus	252301	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola		2041	209	100	361	346	185	100	176	167	127	98	71	101
Jannaschia	genus	genus	188905	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia		2014	205	96	419	337	210	78	169	140	130	90	49	91
Streptomyces	genus	genus	1883	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		1944	129	31	122	203	163	129	200	179	173	196	183	236
Burkholderiales unclassified	genus	order	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales				1929	141	43	132	181	147	161	211	178	166	216	141	212
Halomonas	genus	genus	2745	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas		1899	95	191	248	112	217	59	113	503	77	112	49	123
Unclassified Rhizobiales unclassified	genus	no rank	119042	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				1872	173	0	285	351	174	0	181	156	152	207	0	193
Aureimonas	genus	genus	414371	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas		1808	177	66	246	290	165	62	145	124	168	172	37	156
Ectothiorhodospira	genus	genus	1051	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodospira		1767	40	361	315	18	397	19	12	454	23	9	96	23
Betaproteobacteria unclassified	genus	class	28216	Bacteria	Proteobacteria	Betaproteobacteria					1745	161	32	131	195	127	134	204	147	138	172	125	179
Deltaproteobacteria unclassified	genus	class	28221	Bacteria	Proteobacteria	Deltaproteobacteria					1666	74	36	146	95	135	148	139	198	141	123	213	218
Roseivivax	genus	genus	93682	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseivivax		1643	164	83	273	271	150	85	175	92	110	106	44	90
Geobacter	genus	genus	28231	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter		1631	52	4	122	87	100	162	139	237	127	98	212	291
Rhodovulum	genus	genus	34008	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum		1629	143	76	314	237	168	56	134	135	103	90	65	108
