non-redundant	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Actinobacteria unclassified_class_1760	648	148	612	927	669	772	1026	906	949	891	881	1140
Actinobacteria unclassified_phylum_201174	53	11	37	88	62	48	47	102	84	73	59	115
Gemmatimonadetes unclassified_class_219685	0	0	0	0	0	0	0	0	0	4	0	0
Thermotogae unclassified_class_188708	0	2	3	0	0	0	2	2	1	0	0	0
Thermotogae unclassified_phylum_200918	0	0	0	0	0	0	1	0	0	0	0	1
Acaryochloris	1	0	2	5	4	0	2	1	7	4	0	1
Acetobacter	5	0	5	13	7	4	9	1	6	7	7	3
Acetobacteraceae unclassified	35	6	34	43	34	24	30	25	27	35	19	50
Acetobacterium	0	0	0	0	0	1	0	0	0	2	0	0
Acholeplasma	0	1	0	0	0	0	0	1	0	0	0	0
Acholeplasmataceae unclassified	0	0	0	0	0	0	0	1	0	0	0	0
Acholeplasmatales unclassified	0	0	0	0	0	0	1	0	0	0	0	0
Achromobacter	16	2	25	24	27	13	30	24	12	14	19	24
Acidaminococcus	1	0	2	0	0	3	0	2	3	0	2	3
Acidicaldus	12	1	6	7	10	3	9	6	7	6	0	9
Acidihalobacter	8	0	5	2	6	0	12	10	6	8	0	10
Acidimicrobiaceae unclassified	0	0	1	0	0	1	0	0	4	2	1	1
Acidimicrobiales unclassified	0	0	0	0	0	0	0	0	1	1	0	0
Acidimicrobiia unclassified	1	0	1	0	1	1	0	1	0	0	1	1
Acidiphilium	22	9	33	38	25	20	17	27	30	24	10	31
Acidiplasma	0	1	0	0	0	0	0	0	0	0	1	0
Aciditerrimonas	0	0	0	0	0	0	0	0	0	0	0	5
Acidithiobacillales unclassified	5	3	7	9	7	4	12	5	4	2	3	5
Acidithiobacillus	0	0	2	0	8	0	0	4	1	0	0	0
Acidobacteria unclassified	122	1	5	20	11	10	28	15	10	15	11	7
Acidobacteriaceae unclassified	30	0	3	41	11	25	31	16	28	44	7	55
Acidobacterium	8	0	0	5	0	0	12	6	0	7	0	4
Acidocella	3	4	17	15	8	3	10	9	8	4	3	13
Acidomonas	0	0	5	4	2	0	4	4	0	5	0	4
Acidovorax	37	7	29	42	27	21	36	37	25	28	21	35
Aciduliprofundum	0	0	0	0	0	0	0	0	1	0	0	1
Acinetobacter	13	4	15	10	12	11	13	12	11	11	10	11
Actibacterium	18	1	23	27	13	0	4	0	5	3	0	0
Actinobacillus	0	0	0	0	0	0	1	3	0	0	0	1
Actinokineospora	0	0	0	1	0	0	16	0	0	0	0	0
Actinomadura	5	0	5	14	8	9	12	3	15	20	7	20
Actinomyces	9	4	15	12	15	18	15	26	18	19	17	15
Actinomycetaceae unclassified	2	0	0	2	2	0	1	2	0	1	1	5
Actinoplanes	2	1	2	5	3	5	15	7	2	4	5	5
Actinopolyspora	0	0	0	0	0	0	1	0	0	0	0	0
Advenella	0	0	0	0	0	0	0	0	0	1	0	0
Aerococcus	1	0	0	0	1	0	0	0	0	1	0	0
Aeromicrobium	4	0	2	43	0	3	112	10	46	4	8	8
Aeromonadaceae unclassified	0	0	0	1	0	0	2	1	1	1	0	1
Aeromonadales unclassified	0	0	0	0	0	0	0	0	0	0	1	0
Aeromonas	30	16	55	49	50	41	50	49	46	41	47	75
Aeropyrum	0	0	0	0	0	0	0	0	0	0	0	1
Aestuariivita	93	33	195	163	71	21	60	60	57	36	21	43
Afifella	20	6	20	28	16	9	15	19	8	11	10	19
Afipia	32	3	36	93	18	14	44	25	20	35	9	15
Agaricales unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Agaricomycetes unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Aggregatibacter	1	0	0	0	1	0	0	0	0	0	0	0
Agreia	2	1	1	1	1	2	1	4	4	7	4	2
Agrobacterium	16	3	17	31	13	8	22	10	17	12	5	13
Agrococcus	0	0	3	3	0	1	2	3	3	5	1	1
Agromyces	2	0	1	2	3	0	1	1	0	2	0	3
Ahrensia	2	1	3	14	1	0	1	0	1	0	1	0
