	sulfur	carbon	oxygen	iron	nitrogen	carbon_<comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
C3	8.714	35.156	6.853	9.391	19.18	84.8	100	70	100	76.5	75	60	77.8	100	100	70	72.4	100
B3	8.535	42.132	6.839	9.391	19.226	87.6	100	70	100	76.5	75	60	77.8	100	100	70	65.5	100
C2	8.262	33.394	6.839	9.391	18.785	87.3	100	60	100	76.5	75	60	77.8	100	100	70	69	100
C1	9.085	29.336	6.839	9.391	19.048	89.2	100	80	100	76.5	75	60	77.8	100	100	65	75.9	100
A3	8.901	42.838	6.839	9.391	19.226	88.3	100	70	100	76.5	75	60	77.8	100	100	70	72.4	100
B2	8.989	35.881	6.839	9.391	19.226	89.2	100	80	100	76.5	75	60	77.8	100	100	70	69	100
C4	8.901	37.170	6.839	9.391	19.226	88.3	100	70	100	76.5	75	60	77.8	100	100	70	72.4	100
A1	8.505	36.301	6.839	9.391	19.031	84.7	100	70	100	76.5	75	60	77.8	100	100	65	72.4	100
A2	8.696	33.383	6.839	9.391	19.65	84.7	100	70	100	76.5	75	60	77.8	100	100	65	69	100
A4	8.763	40.041	6.554	9.391	18.946	85	100	70	100	76.5	75	60	77.8	100	100	65	69	100
B4	8.763	40.041	6.554	9.391	18.826	85	100	70	100	76.5	75	60	77.8	100	100	65	69	100
B1	8.831	36.355	6.135	9.339	18.829	84.3	100	70	100	76.5	75	60	77.8	100	100	65	69	100

