
	sulfur	carbon	oxygen	iron	nitrogen
S9__metahit.final.contigs.fa.prodigal.faa	8.714*	35.156*	6.853	9.391	19.180
S8__metahit.final.contigs.fa.prodigal.faa	8.535*	42.132*	6.839	9.391	19.226
S6__metahit.final.contigs.fa.prodigal.faa	8.262*	33.394	6.839	9.391	18.785
S3_metahit.final.contigs.fa.prodigal.faa	9.085*	29.336	6.839	9.391	19.048
S7__metahit.final.contigs.fa.prodigal.faa	8.901*	42.838*	6.839	9.391	19.226
S5_metahit.final.contigs.fa.prodigal.faa	8.989*	35.881*	6.839	9.391	19.226
S12_metahit.final.contigs.fa.prodigal.faa	8.901*	37.170*	6.839	9.391	19.226
S1_metahit.final.contigs.fa.prodigal.faa	8.505*	36.301*	6.839	9.391	19.031
S4_metahit.final.contigs.fa.prodigal.faa	8.696*	33.383	6.839	9.391	19.650
S10_metahit.final.contigs.fa.prodigal.faa	8.763*	40.041*	6.554	9.391	18.946
S11_metahit.final.contigs.fa.prodigal.faa	8.763*	40.041*	6.554	9.391	18.826
S2_metahit.final.contigs.fa.prodigal.faa	8.831*	36.355*	6.135	9.339	18.829
