PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF00001	2	0	0	24	10	10	3	3	10	3	0	9
PF00002	0	0	0	2	1	0	1	0	0	0	0	2
PF00003	9	0	0	10	7	0	6	0	1	4	0	3
PF00004	688	331	800	883	795	782	945	1078	1021	737	949	1199
PF00005	2272	1221	3158	3064	2755	2619	2957	3674	3453	2481	3050	3711
PF00006	198	94	263	291	246	238	288	328	262	257	314	357
PF00008	3	1	3	11	6	8	10	4	6	2	5	8
PF00009	347	174	446	468	429	401	451	506	481	407	423	530
PF00010	1	1	0	6	1	3	5	0	1	0	0	3
PF00011	86	50	135	112	130	128	136	160	126	110	137	164
PF00012	293	100	280	408	318	289	385	340	450	294	319	419
PF00013	48	24	67	69	64	59	67	77	74	47	70	102
PF00014	2	0	0	2	0	0	5	0	2	2	0	2
PF00015	116	145	268	163	174	101	303	290	297	136	122	175
PF00016	16	11	35	20	21	20	31	24	29	28	29	18
PF00017	1	0	0	6	1	1	0	1	0	0	0	1
PF00018	3	0	0	14	7	3	8	5	2	1	3	11
PF00019	0	0	0	1	0	1	0	0	0	0	0	1
PF00020	9	0	0	3	0	1	0	0	0	1	0	1
PF00021	0	0	0	0	0	0	0	0	1	0	0	0
PF00022	23	6	18	30	23	20	19	11	21	14	11	18
PF00023	220	37	79	260	152	110	181	136	171	133	122	131
PF00024	1	0	3	4	4	5	1	3	2	4	1	1
PF00025	49	11	23	61	40	56	62	48	68	28	38	52
PF00026	5	0	0	6	3	0	6	0	0	4	1	2
PF00027	185	69	279	288	230	205	297	288	341	218	200	285
PF00028	32	5	31	30	33	25	19	17	24	10	13	18
PF00030	2	0	1	2	3	1	1	2	2	2	2	3
PF00031	0	0	1	0	0	0	0	0	0	0	0	0
PF00032	19	8	16	26	18	12	16	15	24	13	12	10
PF00033	25	12	28	55	26	24	40	30	27	38	20	27
PF00034	133	38	122	217	124	77	151	117	146	141	65	126
PF00035	20	14	26	29	20	19	37	33	23	10	31	32
PF00036	79	18	41	95	41	53	75	44	66	67	47	78
PF00037	440	272	646	362	600	856	586	1062	724	570	1121	1172
PF00038	0	0	0	1	0	0	2	0	0	0	0	1
PF00040	0	0	0	0	0	0	1	0	0	0	0	1
PF00041	56	21	62	67	70	81	76	94	86	63	82	132
PF00042	6	1	8	11	3	3	11	3	3	2	2	1
PF00043	37	15	35	86	30	19	60	22	52	62	13	23
PF00044	53	27	57	62	56	60	67	90	70	53	59	82
PF00045	1	0	1	1	1	2	4	0	0	0	0	2
PF00046	2	1	0	10	0	3	4	2	5	3	0	8
PF00047	3	0	3	14	5	14	5	5	9	3	10	24
PF00050	5	0	1	8	7	4	7	6	5	8	3	5
PF00052	0	1	2	2	0	2	1	3	1	1	2	1
PF00053	0	0	2	4	0	2	0	0	2	2	4	8
PF00054	1	2	8	2	3	5	9	5	7	5	4	22
PF00055	0	0	0	0	0	0	1	0	0	0	0	1
PF00056	47	17	52	83	56	52	65	74	67	49	50	78
PF00057	0	0	0	2	2	3	3	2	2	2	1	3
PF00058	5	0	1	11	0	10	3	5	11	3	5	13
PF00059	14	0	5	12	16	11	15	17	9	11	9	27
PF00060	0	1	7	12	3	4	5	1	9	5	2	1
PF00061	1	2	1	2	3	1	4	5	3	2	2	3
PF00062	0	0	0	0	0	0	2	0	0	1	0	1
PF00063	49	1	7	37	24	11	13	2	11	12	2	14
PF00066	2	0	0	0	1	0	0	0	0	0	1	2
PF00067	58	7	38	167	58	27	116	32	78	77	17	36
PF00068	1	0	0	0	0	0	1	0	0	0	0	0
