Negative	6	12	14	36	38	46	74	78	98	102	108	110	238
A_P		3897				3370					4097		7242
A_C		10926		3396		7809					21626		25840
A_O		124492				108078			10314		189264		235245
A_F		516345				443967					928628		1214641
B_P		4187				6053					3161		14535
B_C		19631				20282					13395		67538
B_O		92550				118674	84834				63396		265481
B_F		296782				418899	438322				288641		1122675
C_P		8185				5361					3537		4709
C_C		49090				25546					25360		
C_O		192324				80745					129580		173178
C_F		637138				231282					590860		994237
G_P		2169				4625	6560		150		1826		28135
G_C		11863				18143	31715		879		14287		127668
G_O		45307	132648			70471	159855		4004		103574		745682
G_F		173707	504842			266855	721936		19798		484398		3571900
