Positive	6	12	14	36	38	46	74	78	98	102	108	110	238
A_P	3448			5043				7690		3674			
A_C	8777		3584	23144				16029	952	10431			
A_O	123063		68336	237535				151596	12533	98460			
A_F	488731		398886	1101495				862356	35626	398510			
B_P	6996	2349	2232	8243				7709					
B_C	24190		25317	34887			14570	45686	1083	12031			
B_O	118756		119439	129478			97972	195155	6921	57833			
B_F	429104		465213	410950			432426	766482	17457				
C_P	5663		3630	4704				16140		7817			
C_C	32372		27866	37429				82139		45722			
C_O	88550		116000	177990				447899	6869				
C_F	251707		453462	841276				1913452	21651	566965			
G_P	4285			3680				15386		5452		15721	
G_C	23415			20691				75703		32966		85650	
G_O	80008			93613				366590		157673		511584	
G_F	291113			510527				1568783		623938		1991825	
