	1	2	3	4
Alphaproteobacteria	0.46026026026026023	0.49767064051413146	0.30619788771539747	0.32977719718412074
Deltaproteobacteria	0.08384384384384384	0.059440475906061115	0.12495831017231795	0.10120473183830467
Gammaproteobacteria	0.0814014014014014	0.07348830542083762	0.09093941078376876	0.09659626968575369
Bacteria unclassified	0.05757757757757758	0.04598991805432783	0.05386325736520289	0.08712533565570796
Actinobacteria	0.05233233233233233	0.05179539861910792	0.0660366870483602	0.06843747732056027
Betaproteobacteria	0.053413413413413414	0.05590462766084526	0.06762090050027793	0.07547717541185862
Proteobacteria unclassified	0.0436036036036036	0.039682729292591444	0.044219010561423015	0.05337832934175194
Nonspecific/Host	0.03259259259259259	0.024750937716510976	0.035964424680377985	0.03171492851440598
Cyanobacteria unclassified	0.023423423423423424	0.0319181976730296	0.024735964424680377	0.019957906959866465
Bacilli	0.004804804804804805	0.027904532097379173	0.05614230127848805	0.004898758981058132
Bacteroidia	0.00972972972972973	0.002962467448694364	0.008504724847137298	0.005660788155889397
Clostridia	0.003763763763763764	0.0026518861839118905	0.005086158977209561	0.004390739531170622
Phycisphaerae	0.007007007007007007	0.0032013761139116515	0.0057809894385769875	0.007438856230495682
Eurotiomycetes	0.0	0.015720190171297513	0.02951639799888827	3.628710356339357e-05
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Eukaryota unclassified	0.011851851851851851	0.007047805623909979	0.006364647026125625	0.004209304013353654
Planctomycetia	0.006206206206206206	0.00494540936999785	0.0043913285158421345	0.006023659191523333
Bacteroidetes unclassified	0.004324324324324324	0.003965883842606971	0.004558087826570317	0.0034109877349589954
Planctomycetes unclassified	0.003963963963963964	0.0008839620613039635	0.0025013896609227346	0.004898758981058132
Verrucomicrobia unclassified	0.0033233233233233234	0.0021501779869555868	0.0032518065591995555	0.0027215327672545178
Cytophagia	0.005125125125125125	0.0037508660439114125	0.0026681489716509172	0.0009434646926482328
Acidobacteria unclassified	0.004884884884884885	0.0033925030460854816	0.0037520844913841024	0.004681036359677771
Spirochaetia	0.0013213213213213214	0.00021501779869555868	0.0017231795441912173	0.001850642281733072
Opitutae	0.0024824824824824826	0.001576797190434097	0.0024180100055586438	0.0022498004209304014
Anaerolineae	0.0014014014014014013	0.0013139976586950808	0.0022790439132851586	0.0032295522171420276
Unclassified Bacteria unclassified	0.0016016016016016017	0.0011706524595647084	0.0024735964424680377	0.001959503592423253
Flavobacteriia	0.0035635635635635635	0.0027474496499988055	0.0037798777098387993	0.0014877712460991364
Deinococci	0.0016016016016016017	0.0020068327878252144	0.002556976097832129	0.0027215327672545178
Verrucomicrobiae	0.0017217217217217217	0.001863487588694842	0.002084491384102279	0.0011249002104652007
Sordariomycetes	0.0	7.167259956518622e-05	8.337965536409116e-05	0.028920821540024674
Gemmatimonadetes	0.0026826826826826826	0.0025802135843467043	0.0021400778210116734	0.004644749256114377
Actinobacteria unclassified	0.002122122122122122	0.0021023962539121295	0.0013062812673707614	0.0026489585601277305
Firmicutes unclassified	0.0016416416416416416	0.0010750889934777934	0.0016675931072818232	0.0015240583496625298
Acidobacteriia	0.0024824824824824826	0.0017440332560861983	0.0019455252918287938	0.002612671456564337
Methanomicrobia	0.0003203203203203203	0.00011945433260864371	0.00011117287381878821	0.0001451484142535743
Solibacteres	0.002922922922922923	0.0011467615930429796	0.0022790439132851586	0.0017054938674794977
Chloroflexia	0.00012012012012012012	0.0009556346608691497	0.0018065591995553086	0.001270048624718775
Sphingobacteriia	0.0004404404404404404	0.003058030914781279	0.0019177320733740966	0.0009071775890848393
Halobacteria	0.002762762762762763	0.0006928351291301335	0.0007782101167315176	0.001270048624718775
Thermoleophilia	0.0005605605605605605	0.001194543326086437	0.0011673151750972762	0.0013789099354089556
Chloroflexi unclassified	0.001041041041041041	0.0005017081969563036	0.0007226236798221234	0.0011974744175919877
Parcubacteria group unclassified	0.0007607607607607608	0.00031058126478247366	0.0007504168982768205	0.0013426228318455622
Coriobacteriia	0.0004404404404404404	0.0005733807965214898	0.0010005558643690939	0.0006531678641410843
