	1	2	3	4
Rhodobacteraceae	0.20192192192192193	0.20885395513295268	0.10664257921067259	0.09507221133609116
Desulfobacteraceae	0.01877877877877878	0.0036553025778244975	0.041467481934408	0.029610276507729152
Bacteria unclassified	0.05757757757757758	0.04598991805432783	0.05386325736520289	0.08712533565570796
Proteobacteria unclassified	0.0436036036036036	0.039682729292591444	0.044219010561423015	0.05337832934175194
Alphaproteobacteria unclassified	0.044964964964964965	0.04350526793606804	0.03326848249027237	0.040097249437549894
Nonspecific/Host	0.03255255255255255	0.024631483383902333	0.03593663146192329	0.031569780100152406
Actinobacteria unclassified	0.025945945945945945	0.022146833265642544	0.028515842134519177	0.03233180927498367
Ectothiorhodospiraceae	0.012972972972972972	0.007812313352605299	0.009227348526959422	0.0101603889977502
Rhizobiales unclassified	0.026826826826826827	0.028286785961726832	0.019955530850472483	0.027287901879671964
Bradyrhizobiaceae	0.025505505505505507	0.033375540530855057	0.02065036131183991	0.02155453951665578
Rhodospirillaceae	0.02086086086086086	0.02315024965955515	0.020038910505836578	0.024130923869656724
Chromatiaceae	0.008208208208208207	0.011300379864777695	0.014508060033351863	0.01422454459685028
Desulfovibrionaceae	0.007247247247247247	0.004276465107389445	0.016064480266814896	0.012228753900863634
Sphingomonadaceae	0.015735735735735737	0.025348209379554197	0.01359088382434686	0.012228753900863634
Methylobacteriaceae	0.014734734734734734	0.01765535035955754	0.013257365202890494	0.013607663836272588
Deltaproteobacteria unclassified	0.012172172172172173	0.007788422486083571	0.012479155086158978	0.013897960664779737
Pseudomonadaceae	0.012852852852852852	0.011252598131734237	0.014091161756531407	0.015385731910878874
Rhizobiaceae	0.013693693693693694	0.01918436581694818	0.01170094496942746	0.015276870600188694
Phyllobacteriaceae	0.01921921921921922	0.01791814989129656	0.011978877153974431	0.015603454532259236
Gammaproteobacteria unclassified	0.015695695695695695	0.008648493680865805	0.011395219566425792	0.013353654111328835
Bacillaceae	0.0016016016016016017	0.02455981078433715	0.05266814897165092	0.001088613106901807
Chroococcales unclassified	0.00984984984984985	0.010726999068256205	0.0076709282934963865	0.005987372087959939
Burkholderiales unclassified	0.011411411411411412	0.011730415462168813	0.012062256809338522	0.016111473982146744
Betaproteobacteria unclassified	0.01065065065065065	0.01044030866999546	0.012479155086158978	0.014478554321794035
Burkholderiaceae	0.01017017017017017	0.008982965812170007	0.009838799332962757	0.012373902315117207
Oscillatoriales unclassified	0.007647647647647648	0.013856702582602671	0.011061700944969428	0.008926627476594819
Comamonadaceae	0.006286286286286287	0.011706524595647085	0.014591439688715954	0.008273459612453734
Aurantimonadaceae	0.010810810810810811	0.010464199536517189	0.005947748749305169	0.009289498512228754
Xanthomonadaceae	0.008608608608608608	0.009174092744343837	0.009672040022234575	0.012773060454314537
Myxococcales unclassified	0.00952952952952953	0.013378885252168096	0.0122568093385214	0.007692865955439437
Hyphomonadaceae	0.01121121121121121	0.008839620613039634	0.009477487493051695	0.007257420712678714
Acetobacteraceae	0.008208208208208207	0.00800344028477913	0.0057809894385769875	0.007801727266129618
Rhodospirillales unclassified	0.007847847847847847	0.009006856678691735	0.004641467481934408	0.007293707816242108
Aspergillaceae	0.0	0.015696299304775785	0.029488604780433574	3.628710356339357e-05
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Streptomycetaceae	0.0056856856856856855	0.005351554100867239	0.0062534741523068375	0.00812831119820016
Eukaryota unclassified	0.011771771771771772	0.007047805623909979	0.006309060589216231	0.004209304013353654
Erythrobacteraceae	0.00944944944944945	0.009269656210430752	0.006448026681489716	0.0029029682850714856
Halomonadaceae	0.004484484484484484	0.0031297035143464653	0.00358532518065592	0.004898758981058132
Geobacteraceae	0.002082082082082082	0.0021979597199990445	0.00453029460811562	0.0039915813919732925
Desulfobulbaceae	0.0016016016016016017	0.0011706524595647084	0.0053085047248471375	0.0033384135278322086
Hyphomicrobiaceae	0.006486486486486486	0.008672384547387535	0.004196775986659255	0.006749401262791204
Unclassified Gammaproteobacteria unclassified	0.0	0.004157010774780801	0.0048916064480266815	0.0062050947093403004
Marinilabiliaceae	0.0056856856856856855	0.0	0.001584213451917732	0.00018143551781696785
Alteromonadaceae	0.0034034034034034033	0.0006211625295649473	0.001056142301278488	0.0009797517962116264
Caulobacteraceae	0.005805805805805806	0.00666555175956232	0.004280155642023347	0.006713114159227811
Planctomycetes unclassified	0.003963963963963964	0.0008839620613039635	0.0025013896609227346	0.004898758981058132
Halanaerobiaceae	8.008008008008008e-05	2.3890866521728743e-05	2.7793218454697053e-05	0.0
Phycisphaerae unclassified	0.0035235235235235233	0.0010989798599995223	0.0023624235686492494	0.004245591116917048
Polyangiaceae	0.005205205205205205	0.0043003559739111736	0.004752640355753196	0.0053342042238188545
Methylocystaceae	0.004204204204204204	0.004658718971737105	0.0038632573652028906	0.004681036359677771
Rhodocyclaceae	0.0038438438438438438	0.003631411711302769	0.005419677598665925	0.0059147978808331515
Microbacteriaceae	0.003043043043043043	0.004849845903910935	0.0071984435797665365	0.004390739531170622
Enterobacteriaceae	0.0024424424424424425	0.0038703203765200565	0.0057809894385769875	0.003955294288409899
Planctomycetaceae	0.0035635635635635635	0.0033925030460854816	0.0027793218454697055	0.004463313738297409
Bacteroidetes unclassified	0.0032832832832832832	0.0026279953173901616	0.003640911617565314	0.001778068074606285
Acidobacteria unclassified	0.004884884884884885	0.0033925030460854816	0.0037520844913841024	0.004681036359677771
Nannocystaceae	0.005205205205205205	0.006641660893040591	0.005947748749305169	0.0025038101458741565
Xanthobacteraceae	0.003883883883883884	0.003941992976085242	0.0026403557531962203	0.004136729806226867
Spirochaetaceae	0.0011611611611611612	0.00014334519913037245	0.001584213451917732	0.0017054938674794977
Unclassified Bacteria unclassified	0.0016016016016016017	0.0011706524595647084	0.0024735964424680377	0.001959503592423253
Verrucomicrobia unclassified	0.0005605605605605605	0.00043003559739111737	0.0032518065591995555	0.0027215327672545178
Mycobacteriaceae	0.003043043043043043	0.003058030914781279	0.002723735408560311	0.003955294288409899
Oxalobacteraceae	0.002962962962962963	0.0025563227178249754	0.003168426903835464	0.004027868495536686
Opitutaceae	0.001881881881881882	0.0013139976586950808	0.0019455252918287938	0.0022498004209304014
Phycisphaeraceae	0.0034834834834834836	0.0021023962539121295	0.0034185658699277376	0.003193265113578634
Desulfarculaceae	0.0014414414414414415	0.0006450533960866761	0.0015564202334630351	0.0019232164888598592
Anaerolineaceae	0.0012412412412412413	0.0012901067921733522	0.0018621456364647027	0.002794106974381305
Myxococcaceae	0.0026826826826826826	0.0031774852473899226	0.003029460811561979	0.0031569780100152408
Clostridiales unclassified	0.0015215215215215216	0.0010511981269560647	0.002584769316286826	0.0019232164888598592
Hypocreaceae	0.0	0.0	2.7793218454697053e-05	0.02888453443646128
Alcaligenaceae	0.0023623623623623626	0.002508540984781518	0.0023624235686492494	0.002358661731620582
Flavobacteriaceae	0.002962962962962963	0.002245741453042502	0.003557531962201223	0.001270048624718775
Gemmatimonadaceae	0.0026826826826826826	0.0025802135843467043	0.0021400778210116734	0.004499600841860803
Actinobacteria unclassified	0.002122122122122122	0.0021023962539121295	0.0013062812673707614	0.0026489585601277305
Cyclobacteriaceae	0.0015215215215215216	0.0008122894617387773	0.0003613118399110617	3.628710356339357e-05
Rhodobiaceae	0.0023223223223223224	0.002699667916955348	0.0017231795441912173	0.002213513317367008
Cystobacteraceae	0.0028428428428428428	0.0022696323195642307	0.002028904947192885	0.0018869293852964656
Nocardiaceae	0.002002002002002002	0.003153594380868194	0.002556976097832129	0.0030118295957616663
Nocardioidaceae	0.0014414414414414415	0.002389086652172874	0.005364091161756531	0.0015603454532259235
Bacteroidaceae	0.0016416416416416416	0.0007645077286953198	0.0018343524180100055	0.0022498004209304014
Rhodanobacteraceae	0.002082082082082082	0.0026518861839118905	0.003085047248471373	0.0026852456636911244
Desulfohalobiaceae	0.0008808808808808808	4.778173304345749e-05	0.0007226236798221234	0.0005805936570142972
Beijerinckiaceae	0.0017217217217217217	0.0029385765821726352	0.002056698165647582	0.0022498004209304014
Sphingomonadales unclassified	0.002082082082082082	0.0026279953173901616	0.0015564202334630351	0.0016329196603527107
Firmicutes unclassified	0.0016416416416416416	0.0010750889934777934	0.0016675931072818232	0.0015240583496625298
Anaeromyxobacteraceae	0.0016416416416416416	0.0017440332560861983	0.0022234574763757642	0.002757819870817911
Bacteroidales unclassified	0.0008808808808808808	0.0005733807965214898	0.0019455252918287938	0.00101603889977502
Methylococcaceae	0.0011611611611611612	0.0014095611247819959	0.0021678710394663703	0.001850642281733072
