	1	2	3	4
Bacteria unclassified	0.05757757757757758	0.04598991805432783	0.05386325736520289	0.08712533565570796
Desulfatitalea	0.007487487487487487	0.0014095611247819959	0.026848249027237352	0.01810726467813339
Proteobacteria unclassified	0.0436036036036036	0.039682729292591444	0.044219010561423015	0.05337832934175194
Rhodobacteraceae unclassified	0.052652652652652655	0.05353943187519411	0.029016120066703725	0.028376514986573773
Nonspecific/Host	0.03255255255255255	0.024631483383902333	0.03593663146192329	0.031569780100152406
Alphaproteobacteria unclassified	0.03755755755755756	0.03533459158563681	0.02804335742078933	0.032041512446476524
Actinobacteria unclassified	0.025945945945945945	0.022146833265642544	0.028515842134519177	0.03233180927498367
Paracoccus	0.023903903903903904	0.024225338653032946	0.011978877153974431	0.010994992379708251
Rhizobiales unclassified	0.0196996996996997	0.0197816374799914	0.014730405780989438	0.019595035924232528
Desulfovibrio	0.006126126126126126	0.0036553025778244975	0.014591439688715954	0.010740982654764497
Thioalkalivibrio	0.007847847847847847	0.005040972836084765	0.0062534741523068375	0.0073662820233688945
Pseudomonas	0.012092092092092091	0.01063143560216929	0.013257365202890494	0.014478554321794035
Methylobacterium	0.012572572572572573	0.014836228109993549	0.011145080600333519	0.011140140793961827
Gammaproteobacteria unclassified	0.011731731731731731	0.008648493680865805	0.011395219566425792	0.013353654111328835
Rhodobacter	0.013093093093093092	0.016054662302601715	0.007031684269038355	0.007148559401988533
Bacillus	0.0009609609609609609	0.023747521322598372	0.05166759310728182	0.00050801944988751
Desulfotignum	0.003043043043043043	9.556346608691497e-05	0.0022234574763757642	0.0011611873140285943
Desulfococcus	0.004164164164164164	0.0005255990634780324	0.0017231795441912173	0.001959503592423253
Bradyrhizobium	0.00980980980980981	0.014907900709558736	0.009143968871595331	0.009325785615792148
Unclassified Deltaproteobacteria unclassified	0.008168168168168169	0.005112645435649951	0.007865480822679266	0.008817766165904637
Mesorhizobium	0.009369369369369369	0.010942016866951764	0.006503613118399111	0.009035488787284999
Roseovarius	0.00940940940940941	0.010894235133908307	0.005391884380211228	0.006059946295086726
Sphingomonas	0.0066866866866866865	0.013163867453472538	0.006614785992217899	0.005515639741635822
Azospirillum	0.006206206206206206	0.00702391475738825	0.005697609783212896	0.007547717541185862
Aspergillus	0.0	0.015696299304775785	0.029405225125069483	0.0
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Rhizobium	0.006446446446446446	0.009460783142604583	0.005503057254030017	0.007402569126932288
Burkholderia	0.006926926926926927	0.006354970494779845	0.006197887715397443	0.008019449887509978
Eukaryota unclassified	0.011771771771771772	0.007047805623909979	0.006309060589216231	0.004209304013353654
Bosea	0.007327327327327327	0.007740640753040113	0.0053362979433018345	0.0057333623630161845
Oceanicola	0.008368368368368368	0.008266239816518145	0.0048916064480266815	0.00355613614921257
Jannaschia	0.008208208208208207	0.008051222017822586	0.004697053918843802	0.0032658393207054214
Streptomyces	0.005165165165165165	0.004849845903910935	0.005558643690939411	0.00711227229842514
Burkholderiales unclassified	0.005645645645645646	0.004324246840432902	0.005864369093941078	0.007838014369693011
Halomonas	0.0038038038038038036	0.0026757770504336194	0.003140633685380767	0.00406415559910008
Unclassified Rhizobiales unclassified	0.006926926926926927	0.008385694149126788	0.005030572540300167	0.007511430437622469
Aureimonas	0.007087087087087087	0.006928351291301336	0.004030016675931073	0.006241381812903694
Ectothiorhodospira	0.0016016016016016017	0.00043003559739111737	0.00033351862145636465	0.00032658393207054214
