	1	2	3	4
Rhodobacterales	0.21441441441441442	0.21874477387294838	0.1170372429127293	0.10320052253429131
Rhizobiales	0.1298098098098098	0.15029744128819553	0.09838799332962757	0.12312214239059438
Desulfobacterales	0.02054054054054054	0.004873736770432664	0.04688715953307393	0.03313012555337833
Bacteria unclassified	0.05757757757757758	0.04598991805432783	0.05386325736520289	0.08712533565570796
Proteobacteria unclassified	0.0436036036036036	0.039682729292591444	0.044219010561423015	0.05337832934175194
Chromatiales	0.022462462462462463	0.020044437011730417	0.02462479155086159	0.025437259597938893
Alphaproteobacteria unclassified	0.044964964964964965	0.04350526793606804	0.03326848249027237	0.040097249437549894
Rhodospirillales	0.03691691691691692	0.04016054662302602	0.03046136742634797	0.03922635895202845
Burkholderiales	0.033353353353353356	0.037508660439114126	0.04207893274041134	0.04329051455112853
Nonspecific/Host	0.03255255255255255	0.024631483383902333	0.035964424680377985	0.031569780100152406
Actinobacteria unclassified	0.025945945945945945	0.022146833265642544	0.028515842134519177	0.03233180927498367
Myxococcales	0.03615615615615616	0.037508660439114126	0.03718732629238466	0.02986428623267291
Sphingomonadales	0.02726726726726727	0.03724586090737511	0.02159533073929961	0.01676464184628783
Desulfovibrionales	0.00916916916916917	0.005375444967388968	0.019844357976653695	0.015131722185935118
Gammaproteobacteria unclassified	0.015695695695695695	0.013378885252168096	0.017204002223457478	0.019957906959866465
Bacillales	0.004004004004004004	0.027283369567814224	0.05541967759866592	0.004027868495536686
Pseudomonadales	0.013773773773773774	0.011849869794777456	0.014758198999444135	0.016220335292836927
Deltaproteobacteria unclassified	0.012172172172172173	0.007788422486083571	0.012479155086158978	0.013897960664779737
Bacteroidales	0.00960960960960961	0.002890794849129178	0.0084769316286826	0.005660788155889397
Chroococcales	0.00984984984984985	0.010726999068256205	0.0076709282934963865	0.005987372087959939
Xanthomonadales	0.011611611611611611	0.013259430919559452	0.01386881600889383	0.017200087089048553
Betaproteobacteria unclassified	0.01065065065065065	0.01044030866999546	0.012479155086158978	0.014478554321794035
Micrococcales	0.007607607607607607	0.009389110543039396	0.012812673707615341	0.010087814790623413
Oscillatoriales	0.007647647647647648	0.013856702582602671	0.011061700944969428	0.008926627476594819
Desulfuromonadales	0.0032032032032032033	0.002866903982607449	0.006031128404669261	0.005551926845199217
Corynebacteriales	0.006966966966966967	0.008099003750866043	0.00800444691495275	0.00965236954786269
Oceanospirillales	0.005005005005005005	0.003464175645650668	0.004335742078932741	0.0054430655345090355
Eurotiales	0.0	0.015696299304775785	0.02951639799888827	3.628710356339357e-05
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Streptomycetales	0.0056856856856856855	0.005351554100867239	0.0062534741523068375	0.00812831119820016
Eukaryota unclassified	0.011771771771771772	0.007047805623909979	0.006309060589216231	0.004209304013353654
