	1	2	3	4
Proteobacteria	0.7228828828828829	0.726354014860119	0.6344080044469149	0.6567965744974236
Bacteria unclassified	0.05757757757757758	0.04598991805432783	0.05386325736520289	0.08712533565570796
Actinobacteria	0.055535535535535537	0.056764698855627495	0.07012229016120067	0.0750780172726613
Nonspecific/Host	0.03259259259259259	0.024750937716510976	0.035964424680377985	0.03171492851440598
Firmicutes	0.010450450450450451	0.031989870272594784	0.06367426347971095	0.011829595761666303
Cyanobacteria	0.023743743743743745	0.03253936020259455	0.02501389660922735	0.02042963930619058
Bacteroidetes	0.023183183183183183	0.016484697899992833	0.02142857142857143	0.012410189418680601
Planctomycetes	0.017177177177177178	0.009030747545213465	0.012673707615341857	0.018361274403077145
Verrucomicrobia	0.007527527527527528	0.005590462766084526	0.007754307948860478	0.006096233398650119
Ascomycota	8.008008008008008e-05	0.016484697899992833	0.030211228460255698	0.029029682850714857
Acidobacteria	0.01077077077077077	0.006593879159997133	0.008282379099499722	0.009833805065679657
Chloroflexi	0.003043043043043043	0.003559739111737583	0.006114508060033352	0.006676827055664417
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Eukaryota unclassified	0.011851851851851851	0.007047805623909979	0.006364647026125625	0.004209304013353654
Euryarchaeota	0.0035235235235235233	0.000836180328260506	0.001056142301278488	0.0018143551781696786
Spirochaetes	0.0013613613613613614	0.00023890866521728742	0.0017231795441912173	0.001850642281733072
Unclassified Bacteria unclassified	0.0016016016016016017	0.0011706524595647084	0.0024735964424680377	0.001959503592423253
Deinococcus-Thermus	0.0016016016016016017	0.0020068327878252144	0.002556976097832129	0.0027215327672545178
Gemmatimonadetes	0.0026826826826826826	0.0025802135843467043	0.0021400778210116734	0.004644749256114377
Parcubacteria group unclassified	0.0007607607607607608	0.00031058126478247366	0.0007504168982768205	0.0013426228318455622
Bacteria candidate phyla unclassified	0.00036036036036036037	0.00014334519913037245	0.0003613118399110617	0.0002902968285071486
Synergistetes	0.00012012012012012012	0.0	0.0004168982768204558	0.00039915813919732927
Armatimonadetes	0.0005205205205205205	0.00035836299782593113	8.337965536409116e-05	0.0006168807605776907
Chlorobi	0.00012012012012012012	2.3890866521728743e-05	0.0010839355197331852	7.257420712678714e-05
Archaea unclassified	0.0002002002002002002	4.778173304345749e-05	0.00011117287381878821	0.0009071775890848393
Candidatus Rokubacteria	0.0004004004004004004	0.00023890866521728742	0.00044469149527515285	0.00032658393207054214
Thermotogae	8.008008008008008e-05	2.3890866521728743e-05	0.00022234574763757643	0.0001451484142535743
Nitrospirae	0.00024024024024024023	0.0002866903982607449	0.0006670372429127293	0.0006894549677044778
Microgenomates group unclassified	0.00028028028028028026	0.0003822538643476599	0.0003891050583657588	0.0005805936570142972
Nitrospinae	0.0006406406406406406	0.00023890866521728742	0.00022234574763757643	0.0006168807605776907
PVC group unclassified	0.00024024024024024023	0.00014334519913037245	8.337965536409116e-05	0.00010886131069018071
Cloacimonetes	8.008008008008008e-05	9.556346608691497e-05	0.00022234574763757643	7.257420712678714e-05
Patescibacteria group unclassified	8.008008008008008e-05	9.556346608691497e-05	5.558643690939411e-05	0.0002902968285071486
FCB group unclassified	0.00028028028028028026	9.556346608691497e-05	0.0003891050583657588	7.257420712678714e-05
Nanoarchaeota	4.004004004004004e-05	0.0	0.00013896609227348526	0.0002902968285071486
Candidatus Moranbacteria	0.00016016016016016016	0.00011945433260864371	0.00013896609227348526	0.00021772262138036142
Candidate division NC10	0.0	0.0	0.0	0.0
Chlamydiae	0.00036036036036036037	0.00014334519913037245	0.00025013896609227346	0.00018143551781696785
Marinimicrobia	4.004004004004004e-05	0.00019112693217382995	0.0001945525291828794	0.00010886131069018071
Omnitrophica	0.0	0.0	0.0	0.0
Fusobacteria	0.00028028028028028026	7.167259956518622e-05	8.337965536409116e-05	0.0001451484142535743
Bacteroidetes/Chlorobi group unclassified	8.008008008008008e-05	0.00035836299782593113	0.00025013896609227346	7.257420712678714e-05
Candidatus Uhrbacteria	4.004004004004004e-05	4.778173304345749e-05	0.00013896609227348526	0.000254009724943755
Thaumarchaeota	8.008008008008008e-05	0.00021501779869555868	0.00013896609227348526	0.000254009724943755
Candidatus Peregrinibacteria	0.00012012012012012012	7.167259956518622e-05	0.00022234574763757643	0.00018143551781696785
Candidatus Falkowbacteria	0.0	4.778173304345749e-05	5.558643690939411e-05	0.00018143551781696785
Candidatus Atribacteria	4.004004004004004e-05	0.0	2.7793218454697053e-05	0.0
Candidatus Parcubacteria	4.004004004004004e-05	0.0	5.558643690939411e-05	0.0
Candidatus Magasanikbacteria	0.0	2.3890866521728743e-05	2.7793218454697053e-05	0.00010886131069018071
Latescibacteria	0.0	2.3890866521728743e-05	2.7793218454697053e-05	3.628710356339357e-05
Chrysiogenetes	0.0	0.0	0.0	0.0
Candidatus Hydrogenedentes	4.004004004004004e-05	2.3890866521728743e-05	5.558643690939411e-05	0.00018143551781696785
Candidate division Zixibacteria	4.004004004004004e-05	2.3890866521728743e-05	2.7793218454697053e-05	3.628710356339357e-05
Ignavibacteriae	0.0	0.0	0.0	0.00039915813919732927
Candidatus Nomurabacteria	8.008008008008008e-05	4.778173304345749e-05	2.7793218454697053e-05	0.00010886131069018071
Candidatus Woesebacteria	0.0	4.778173304345749e-05	0.00011117287381878821	3.628710356339357e-05
Candidatus Aminicenantes	8.008008008008008e-05	0.0	2.7793218454697053e-05	0.00010886131069018071
Tenericutes	0.0	4.778173304345749e-05	5.558643690939411e-05	3.628710356339357e-05
Candidatus Wolfebacteria	4.004004004004004e-05	2.3890866521728743e-05	5.558643690939411e-05	0.0
Candidatus Campbellbacteria	0.0	2.3890866521728743e-05	0.0	0.0
Candidatus Acetothermia	0.0	0.0	0.0	0.0
Dikarya unclassified	0.0	7.167259956518622e-05	8.337965536409116e-05	0.0
Aquificae	0.0	2.3890866521728743e-05	5.558643690939411e-05	0.0
Unclassified Archaea unclassified	0.0	0.0	0.0	0.0
Crenarchaeota	4.004004004004004e-05	0.0	2.7793218454697053e-05	0.0
Candidate division WWE3	4.004004004004004e-05	7.167259956518622e-05	2.7793218454697053e-05	3.628710356339357e-05
Candidatus Beckwithbacteria	0.0	4.778173304345749e-05	8.337965536409116e-05	0.0
Candidatus Amesbacteria	0.0	0.0	2.7793218454697053e-05	3.628710356339357e-05
Candidatus Kaiserbacteria	0.0	7.167259956518622e-05	0.0	0.0
