	1	2	3	4
Bacteria unclassified	0.05637637637637637	0.044723702128676206	0.05230683713173986	0.08585528703098919
Desulfatitalea tepidiphila	0.0065665665665665665	0.000931743794347421	0.02487493051695386	0.01647434501778068
Proteobacteria unclassified	0.0436036036036036	0.039682729292591444	0.044219010561423015	0.05337832934175194
Alphaproteobacteria unclassified	0.03755755755755756	0.03533459158563681	0.02804335742078933	0.032041512446476524
Nonspecific	0.023063063063063063	0.017631459493035812	0.030433574207893273	0.027795921329559475
Actinobacteria unclassified	0.025385385385385387	0.021549561602599326	0.027570872707059477	0.03127948327164526
Rhodobacteraceae unclassified	0.03027027027027027	0.029505220154335	0.016203446359088384	0.01607518687858335
Rhizobiales unclassified	0.0196996996996997	0.0197816374799914	0.014730405780989438	0.019595035924232528
Gammaproteobacteria unclassified	0.011731731731731731	0.008648493680865805	0.011395219566425792	0.013353654111328835
Pseudomonas unclassified	0.011891891891891892	0.009843037006952242	0.012090050027793219	0.013281079904202046
Desulfococcus oleovorans	0.004164164164164164	0.0005255990634780324	0.0017231795441912173	0.001959503592423253
Methylobacterium unclassified	0.007807807807807808	0.008791838879996178	0.007142857142857143	0.007402569126932288
Thioalkalivibrio unclassified	0.005845845845845846	0.0032969395799985666	0.004280155642023347	0.005842223673706365
Aspergillus sp. Z5	0.0	0.015672408438254057	0.029182879377431907	0.0
Rhodobacteraceae bacterium HLUCCA09	0.006246246246246246	0.008385694149126788	0.004558087826570317	0.005878510777269758
Terrabacteria group unclassified	0.006446446446446446	0.0051843180352151375	0.005836575875486381	0.007329994919805501
Paracoccus unclassified	0.008328328328328327	0.008385694149126788	0.004252362423568649	0.0041004427026634736
Eukaryota unclassified	0.011771771771771772	0.007047805623909979	0.006309060589216231	0.004209304013353654
Burkholderia unclassified	0.006926926926926927	0.006044389229997372	0.005864369093941078	0.008019449887509978
Desulfotignum unclassified	0.0015615615615615615	9.556346608691497e-05	0.001028349082823791	0.0006894549677044778
Bradyrhizobium unclassified	0.007207207207207207	0.0064983156939102185	0.004974986103390772	0.0073662820233688945
Streptomyces unclassified	0.005165165165165165	0.004849845903910935	0.005558643690939411	0.007039698091298352
Burkholderiales unclassified	0.005645645645645646	0.004324246840432902	0.005864369093941078	0.007838014369693011
Homo sapiens	0.009489489489489489	0.007000023890866521	0.005503057254030017	0.003773858770592931
Ectothiorhodospira sp. PHS-1	0.0016016016016016017	0.00043003559739111737	0.00033351862145636465	0.00032658393207054214
Betaproteobacteria unclassified	0.006446446446446446	0.004658718971737105	0.005669816564758199	0.006241381812903694
Mesorhizobium unclassified	0.006086086086086086	0.005781589698258356	0.004669260700389105	0.005406778430945642
Deltaproteobacteria unclassified	0.002962962962962963	0.0022696323195642307	0.0038632573652028906	0.004463313738297409
Sphingomonas unclassified	0.005405405405405406	0.00551879016651934	0.004808226792662591	0.0048624718774947385
Rhizobium unclassified	0.005285285285285286	0.00551879016651934	0.004280155642023347	0.005842223673706365
Ectothiorhodospiraceae unclassified	0.002042042042042042	0.0006450533960866761	0.0006670372429127293	0.0007620291748312649
Bacillus sp. NSP9.1	0.0	0.009365219676517668	0.022512506948304613	0.0
Enhygromyxa salina	0.006766766766766767	0.009341328809995938	0.00800444691495275	0.0029029682850714856
Desulfovibrio unclassified	0.002162162162162162	0.0013378885252168097	0.0038076709282934963	0.0033384135278322086
Rhodobacter sphaeroides	0.0034034034034034033	0.005471008433475882	0.0023624235686492494	0.0019957906959866462
Plesiocystis pacifica	0.005205205205205205	0.006641660893040591	0.005947748749305169	0.0025038101458741565
Phycisphaerae bacterium SM23_33	0.002762762762762763	0.0010750889934777934	0.0018621456364647027	0.003193265113578634
Desulfosarcina cetonica	0.0012812812812812813	0.0005733807965214898	0.0022790439132851586	0.0022498004209304014
Chromatiaceae unclassified	0.0013613613613613614	0.0020785053873904006	0.0024180100055586438	0.0028666811815080922
Rhodovulum sulfidophilum	0.0032832832832832832	0.0038464295099983276	0.0024735964424680377	0.0019232164888598592
Rhodobacteraceae bacterium HLUCCO18	0.003163163163163163	0.0037986477769548703	0.002056698165647582	0.001778068074606285
Mycobacterium unclassified	0.003003003003003003	0.0030341400482595503	0.002723735408560311	0.003955294288409899
Ponticoccus sp. SJ5A-1	0.0033633633633633636	0.003535848245215854	0.0017787659811006114	0.0017417809710428913
Phycisphaera mikurensis	0.0034834834834834836	0.0021023962539121295	0.0034185658699277376	0.003193265113578634
Sphingomonadaceae unclassified	0.002882882882882883	0.002986358315216093	0.0024735964424680377	0.0024675230423107626
Myxococcales unclassified	0.002762762762762763	0.003058030914781279	0.0033629794330183437	0.003302126424268815
Desulfotignum balticum	0.0009209209209209209	0.0	0.0007226236798221234	0.0004717323463241164
Rhodospirillales bacterium Ga0074136	0.003163163163163163	0.0037747569104331414	0.0014452473596442469	0.002177226213803614
Bacteroidetes unclassified	0.0032832832832832832	0.0026279953173901616	0.0034185658699277376	0.001778068074606285
Loktanella vestfoldensis	0.01061061061061061	0.006689442626084048	0.0032518065591995555	0.00043544524276072284
Xanthomonadaceae unclassified	0.0034034034034034033	0.002317414052607688	0.003001667593107282	0.0042818782204804414
Rhodobacteraceae bacterium HLUCCA08	0.003163163163163163	0.0033925030460854816	0.0016953863257365203	0.0014514841425357428
Deltaproteobacteria bacterium Ga0077550	0.0034834834834834836	0.003464175645650668	0.0044191217342968315	0.0030481166993250597
Citreicella sp. SE45	0.0032032032032032033	0.002795231383042263	0.001528627015008338	0.0019232164888598592
Dactylococcopsis salina	0.0004004004004004004	0.0002627995317390162	0.0006948304613674264	0.0
Anaerophaga thermohalophila	0.005205205205205205	0.0	0.000528071150639244	0.0
Halanaerobium saccharolyticum	0.0	0.0	0.0	0.0
Bradyrhizobiaceae unclassified	0.0034834834834834836	0.0024846501182597893	0.0019733185102834908	0.0023949488351839754
Trichoderma atroviride	0.0	0.0	0.0	0.028376514986573773
Bacillus unclassified	0.0009609609609609609	0.0039897747091287	0.008226792662590328	0.00050801944988751
Desulfatitalea sp. BRH_c12	0.0008808808808808808	0.00045392646391284613	0.0017787659811006114	0.001596632556789317
Azospirillum brasilense	0.0027227227227227227	0.002389086652172874	0.0018899388549193997	0.0024312359387473692
Thiocapsa sp. KS1	0.001001001001001001	0.0008600711947822347	0.001612006670372429	0.001850642281733072
Thioalkalivibrio sp. ALJ17	0.0007207207207207207	0.0003344721313042024	0.0006392440244580322	0.0006531678641410843
Desulfotignum phosphitoxidans	0.0005605605605605605	0.0	0.0004724847137298499	0.0
Thiohalocapsa sp. ML1	0.001081081081081081	0.001505124590868911	0.0013618677042801556	0.001270048624718775
Sorangium cellulosum	0.0025225225225225223	0.0019112693217382994	0.0023346303501945525	0.0026852456636911244
Roseivivax atlanticus	0.002762762762762763	0.0027474496499988055	0.002112284602556976	0.0013426228318455622
Rhodobacter unclassified	0.002642642642642643	0.002341304919129417	0.0011951083935519734	0.0014877712460991364
Clostridiales unclassified	0.0015215215215215216	0.0010511981269560647	0.0023068371317398555	0.0017054938674794977
Rhodopseudomonas palustris	0.002002002002002002	0.0031774852473899226	0.0016397998888271262	0.0012337615211553813
Firmicutes unclassified	0.0016416416416416416	0.0010750889934777934	0.0016675931072818232	0.0015240583496625298
Rhodospirillaceae unclassified	0.002162162162162162	0.002436868385216332	0.0016397998888271262	0.002612671456564337
Marinobacter unclassified	0.0015615615615615615	0.0005494899299997611	0.0006670372429127293	0.0009071775890848393
Marinilabilia salmonicolor	0.0	0.0	0.0	0.0
Deltaproteobacteria bacterium SG8_13	0.001001001001001001	0.00035836299782593113	0.0011951083935519734	0.0011974744175919877
Paracoccus sphaerophysae	0.002002002002002002	0.002412977518694603	0.0011951083935519734	0.0009797517962116264
Comamonadaceae unclassified	0.001881881881881882	0.0017440332560861983	0.0017509727626459145	0.0025038101458741565
Aestuariivita atlantica	0.0026026026026026027	0.003010249181737822	0.0011395219566425793	0.0008346033819580522
Desulfobulbus sp. Tol-SR	0.0008408408408408409	0.0006211625295649473	0.002112284602556976	0.0007983162783946585
Thiorhodococcus sp. AK35	0.001041041041041041	0.0011706524595647084	0.0017787659811006114	0.0016692067639161043
Micrococcales unclassified	0.0019219219219219219	0.0015290154573906396	0.0019455252918287938	0.0023223746280571886
Rhodobacteraceae bacterium PD-2	0.0026826826826826826	0.0019112693217382994	0.0014452473596442469	0.0008708904855214457
Azospirillum lipoferum	0.0013213213213213214	0.0017201423895644695	0.001528627015008338	0.0019957906959866462
Bacillus sonorensis	0.0	0.0037508660439114125	0.0084769316286826	0.0
Roseovarius indicus	0.002242242242242242	0.002508540984781518	0.0010839355197331852	0.00101603889977502
Rhodobacter capsulatus	0.0015215215215215216	0.002389086652172874	0.0009171762090050028	0.001088613106901807
Desulfatiglans anilini	0.001001001001001001	0.0002866903982607449	0.0008615897720956086	0.0016329196603527107
Sandaracinus amylolyticus	0.0016816816816816818	0.001863487588694842	0.0026403557531962203	0.001778068074606285
