	1	2	3	4
PF00384	0.000907697	0.000847145	0.000866666	0.000957964
PF08770	3.13E-05	4.56E-05	2.58E-05	2.28E-05
PF14697	0.000286916	0.000140558	0.000221276	0.000287389
PF09459	0	3.80E-06	1.84E-05	1.82E-05
PF02635	0.0001252	0.000197541	0.000202837	0.000223525
PF12800	0.000636431	0.000288713	0.000464681	0.000638642
PF09242	2.09E-05	1.52E-05	3.69E-06	2.74E-05
PF01568	0.000339082	0.000277317	0.000350354	0.000351253
PF04879	0.000239966	0.000178546	0.000224964	0.000223525
PF01058	0.000297349	0.000349495	0.000342979	0.000360377
PF02665	9.39E-05	5.70E-05	5.16E-05	8.67E-05
PF04358	4.69E-05	2.66E-05	7.01E-05	5.93E-05
PF13501	3.13E-05	4.18E-05	4.06E-05	1.82E-05
PF13247	0.000281699	0.000189943	0.000313475	0.000314759
PF17179	0.000114766	6.46E-05	7.74E-05	7.30E-05
PF03916	0.000271266	0.00030011	0.000291347	0.000383185
PF10418	9.91E-05	7.98E-05	0.00012539	0.00013229
PF02662	0.000203449	9.50E-05	0.000129078	0.00020984
PF01747	0.000219099	0.000170949	0.000140142	0.000214401
PF14306	0.0001252	0.000113966	0.000118014	0.00010492
PF00374	0.000276482	0.000284914	0.000287659	0.000282827
PF12139	3.13E-05	1.14E-05	3.32E-05	4.56E-05

