	1	2	3	4
Alphaproteobacteria	0.3473941837028506	0.3312919137615696	0.23162075592568865	0.17888178389899984
Deltaproteobacteria	0.07112006910452058	0.220140774815718	0.28258808456117873	0.264838498114445
Gammaproteobacteria	0.2288367405701123	0.1350662306711744	0.1250480461242793	0.08763731759304805
Bacteria unclassified	0.03448027641808235	0.04575181510835227	0.05524663677130045	0.10399245777996392
Actinobacteria	0.022171033688453787	0.037687745940253835	0.04794362588084561	0.07148712903754714
Betaproteobacteria	0.020299452922545348	0.03427922185889264	0.04005124919923126	0.04168716182980817
Proteobacteria unclassified	0.02469046933486899	0.03657928282436402	0.03964125560538117	0.05259058862108543
Nonspecific/Host	0.013748920241865822	0.028847752591032533	0.019218449711723255	0.029021151008362025
Cyanobacteria unclassified	0.01245321048085229	0.022668070719946795	0.014093529788597053	0.002910313166092802
Bacilli	0.008134177944140512	0.0034362356592584384	0.010531710442024344	0.00528775209050664
Bacteroidia	0.056939245608983585	0.026132017957102478	0.01324791800128123	0.00926381373995737
Clostridia	0.0914915059026778	0.003491658815052929	0.016476617552850736	0.010698475159862272
Phycisphaerae	0.0007918226317304923	0.002882004101313529	0.008046124279308136	0.01574028529267093
Eurotiomycetes	0.0	0.0	0.0063292761050608584	0.0
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.002910313166092802
Planctomycetia	7.198387561186294e-05	0.0026325999002383194	0.0056117873158231905	0.009919658960485326
Bacteroidetes unclassified	0.005542758422113447	0.0037964861719226293	0.0037924407431133888	0.0034021970814887685
Planctomycetes unclassified	0.00014396775122372588	0.0018566757191154463	0.004919923126201153	0.016396130513198885
Verrucomicrobia unclassified	0.0030233227756982436	0.003131408302388738	0.004484304932735426	0.007583210362354484
Cytophagia	0.006262597178232076	0.004323006151970293	0.0011274823830877642	0.0006558452205279554
Acidobacteria unclassified	7.198387561186294e-05	0.002022945186498919	0.0029468289557975655	0.00397606164945073
Spirochaetia	0.005326806795277857	0.004045890372997838	0.004766175528507367	0.0028693228398098047
Opitutae	0.003383242153757558	0.0022169262317796377	0.0028699551569506725	0.0037711100180357437
Anaerolineae	0.0	0.000886770492711855	0.0027162075592568865	0.00807509427775045
Unclassified Bacteria unclassified	0.0028073711488626548	0.002521753588649338	0.004509929532351057	0.0035661583866207574
Flavobacteriia	0.003887129283040599	0.003075985146594247	0.0023830877642536837	0.0014756517461878996
Deinococci	0.0004319032536711777	0.0018566757191154463	0.0032799487508007688	0.0029922938186587966
