	1	2	3	4
Rhodobacteraceae	0.17571264036855744	0.14515324502577176	0.09132607303010891	0.057468437448762094
Desulfobacteraceae	0.03620788943276706	0.14689907443329822	0.19807815502882767	0.14453189047384818
Bacteria unclassified	0.03448027641808235	0.04575181510835227	0.05524663677130045	0.10399245777996392
Proteobacteria unclassified	0.02469046933486899	0.03657928282436402	0.03964125560538117	0.05259058862108543
Alphaproteobacteria unclassified	0.032104808522890875	0.03015019675220307	0.02413837283792441	0.025495982948024267
Nonspecific/Host	0.013748920241865822	0.028653771545751817	0.019192825112107622	0.02893917035579603
Actinobacteria unclassified	0.010653613590555715	0.01853904561325722	0.023215887251761692	0.03611247745532054
Ectothiorhodospiraceae	0.08904405413187445	0.04918805076761071	0.046021780909673286	0.017748811280537794
Rhizobiales unclassified	0.019435646415202994	0.018788449814332427	0.015246636771300448	0.015043449745859977
Bradyrhizobiaceae	0.016268355888281023	0.018816161392229674	0.01401665598975016	0.009345794392523364
Rhodospirillaceae	0.017204146271235243	0.01693177409521698	0.013452914798206279	0.011682242990654205
Chromatiaceae	0.006406564929455802	0.023804245413733858	0.012120435618193466	0.016806033776028857
Desulfovibrionaceae	0.011157500719838755	0.010253283821980824	0.022242152466367713	0.029062141334645023
Sphingomonadaceae	0.006982435934350706	0.012497921631657707	0.0073542600896860984	0.008771929824561403
Methylobacteriaceae	0.01151742009789807	0.012442498475863215	0.010275464445868033	0.008444007214297425
Deltaproteobacteria unclassified	0.002735387273250792	0.010197860666186333	0.01324791800128123	0.023897360222987375
Pseudomonadaceae	0.008422113446587965	0.012026824807404534	0.01224855861627162	0.012829972126578127
Rhizobiaceae	0.00928591995393032	0.011472593249459625	0.0076617552850736705	0.006845384489260534
Phyllobacteriaceae	0.010005758710048948	0.010364130133569805	0.007687379884689302	0.005943597311034596
Gammaproteobacteria unclassified	0.013892887993089548	0.01180513218422657	0.011044202434336963	0.012133136579767174
Bacillaceae	0.0030953066513101065	0.000942193648506346	0.007123638693145419	0.0014346614199049024
Chroococcales unclassified	0.009357903829542182	0.013772654214930999	0.008737988468930173	0.001147729135923922
Burkholderiales unclassified	0.0052548229196659945	0.007648395499639749	0.008507367072389494	0.008853910477127398
Betaproteobacteria unclassified	0.003815145407428736	0.006983317630105858	0.006841768097373479	0.009755697655353337
Burkholderiaceae	0.00439101641232364	0.006955606052208613	0.007200512491992312	0.008116084604033447
Oscillatoriales unclassified	0.0006478548805067665	0.005265199800476639	0.0024855861627162074	0.00012297097884899163
Comamonadaceae	0.0019435646415202994	0.004156736684586821	0.00689301729660474	0.005984587637317593
Aurantimonadaceae	0.0074143391880218835	0.007260433409078313	0.00535554131966688	0.00250040990326283
Xanthomonadaceae	0.004031097034264325	0.006345951338469213	0.0055349135169762975	0.005615674700770618
Myxococcales unclassified	0.0003599193780593147	0.0143823089286704	0.0025624599615631004	0.0036891293654697493
Hyphomonadaceae	0.011157500719838755	0.007149587097489331	0.00763613068545804	0.0004918839153959665
Acetobacteraceae	0.005110855168442269	0.006623067117441667	0.004945547725816784	0.0053287424167896376
Rhodospirillales unclassified	0.0052548229196659945	0.004323006151970293	0.003741191543882127	0.004590916543695688
Aspergillaceae	0.0	0.0	0.0063292761050608584	0.0
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Streptomycetaceae	0.002591419522027066	0.004849526132017957	0.005201793721973094	0.008444007214297425
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.0028283325135268077
Erythrobacteraceae	0.0008638065073423554	0.008368896524968132	0.0028187059577194106	0.0031562551237907855
Halomonadaceae	0.014396775122372588	0.007565260765948013	0.013555413196668802	0.0023774389244138384
Geobacteraceae	0.0009357903829542183	0.0035747935487446653	0.007559256886611147	0.010124610591900311
Desulfobulbaceae	0.00021595162683558884	0.005348334534168376	0.007687379884689302	0.00914084276110838
Hyphomicrobiaceae	0.002951338900086381	0.004129025106689575	0.0032030749519538757	0.0025823905558288243
Unclassified Gammaproteobacteria unclassified	0.0	0.005653161891038076	0.00535554131966688	0.004918839153959666
Marinilabiliaceae	0.04966887417218543	0.015379925732971235	0.0032543241511851376	0.0006558452205279554
Alteromonadaceae	0.08162971494385257	0.0027434462118273014	0.0030237027546444585	0.0006148548942449582
Caulobacteraceae	0.0022315001439677513	0.003962755639306102	0.0028955797565663037	0.0018855550090178719
Planctomycetes unclassified	0.00014396775122372588	0.0018566757191154463	0.004919923126201153	0.016396130513198885
Halanaerobiaceae	0.08299740858047798	0.00011084631158898187	0.00971172325432415	0.0007378258730939498
Phycisphaerae unclassified	0.0	0.0012193094274788006	0.005637411915438821	0.013075914084276111
Polyangiaceae	7.198387561186294e-05	0.003657928282436402	0.0027930813581037795	0.004918839153959666
Methylocystaceae	0.004606968039159228	0.002494042010752092	0.0024087123638693144	0.0024184292506968354
Rhodocyclaceae	0.001151742009789807	0.002882004101313529	0.003689942344650865	0.002459419576979833
Microbacteriaceae	0.0009357903829542183	0.002189214653882392	0.0026137091607943627	0.003607148712903755
Enterobacteriaceae	0.0020155485171321624	0.0022723493875741285	0.0032543241511851376	0.003607148712903755
Planctomycetaceae	7.198387561186294e-05	0.0016072715180402372	0.0038693145419602818	0.006968355468109526
Bacteroidetes unclassified	0.004822919665994817	0.0030482735686970016	0.0020243433696348493	0.0013526807673389081
Acidobacteria unclassified	7.198387561186294e-05	0.002022945186498919	0.0029468289557975655	0.00397606164945073
Nannocystaceae	0.0	0.007648395499639749	0.0008199871877001922	0.000983767830791933
Xanthobacteraceae	0.0031672905269219693	0.0034639472371556838	0.0018962203715566944	0.0015986227250368913
Spirochaetaceae	0.005038871292830406	0.00385190932771712	0.004535554131966688	0.0026643712083948188
Unclassified Bacteria unclassified	0.0028073711488626548	0.002521753588649338	0.004509929532351057	0.0035661583866207574
Verrucomicrobia unclassified	0.0030233227756982436	0.003131408302388738	0.0005124919923126201	0.007583210362354484
Mycobacteriaceae	0.0020155485171321624	0.0021060799201906557	0.0022293401665598976	0.003484177734054763
Oxalobacteraceae	0.001295709761013533	0.0013301557390677824	0.0018705957719410634	0.0026233808821118218
Opitutaceae	0.0017276130146847107	0.0017458294075264646	0.0022805893657911595	0.003443187407771766
Phycisphaeraceae	0.0007918226317304923	0.0016626946738347282	0.0024087123638693144	0.0026643712083948188
Desulfarculaceae	0.0012237258854016701	0.0014687136285540098	0.0033568225496476618	0.005164781111657649
Anaerolineaceae	0.0	0.0008313473369173641	0.0023574631646380525	0.005656665027053615
Myxococcaceae	0.00028793550244745177	0.0014964252064512554	0.0018962203715566944	0.0027873421872438102
Clostridiales unclassified	0.003599193780593147	0.0012747325832732916	0.0026649583600256246	0.003484177734054763
Hypocreaceae	0.0	0.0	2.5624599615631006e-05	0.0
Alcaligenaceae	0.001151742009789807	0.0018566757191154463	0.0024343369634849455	0.0020495163141498606
Flavobacteriaceae	0.0032392744025338325	0.002604888322341074	0.0021012171684817423	0.0011887194622069192
Gemmatimonadaceae	0.0	0.0011084631158898189	0.0019730941704035874	0.0029922938186587966
Actinobacteria unclassified	0.0007918226317304923	0.0017181178296292192	0.0026137091607943627	0.0024184292506968354
Cyclobacteriaceae	0.006046645551396487	0.003020561990799756	0.00023062139654067906	4.0990326282997215e-05
Rhodobiaceae	0.0016556291390728477	0.00177354098542371	0.0015631005765534914	0.0014346614199049024
Cystobacteraceae	0.0003599193780593147	0.0013855788948622734	0.0018449711723254325	0.0033202164289227744
Nocardiaceae	0.0005038871292830406	0.0013301557390677824	0.0016399743754003844	0.0018855550090178719
Nocardioidaceae	0.0004319032536711777	0.0008036357590201186	0.0017937219730941704	0.0022544679455648465
Bacteroidaceae	0.001079758134177944	0.002604888322341074	0.0021012171684817423	0.0037711100180357437
Rhodanobacteraceae	0.0008638065073423554	0.0015241367843485008	0.0014093529788597053	0.0017625840301688802
Desulfohalobiaceae	0.014252807371148863	0.0012747325832732916	0.004433055733504164	0.0026233808821118218
Beijerinckiaceae	0.0016556291390728477	0.0014964252064512554	0.0013581037796284432	0.0013526807673389081
Sphingomonadales unclassified	0.0008638065073423554	0.001884387297012692	0.0010506085842408711	0.001147729135923922
Firmicutes unclassified	0.0026634033976389287	0.0016626946738347282	0.0021780909673286353	0.003279226102639777
Anaeromyxobacteraceae	0.00021595162683558884	0.0011084631158898189	0.0017680973734785395	0.0023774389244138384
Bacteroidales unclassified	0.0016556291390728477	0.0024663304328548467	0.002998078155028828	0.0020085259878668636
Methylococcaceae	0.001079758134177944	0.0017181178296292192	0.0018962203715566944	0.0014756517461878996
Micrococcales unclassified	0.0008638065073423554	0.0016349830959374826	0.0015887251761691223	0.002131496966715855
Isosphaeraceae	0.0	0.0009699052264035914	0.0015887251761691223	0.00250040990326283
Hydrogenophilaceae	7.198387561186294e-05	0.0007205010253283822	0.0010506085842408711	0.0006148548942449582
Aeromonadaceae	0.001151742009789807	0.0013855788948622734	0.0014862267777065983	0.001926545335300869
Sandaracinaceae	0.0	0.002022945186498919	0.0007174887892376681	0.0016396130513198885
Kofleriaceae	0.0	0.0007759241811228731	0.0011787315823190263	0.001721593703885883
Desulfomicrobiaceae	0.0007198387561186294	0.0011084631158898189	0.0025624599615631004	0.0026643712083948188
Acidobacteriaceae	7.198387561186294e-05	0.000471096824253173	0.0007943625880845611	0.000983767830791933
Verrucomicrobiaceae	0.0	0.0005819431358421548	0.0023574631646380525	0.0020085259878668636
Paenibacillaceae	0.0007918226317304923	0.0010530399600953279	0.0015631005765534914	0.0013526807673389081
Desulfonatronaceae	7.198387561186294e-05	0.0011638862716843096	0.0020499679692504804	0.0031562551237907855
Micrococcaceae	0.0007198387561186294	0.0006373662916366458	0.0012299807815502883	0.0018855550090178719
Rhodothermaceae	0.0007198387561186294	0.0007482126032256277	0.0017680973734785395	0.0020495163141498606
Unclassified Verrucomicrobia unclassified	0.0	0.0	0.003946188340807175	0.0
Thermaceae	7.198387561186294e-05	0.0009699052264035914	0.0014862267777065983	0.0018855550090178719
Methanosarcinaceae	0.01662827526634034	0.00030482735686970016	0.0033311979500320306	0.0014756517461878996
Corynebacteriales unclassified	0.0005758710048949035	0.0007205010253283822	0.0012299807815502883	0.0017625840301688802
Cyanobacteria unclassified	0.0005758710048949035	0.0007482126032256277	0.0007943625880845611	0.0005328742416789638
Xanthomonadales unclassified	0.0005038871292830406	0.0009144820706091005	0.0009481101857783472	0.0009427775045089359
Chromobacteriaceae	0.0006478548805067665	0.000886770492711855	0.0008968609865470852	0.0006968355468109526
Syntrophaceae	7.198387561186294e-05	0.0008313473369173641	0.0011531069827033953	0.003443187407771766
Sinobacteraceae	0.00014396775122372588	0.0009144820706091005	0.0009993593850096093	0.0003279226102639777
Solibacteraceae	0.0	0.0009976168043008369	0.0006662395900064061	0.0012297097884899164
Oscillatoriophycideae unclassified	0.00028793550244745177	0.0008036357590201186	0.0006662395900064061	0.000573864567961961
Desulfuromonadaceae	0.00028793550244745177	0.000886770492711855	0.0012299807815502883	0.001721593703885883
Bacillales unclassified	0.0015836452634609846	0.0005819431358421548	0.0007943625880845611	0.0010657484833579275
Chloroflexi unclassified	0.0	0.0007759241811228731	0.0012299807815502883	0.0018035743564518774
Parcubacteria group unclassified	0.001367693636625396	0.000942193648506346	0.0009993593850096093	0.002090506640432858
Saprospiraceae	0.0	0.0019120988749099373	0.0008968609865470852	0.0
Prolixibacteraceae	0.002735387273250792	0.0025494651665465833	0.0024087123638693144	8.198065256599443e-05
Rhodobacterales unclassified	0.001367693636625396	0.0009144820706091005	0.0005893657911595131	0.000778816199376947
Desulfovibrionales unclassified	0.0009357903829542183	0.0007482126032256277	0.0011018577834721332	0.0014756517461878996
Rikenellaceae	0.0005758710048949035	0.0010530399600953279	0.0008712363869314542	0.0013116904410559109
Deinococcaceae	0.00028793550244745177	0.000471096824253173	0.0013068545803971814	0.0008607968519429415
Cytophagaceae	0.00014396775122372588	0.0004433852463559275	0.0005124919923126201	0.0005328742416789638
Cystobacterineae unclassified	0.00021595162683558884	0.0005819431358421548	0.0007687379884689302	0.0011887194622069192
Syntrophobacteraceae	0.0	0.000471096824253173	0.0006406149903907751	0.0016396130513198885
Porphyromonadaceae	0.001079758134177944	0.0011915978495815552	0.0010249839846252402	0.0006558452205279554
Clostridia unclassified	0.0008638065073423554	0.00038796209056143655	0.0008712363869314542	0.0013116904410559109
Pseudonocardiaceae	0.00014396775122372588	0.0005265199800476639	0.0006149903907751442	0.0010247581570749303
Nocardiopsaceae	0.00021595162683558884	0.0003325389347669456	0.0005893657911595131	0.0008607968519429415
Labilitrichaceae	0.0	0.0010253283821980823	0.0004099935938500961	0.000573864567961961
Scytonemataceae	0.0009357903829542183	0.0006096547137394003	0.0006406149903907751	0.00020495163141498606
Holophagaceae	0.0	0.0005819431358421548	0.0008968609865470852	0.0012297097884899164
Intrasporangiaceae	0.00028793550244745177	0.0005819431358421548	0.0004099935938500961	0.0005328742416789638
Bacteria candidate phyla unclassified	0.0005758710048949035	0.00041567366845868205	0.0004868673926969891	0.0016396130513198885
Pelobacteraceae	0.00021595162683558884	0.0005542315579449094	0.0008712363869314542	0.0006968355468109526
Vulgatibacteraceae	0.0	0.0002771157789724547	0.0004356181934657271	0.000778816199376947
Nitrosomonadaceae	0.0	5.5423155794490936e-05	0.0	0.0
Anaerolineae unclassified	0.0	5.5423155794490936e-05	0.00035874439461883406	0.0024184292506968354
Nostocaceae	0.00028793550244745177	0.0005542315579449094	0.0003843689942344651	0.00012297097884899163
