	1	2	3	4
Bacteria unclassified	0.03448027641808235	0.04575181510835227	0.05524663677130045	0.10399245777996392
Desulfatitalea	0.018499856032248775	0.08646012303940587	0.13365791159513132	0.11104279390063945
Proteobacteria unclassified	0.02469046933486899	0.03657928282436402	0.03964125560538117	0.05259058862108543
Rhodobacteraceae unclassified	0.05132450331125828	0.04259269522806629	0.02647021140294683	0.01709296606000984
Nonspecific/Host	0.013748920241865822	0.028653771545751817	0.019192825112107622	0.02893917035579603
Alphaproteobacteria unclassified	0.02591419522027066	0.025466940087568585	0.021294042280589367	0.02238071815051648
Actinobacteria unclassified	0.010653613590555715	0.01853904561325722	0.023215887251761692	0.03611247745532054
Paracoccus	0.027209904981284193	0.01859446876905171	0.011044202434336963	0.006558452205279554
Rhizobiales unclassified	0.019435646415202994	0.013938923682314471	0.011069827033952595	0.015043449745859977
Desulfovibrio	0.009789807083213361	0.008923128082913042	0.01985906470211403	0.02631578947368421
Thioalkalivibrio	0.04023898646703138	0.022889763343124758	0.02344650864830237	0.008607968519429415
Pseudomonas	0.007918226317304924	0.011223189048384414	0.011428571428571429	0.012297097884899164
Methylobacterium	0.010725597466167578	0.010253283821980824	0.008199871877001922	0.007337268404656501
Gammaproteobacteria unclassified	0.009861790958825223	0.01180513218422657	0.011044202434336963	0.012133136579767174
Rhodobacter	0.013173049236970918	0.010419553289364296	0.007559256886611147	0.004795868175110674
Bacillus	0.0018715807659084366	0.0004988084021504184	0.006073030108904549	0.0006148548942449582
Desulfotignum	0.011949323351569249	0.03317075874300283	0.028443305573350418	0.005205771437940646
Desulfococcus	0.0006478548805067665	0.017541428808956382	0.013606662395900065	0.00823905558288244
Bradyrhizobium	0.0048949035416066804	0.007011029208003104	0.004766175528507367	0.004672897196261682
Unclassified Deltaproteobacteria unclassified	7.198387561186294e-05	0.005764008202627058	0.007123638693145419	0.0132398753894081
Mesorhizobium	0.005830693924560898	0.005736296624729812	0.004996796925048046	0.004631906869978685
Roseovarius	0.008206161819752375	0.007676107077536995	0.004638052530429212	0.002951303492375799
Sphingomonas	0.0034552260293694214	0.005209776644682148	0.0032799487508007688	0.004344974585997705
Azospirillum	0.006262597178232076	0.005764008202627058	0.004458680333119795	0.004426955238563699
Aspergillus	0.0	0.0	0.006303651505445228	0.0
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Rhizobium	0.0028793550244745176	0.004766391398326221	0.0034849455477258167	0.003443187407771766
Burkholderia	0.0031672905269219693	0.004600121930942748	0.004638052530429212	0.005779636005902607
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.0028283325135268077
Bosea	0.004463000287935503	0.005847142936318794	0.00407431133888533	0.0015986227250368913
Oceanicola	0.007198387561186294	0.005126641910990412	0.004279308135810378	0.002910313166092802
Jannaschia	0.006910452058738843	0.005819431358421548	0.003587443946188341	0.0020085259878668636
Streptomyces	0.0022315001439677513	0.004516987197251012	0.00458680333119795	0.00750122970978849
Burkholderiales unclassified	0.0030953066513101065	0.004073601950895084	0.004561178731582319	0.005779636005902607
Halomonas	0.013748920241865822	0.006013412403702267	0.012889173606662396	0.0020085259878668636
Unclassified Rhizobiales unclassified	0.0	0.004821814554120712	0.003997437540038437	0.0
Aureimonas	0.004750935790382954	0.004572410353045502	0.0031774503523382446	0.0015166420724708968
Ectothiorhodospira	0.025986179095882522	0.011001496425206451	0.011633568225496476	0.003935071323167732
Betaproteobacteria unclassified	0.002303484019579614	0.0035193703929501745	0.003766816143497758	0.005123790785374651
Deltaproteobacteria unclassified	0.002591419522027066	0.0037410630161281385	0.005073670723894939	0.008730939498278406
Roseivivax	0.0059746616757846245	0.004156736684586821	0.0023574631646380525	0.0018035743564518774
Geobacter	0.00028793550244745177	0.002771157789724547	0.006073030108904549	0.00868994917199541
Rhodovulum	0.005470774546501584	0.004655545086737239	0.003459320948110186	0.0026643712083948188
Marinobacter	0.08033400518283905	0.0026880230560328107	0.0028699551569506725	0.0004918839153959665
Planctomycetes unclassified	0.00014396775122372588	0.0018566757191154463	0.004919923126201153	0.016396130513198885
Halanaerobium	0.08198963432191189	8.31347336917364e-05	0.00971172325432415	0.0007378258730939498
Unclassified Gammaproteobacteria unclassified	0.0028073711488626548	0.004516987197251012	0.004253683536194747	0.004058042302016724
Ectothiorhodospiraceae unclassified	0.020299452922545348	0.011583439561048606	0.008481742472773862	0.0038121003443187407
Ponticoccus	0.005470774546501584	0.004572410353045502	0.002998078155028828	0.0018035743564518774
Phycisphaerae unclassified	0.0	0.0012193094274788006	0.005637411915438821	0.013075914084276111
Loktanella	0.002303484019579614	0.003269966191874965	0.0015374759769378604	0.0006968355468109526
Enhygromyxa	0.0	0.010807515379925733	0.0004612427930813581	0.0006968355468109526
Unclassified Rhodospirillales unclassified	0.0028073711488626548	0.002521753588649338	0.0022037155669442665	0.002910313166092802
Desulfobulbus	0.00021595162683558884	0.0035193703929501745	0.005432415118513773	0.006886374815543532
Hyphomonas	0.0007198387561186294	0.0030482735686970016	0.005509288917360666	0.00012297097884899163
Thiocapsa	0.0014396775122372588	0.005902566092113285	0.00381806534272902	0.007460239383505493
Unclassified Alphaproteobacteria unclassified	0.0034552260293694214	0.0028542925234162834	0.0014606021780909674	0.001721593703885883
Chromatiaceae unclassified	0.0018715807659084366	0.005071218755195921	0.0017937219730941704	0.0027053615346778162
Bacteroidetes unclassified	0.004822919665994817	0.0030482735686970016	0.0020243433696348493	0.0013526807673389081
Plesiocystis	0.0	0.007648395499639749	0.0008199871877001922	0.000983767830791933
Desulfosarcina	0.0010077742585660812	0.0017458294075264646	0.005944907110826393	0.005738645679619609
Citreicella	0.004031097034264325	0.002715734633930056	0.0017168481742472774	0.0012707001147729137
Unclassified Bacteria unclassified	0.0028073711488626548	0.002521753588649338	0.004509929532351057	0.0035661583866207574
Verrucomicrobia unclassified	0.0030233227756982436	0.003131408302388738	0.0005124919923126201	0.007583210362354484
Mycobacterium	0.0020155485171321624	0.0021060799201906557	0.0022293401665598976	0.003484177734054763
Unclassified Betaproteobacteria unclassified	0.001079758134177944	0.0019952336086016737	0.0018193465727098014	0.0022544679455648465
Leptolyngbya	0.0	0.0022169262317796377	0.0008712363869314542	0.0
Devosia	0.001367693636625396	0.002300060965471374	0.0013837283792440744	0.0013526807673389081
Ruegeria	0.0022315001439677513	0.002521753588649338	0.0013324791800128123	0.0005328742416789638
Synechococcus	0.00028793550244745177	0.0015241367843485008	0.0003843689942344651	0.00045089358911296935
Xanthomonadaceae unclassified	0.0014396775122372588	0.0016349830959374826	0.0020243433696348493	0.0020495163141498606
Porphyrobacter	0.00028793550244745177	0.0032145430360804744	0.0015631005765534914	0.0022544679455648465
Phycisphaera	0.0007918226317304923	0.0016626946738347282	0.0024087123638693144	0.0026643712083948188
Sphingomonadaceae unclassified	0.0015116613878491218	0.002300060965471374	0.0017168481742472774	0.001967535661583866
