	1	2	3	4
Rhodobacterales	0.1882378347250216	0.1532173141938702	0.09955156950672646	0.05873913756353501
Rhizobiales	0.08825223150014397	0.09288920911156681	0.07123638693145419	0.05763239875389408
Desulfobacterales	0.03656780881082637	0.15241367843485007	0.20607303010890454	0.15400065584522052
Bacteria unclassified	0.03448027641808235	0.04575181510835227	0.05524663677130045	0.10399245777996392
Proteobacteria unclassified	0.02469046933486899	0.03657928282436402	0.03964125560538117	0.05259058862108543
Chromatiales	0.09624244169306076	0.07498752978994624	0.05947469570787956	0.03586653549762256
Alphaproteobacteria unclassified	0.032104808522890875	0.03015019675220307	0.02413837283792441	0.025495982948024267
Rhodospirillales	0.027569824359343506	0.027877847364628942	0.02213965406790519	0.02160190195113953
Burkholderiales	0.014036855744313273	0.022002992850412902	0.02700832799487508	0.02762747991474012
Nonspecific/Host	0.013748920241865822	0.028653771545751817	0.019192825112107622	0.029021151008362025
Actinobacteria unclassified	0.010653613590555715	0.01853904561325722	0.023215887251761692	0.03611247745532054
Myxococcales	0.0015116613878491218	0.034722607105248576	0.015400384368994234	0.024307263485817347
Sphingomonadales	0.008710048949035416	0.02275120545363853	0.011223574631646381	0.013075914084276111
Desulfovibrionales	0.02713792110567233	0.014548578396053872	0.03238949391415759	0.03898180029513035
Gammaproteobacteria unclassified	0.013892887993089548	0.017707698276339855	0.01675848814862268	0.017625840301688803
Bacillales	0.006406564929455802	0.002715734633930056	0.009737347853939782	0.004467945564846696
Pseudomonadales	0.009069968327094731	0.012913595300116388	0.012786675208199871	0.013485817347106082
Deltaproteobacteria unclassified	0.002735387273250792	0.010197860666186333	0.01324791800128123	0.023897360222987375
Bacteroidales	0.05686726173337173	0.026076594801307987	0.013196668802049968	0.009181833087391376
Chroococcales	0.009357903829542182	0.013772654214930999	0.008737988468930173	0.001147729135923922
Xanthomonadales	0.005398790670889721	0.008784570193426813	0.00789237668161435	0.008321036235448434
Betaproteobacteria unclassified	0.003815145407428736	0.006983317630105858	0.006841768097373479	0.009755697655353337
Micrococcales	0.0033112582781456954	0.005874854514216039	0.006841768097373479	0.009837678307919331
Oscillatoriales	0.0006478548805067665	0.005265199800476639	0.0024855861627162074	0.00012297097884899163
Desulfuromonadales	0.0018715807659084366	0.0052374882225793935	0.010019218449711723	0.01278898180029513
Corynebacteriales	0.0035272099049812843	0.004710968242531729	0.006201153106982703	0.008280045909165437
Oceanospirillales	0.014900662251655629	0.008590589148146095	0.014144778987828316	0.0026233808821118218
Eurotiales	0.0	0.0	0.0063292761050608584	0.0
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Streptomycetales	0.002591419522027066	0.004849526132017957	0.005201793721973094	0.008444007214297425
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.0028283325135268077
Planctomycetales	7.198387561186294e-05	0.0026325999002383194	0.0056117873158231905	0.009837678307919331
Alteromonadales	0.08285344082925425	0.0033253893476694564	0.0034849455477258167	0.0009017871782259387
Clostridiales	0.006982435934350706	0.0028542925234162834	0.005586162716207559	0.00823905558288244
Halanaerobiales	0.0831413763317017	0.00011084631158898187	0.00971172325432415	0.0007378258730939498
Planctomycetes unclassified	0.00014396775122372588	0.0018566757191154463	0.004919923126201153	0.016396130513198885
Caulobacterales	0.0022315001439677513	0.003962755639306102	0.0028955797565663037	0.0018855550090178719
Phycisphaerae unclassified	0.0	0.0012193094274788006	0.005637411915438821	0.013075914084276111
Rhodocyclales	0.001151742009789807	0.002882004101313529	0.003689942344650865	0.002459419576979833
Enterobacteriales	0.0020155485171321624	0.0022723493875741285	0.0032543241511851376	0.003607148712903755
Cytophagales	0.006262597178232076	0.004323006151970293	0.0011274823830877642	0.0006558452205279554
Bacteroidetes unclassified	0.004822919665994817	0.0030482735686970016	0.0020243433696348493	0.0013526807673389081
Acidobacteria unclassified	7.198387561186294e-05	0.002022945186498919	0.0029468289557975655	0.00397606164945073
Spirochaetales	0.0052548229196659945	0.0038796209056143655	0.00458680333119795	0.0027053615346778162
Unclassified Bacteria unclassified	0.0028073711488626548	0.002521753588649338	0.004509929532351057	0.0035661583866207574
Verrucomicrobia unclassified	0.0030233227756982436	0.003131408302388738	0.0005124919923126201	0.007583210362354484
Opitutales	0.0017276130146847107	0.0017458294075264646	0.0022805893657911595	0.003443187407771766
Phycisphaerales	0.0007918226317304923	0.0016626946738347282	0.0024087123638693144	0.0026643712083948188
Desulfarculales	0.0012237258854016701	0.0014687136285540098	0.0033568225496476618	0.005164781111657649
Propionibacteriales	0.0007198387561186294	0.0010807515379925733	0.0022293401665598976	0.0029922938186587966
Anaerolineales	0.0	0.0008313473369173641	0.0023574631646380525	0.005656665027053615
Flavobacteriales	0.00367117765620501	0.002992850412902511	0.0023318385650224214	0.0013526807673389081
Verrucomicrobiales	0.0006478548805067665	0.0012193094274788006	0.0032799487508007688	0.0033612067552057714
Hypocreales	0.0	0.0	2.5624599615631006e-05	0.0
Gemmatimonadales	0.0	0.0011084631158898189	0.0019730941704035874	0.0029922938186587966
Syntrophobacterales	7.198387561186294e-05	0.0014964252064512554	0.0021012171684817423	0.005656665027053615
Actinobacteria unclassified	0.0007918226317304923	0.0017181178296292192	0.0026137091607943627	0.0024184292506968354
Methylococcales	0.0012237258854016701	0.001828964141218201	0.0021780909673286353	0.001721593703885883
Firmicutes unclassified	0.0026634033976389287	0.0016626946738347282	0.0021780909673286353	0.003279226102639777
Streptosporangiales	0.0004319032536711777	0.000942193648506346	0.0015118513773222293	0.0022134776192818495
Nostocales	0.001295709761013533	0.0013855788948622734	0.0010506085842408711	0.0003689129365469749
Hydrogenophilales	7.198387561186294e-05	0.0007205010253283822	0.0010506085842408711	0.0006148548942449582
Aeromonadales	0.001151742009789807	0.0013855788948622734	0.0014862267777065983	0.0020085259878668636
Neisseriales	0.0010077742585660812	0.001413290472759519	0.0012556053811659193	0.0011067388096409247
Acidobacteriales	7.198387561186294e-05	0.000471096824253173	0.0007943625880845611	0.000983767830791933
Solibacterales	0.0	0.0011638862716843096	0.0008712363869314542	0.0014346614199049024
Sphingobacteriales	0.001367693636625396	0.0026880230560328107	0.0013581037796284432	8.198065256599443e-05
Bacteroidetes Order II. Incertae sedis	0.0007198387561186294	0.0007482126032256277	0.0017680973734785395	0.0020495163141498606
Nevskiales	0.00014396775122372588	0.0010807515379925733	0.0013324791800128123	0.0003279226102639777
Unclassified Verrucomicrobia unclassified	0.0	0.0	0.003946188340807175	0.0
Chloroflexales	0.00014396775122372588	0.001247021005376046	0.0012043561819346572	0.0008607968519429415
Thermales	7.198387561186294e-05	0.0009699052264035914	0.0014862267777065983	0.0018855550090178719
Methanosarcinales	0.01662827526634034	0.00030482735686970016	0.0033568225496476618	0.0014756517461878996
Cyanobacteria unclassified	0.0005758710048949035	0.0007482126032256277	0.0007943625880845611	0.0005328742416789638
Solirubrobacterales	7.198387561186294e-05	0.000942193648506346	0.0012812299807815502	0.0010247581570749303
Deinococcales	0.0003599193780593147	0.0006927894474311367	0.0016912235746316465	0.0008607968519429415
Oscillatoriophycideae unclassified	0.00028793550244745177	0.0008036357590201186	0.0006662395900064061	0.000573864567961961
Chloroflexi unclassified	0.0	0.0007759241811228731	0.0012299807815502883	0.0018035743564518774
Parcubacteria group unclassified	0.001367693636625396	0.000942193648506346	0.0009993593850096093	0.002090506640432858
Clostridia unclassified	0.0008638065073423554	0.00038796209056143655	0.0008712363869314542	0.0013116904410559109
Pseudonocardiales	0.00014396775122372588	0.0005265199800476639	0.0006149903907751442	0.0010247581570749303
Holophagales	0.0	0.0005819431358421548	0.0008968609865470852	0.0012297097884899164
Bacteria candidate phyla unclassified	0.0005758710048949035	0.00041567366845868205	0.0004868673926969891	0.0016396130513198885
Acidimicrobiales	0.0	0.0007759241811228731	0.0005381165919282511	4.0990326282997215e-05
Frankiales	0.00014396775122372588	0.00030482735686970016	0.0005381165919282511	0.0006968355468109526
Lactobacillales	0.001295709761013533	0.000471096824253173	0.0006406149903907751	0.000573864567961961
Nitrosomonadales	0.0	5.5423155794490936e-05	0.0	0.0
Anaerolineae unclassified	0.0	5.5423155794490936e-05	0.00035874439461883406	0.0024184292506968354
Actinomycetales	0.00028793550244745177	0.000471096824253173	0.0007174887892376681	0.0007378258730939498
Acidithiobacillales	0.0005038871292830406	0.0005265199800476639	0.0006149903907751442	0.0006148548942449582
Synergistales	0.00014396775122372588	0.00011084631158898187	0.0009224855861627163	0.001147729135923922
Parvularculales	7.198387561186294e-05	0.00038796209056143655	0.0003843689942344651	0.00020495163141498606
Prochlorales	7.198387561186294e-05	0.00030482735686970016	5.124919923126201e-05	4.0990326282997215e-05
