	1	2	3	4
Proteobacteria	0.6932047221422402	0.7580225018012525	0.7195387572069186	0.6261272339727825
Bacteria unclassified	0.03448027641808235	0.04575181510835227	0.05524663677130045	0.10399245777996392
Actinobacteria	0.02346674344946732	0.04184448262484066	0.05363228699551569	0.07652893917035579
Nonspecific/Host	0.013748920241865822	0.028847752591032533	0.019218449711723255	0.029021151008362025
Firmicutes	0.1025770227469047	0.009421936485063459	0.03010890454836643	0.02074110509919659
Cyanobacteria	0.01245321048085229	0.022917474921022002	0.014093529788597053	0.002910313166092802
Bacteroidetes	0.0739994241289951	0.040015518483622455	0.02190903267136451	0.014879488440727989
Planctomycetes	0.0010077742585660812	0.007371279720667295	0.018577834721332478	0.04205607476635514
Verrucomicrobia	0.0070544198099625685	0.0065676439616471766	0.010634208840486867	0.014715527135595999
Ascomycota	7.198387561186294e-05	8.31347336917364e-05	0.0064830237027546445	0.00012297097884899163
Acidobacteria	0.00014396775122372588	0.004239871418278557	0.005509288917360666	0.0076242006886374815
Chloroflexi	0.00014396775122372588	0.003962755639306102	0.006149903907751442	0.01455156583046401
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.002910313166092802
Euryarchaeota	0.01785200115174201	0.001413290472759519	0.005150544522741832	0.005943597311034596
Spirochaetes	0.005326806795277857	0.004045890372997838	0.004766175528507367	0.0028693228398098047
Unclassified Bacteria unclassified	0.0028073711488626548	0.002521753588649338	0.004509929532351057	0.0035661583866207574
Deinococcus-Thermus	0.0004319032536711777	0.0018566757191154463	0.0032799487508007688	0.0029922938186587966
Gemmatimonadetes	0.0	0.0011084631158898189	0.0019730941704035874	0.0029922938186587966
Parcubacteria group unclassified	0.001367693636625396	0.000942193648506346	0.0009993593850096093	0.002090506640432858
Bacteria candidate phyla unclassified	0.0005758710048949035	0.00041567366845868205	0.0004868673926969891	0.0016396130513198885
Synergistetes	0.00014396775122372588	0.00011084631158898187	0.0009481101857783472	0.001147729135923922
Armatimonadetes	7.198387561186294e-05	0.00011084631158898187	0.0006149903907751442	0.0013116904410559109
Chlorobi	0.0	0.00022169262317796375	0.0006918641896220372	0.0007378258730939498
Archaea unclassified	0.0	0.00011084631158898187	0.0004099935938500961	0.00024594195769798326
Candidatus Rokubacteria	0.0	0.00013855788948622736	0.0003331197950032031	0.0006968355468109526
Thermotogae	0.00028793550244745177	0.00013855788948622736	0.0018705957719410634	0.0004099032628299721
Nitrospirae	0.00014396775122372588	8.31347336917364e-05	0.00028187059577194104	0.000573864567961961
Microgenomates group unclassified	7.198387561186294e-05	0.0002494042010752092	0.00028187059577194104	0.00045089358911296935
Nitrospinae	0.0	0.0	0.0003843689942344651	4.0990326282997215e-05
PVC group unclassified	0.00014396775122372588	0.0001662694673834728	0.00017937219730941703	0.0003279226102639777
Cloacimonetes	0.00014396775122372588	0.00022169262317796375	0.00028187059577194104	0.00045089358911296935
Patescibacteria group unclassified	0.00028793550244745177	8.31347336917364e-05	0.00023062139654067906	0.00020495163141498606
FCB group unclassified	0.0	8.31347336917364e-05	0.0004612427930813581	0.00012297097884899163
Nanoarchaeota	7.198387561186294e-05	0.00011084631158898187	0.00035874439461883406	0.00024594195769798326
Candidatus Moranbacteria	0.00014396775122372588	0.00011084631158898187	0.00025624599615631005	0.00012297097884899163
Candidate division NC10	0.0	0.0	0.0	0.0006558452205279554
Chlamydiae	0.00014396775122372588	0.0001662694673834728	7.687379884689302e-05	4.0990326282997215e-05
Marinimicrobia	0.00028793550244745177	0.00011084631158898187	0.00010249839846252402	0.0003279226102639777
Omnitrophica	0.0	2.7711577897245468e-05	0.0	0.00045089358911296935
Fusobacteria	0.0005758710048949035	0.00013855788948622736	2.5624599615631006e-05	8.198065256599443e-05
Bacteroidetes/Chlorobi group unclassified	7.198387561186294e-05	0.00011084631158898187	0.00010249839846252402	8.198065256599443e-05
Candidatus Uhrbacteria	0.00014396775122372588	0.00013855788948622736	0.00015374759769378604	8.198065256599443e-05
Thaumarchaeota	0.0	0.0	0.00012812299807815503	0.00016396130513198886
Candidatus Peregrinibacteria	0.0003599193780593147	5.5423155794490936e-05	2.5624599615631006e-05	4.0990326282997215e-05
Candidatus Falkowbacteria	0.0	8.31347336917364e-05	5.124919923126201e-05	4.0990326282997215e-05
Candidatus Atribacteria	7.198387561186294e-05	5.5423155794490936e-05	0.0003074951953875721	0.0003689129365469749
Candidatus Parcubacteria	7.198387561186294e-05	2.7711577897245468e-05	0.0	0.0
Candidatus Magasanikbacteria	0.00014396775122372588	2.7711577897245468e-05	0.00010249839846252402	0.0002869322839809805
Latescibacteria	0.0	0.0	7.687379884689302e-05	0.00045089358911296935
Chrysiogenetes	0.0	0.0	0.00025624599615631005	0.0003279226102639777
