	1	2	3	4
Bacteria unclassified	0.03289663115462137	0.044781909881948676	0.05434977578475336	0.102926709296606
Desulfatitalea tepidiphila	0.016988194644399653	0.08443717785290694	0.1304035874439462	0.10792752910313166
Proteobacteria unclassified	0.02469046933486899	0.03657928282436402	0.03964125560538117	0.05259058862108543
Alphaproteobacteria unclassified	0.02591419522027066	0.025466940087568585	0.021294042280589367	0.02238071815051648
Nonspecific	0.013748920241865822	0.02197528127251566	0.01755285073670724	0.026274799147401214
Actinobacteria unclassified	0.010653613590555715	0.01828964141218201	0.022549647661755285	0.035046728971962614
Rhodobacteraceae unclassified	0.02713792110567233	0.02325001385578895	0.014324151185137732	0.010862436464994261
Rhizobiales unclassified	0.014468758997984452	0.013938923682314471	0.011069827033952595	0.012051155927201181
Gammaproteobacteria unclassified	0.009861790958825223	0.01180513218422657	0.011044202434336963	0.012133136579767174
Pseudomonas unclassified	0.007918226317304924	0.009893033309316632	0.009993593850096093	0.012297097884899164
Desulfococcus oleovorans	0.0006478548805067665	0.017541428808956382	0.013606662395900065	0.00823905558288244
Methylobacterium unclassified	0.008997984451482867	0.0065676439616471766	0.005406790518898142	0.005861616658468602
Thioalkalivibrio unclassified	0.020443420673769076	0.011638862716843097	0.011582319026265215	0.0064354812264305625
Aspergillus sp. Z5	0.0	0.0	0.006201153106982703	0.0
Rhodobacteraceae bacterium HLUCCA09	0.007558306939245609	0.007759241811228731	0.0039718129404228055	0.002131496966715855
Terrabacteria group unclassified	0.002375467895191477	0.004904949287812448	0.005150544522741832	0.0076242006886374815
Paracoccus unclassified	0.00856608119781169	0.005902566092113285	0.0037924407431133888	0.0025414002295458273
Eukaryota unclassified	0.0019435646415202994	0.00972676384193316	0.0022293401665598976	0.0028283325135268077
Burkholderia unclassified	0.002591419522027066	0.004600121930942748	0.004638052530429212	0.005779636005902607
Desulfotignum unclassified	0.0059746616757846245	0.018982430859613146	0.015169762972453555	0.003279226102639777
Bradyrhizobium unclassified	0.0048949035416066804	0.0048772377099152026	0.003587443946188341	0.004672897196261682
Streptomyces unclassified	0.002159516268355888	0.004516987197251012	0.004535554131966688	0.007460239383505493
Burkholderiales unclassified	0.0030953066513101065	0.004073601950895084	0.004561178731582319	0.005779636005902607
Homo sapiens	0.0	0.006678490273236158	0.0016399743754003844	0.0026643712083948188
Ectothiorhodospira sp. PHS-1	0.025986179095882522	0.011001496425206451	0.011633568225496476	0.003935071323167732
Betaproteobacteria unclassified	0.002303484019579614	0.0035193703929501745	0.003766816143497758	0.005123790785374651
Mesorhizobium unclassified	0.004678951914771091	0.0034362356592584384	0.0030237027546444585	0.003853090670601738
Deltaproteobacteria unclassified	0.002591419522027066	0.0037410630161281385	0.005073670723894939	0.008730939498278406
Sphingomonas unclassified	0.003383242153757558	0.0034085240813611925	0.0032799487508007688	0.003935071323167732
Rhizobium unclassified	0.002591419522027066	0.0034639472371556838	0.0030493273542600897	0.003443187407771766
Ectothiorhodospiraceae unclassified	0.020299452922545348	0.011583439561048606	0.008481742472773862	0.0038121003443187407
Bacillus sp. NSP9.1	0.0	0.0	0.0025368353619474697	0.0
Enhygromyxa salina	0.0	0.010807515379925733	0.0004612427930813581	0.0006968355468109526
Desulfovibrio unclassified	0.002375467895191477	0.002244637809676883	0.00484304932735426	0.006271519921298574
Rhodobacter sphaeroides	0.003599193780593147	0.0036856398603336473	0.0018962203715566944	0.001557632398753894
Plesiocystis pacifica	0.0	0.007648395499639749	0.0008199871877001922	0.000983767830791933
Phycisphaerae bacterium SM23_33	0.0	0.0012193094274788006	0.0037924407431133888	0.010247581570749302
Desulfosarcina cetonica	0.0010077742585660812	0.0017458294075264646	0.0053042921204356185	0.005123790785374651
Chromatiaceae unclassified	0.0018715807659084366	0.004461564041456521	0.0014862267777065983	0.0020495163141498606
Rhodovulum sulfidophilum	0.003743161531816873	0.003020561990799756	0.0024343369634849455	0.001926545335300869
Rhodobacteraceae bacterium HLUCCO18	0.004678951914771091	0.0027988693676217922	0.0024599615631005767	0.0011887194622069192
Mycobacterium unclassified	0.0020155485171321624	0.0021060799201906557	0.0022293401665598976	0.003484177734054763
Ponticoccus sp. SJ5A-1	0.00367117765620501	0.002992850412902511	0.0016912235746316465	0.000983767830791933
Phycisphaera mikurensis	0.0007918226317304923	0.0016626946738347282	0.0024087123638693144	0.0026643712083948188
Sphingomonadaceae unclassified	0.0015116613878491218	0.002300060965471374	0.0017168481742472774	0.001967535661583866
Myxococcales unclassified	0.0003599193780593147	0.0031591198802859836	0.0017937219730941704	0.0029922938186587966
Desulfotignum balticum	0.003599193780593147	0.007482126032256277	0.0073542600896860984	0.0010657484833579275
Rhodospirillales bacterium Ga0074136	0.0007918226317304923	0.001413290472759519	0.0012556053811659193	0.0016806033776028857
Bacteroidetes unclassified	0.0030953066513101065	0.002882004101313529	0.0020243433696348493	0.0013526807673389081
Loktanella vestfoldensis	0.0006478548805067665	0.0018012525633209556	0.0005893657911595131	0.00020495163141498606
Xanthomonadaceae unclassified	0.001079758134177944	0.0016349830959374826	0.0017168481742472774	0.0020495163141498606
Rhodobacteraceae bacterium HLUCCA08	0.003383242153757558	0.0028542925234162834	0.0016655989750160153	0.0010247581570749303
Deltaproteobacteria bacterium Ga0077550	0.0	0.0031036967244914924	0.0011787315823190263	0.001557632398753894
Citreicella sp. SE45	0.0030953066513101065	0.0019952336086016737	0.0013324791800128123	0.0012707001147729137
Dactylococcopsis salina	0.0045349841635473655	0.004738679820428976	0.003946188340807175	0.0
Anaerophaga thermohalophila	0.005686726173337172	0.012442498475863215	0.0018193465727098014	0.0003279226102639777
Halanaerobium saccharolyticum	0.042470486610999135	0.0	0.004868673926969891	0.00020495163141498606
Bradyrhizobiaceae unclassified	0.002303484019579614	0.0017181178296292192	0.0013581037796284432	0.0013936710936219051
Trichoderma atroviride	0.0	0.0	0.0	0.0
Bacillus unclassified	0.0018715807659084366	0.0004988084021504184	0.0013581037796284432	0.0006148548942449582
Desulfatitalea sp. BRH_c12	0.0014396775122372588	0.0019120988749099373	0.0031005765534913516	0.002910313166092802
Azospirillum brasilense	0.0018715807659084366	0.0017458294075264646	0.0013068545803971814	0.0012707001147729137
Thiocapsa sp. KS1	0.0006478548805067665	0.003269966191874965	0.0018449711723254325	0.0037711100180357437
Thioalkalivibrio sp. ALJ17	0.009357903829542182	0.004045890372997838	0.004304932735426009	0.0014346614199049024
Desulfotignum phosphitoxidans	0.002375467895191477	0.0067062018511334035	0.005919282511210763	0.0008607968519429415
Thiohalocapsa sp. ML1	0.0003599193780593147	0.002494042010752092	0.0010762331838565023	0.0012707001147729137
Sorangium cellulosum	0.0	0.0020506567643961645	0.0011787315823190263	0.0027463518609608132
Roseivivax atlanticus	0.0030953066513101065	0.0018566757191154463	0.0010506085842408711	0.0009017871782259387
Rhodobacter unclassified	0.002735387273250792	0.001884387297012692	0.0015374759769378604	0.00045089358911296935
Clostridiales unclassified	0.003599193780593147	0.0010807515379925733	0.0022293401665598976	0.0031562551237907855
Rhodopseudomonas palustris	0.0026634033976389287	0.0012747325832732916	0.0016143497757847534	0.0
Firmicutes unclassified	0.0026634033976389287	0.0016626946738347282	0.0021780909673286353	0.003279226102639777
Rhodospirillaceae unclassified	0.0018715807659084366	0.0014687136285540098	0.0007687379884689302	0.0008607968519429415
Marinobacter unclassified	0.02569824359343507	0.0009699052264035914	0.0013581037796284432	0.00045089358911296935
Marinilabilia salmonicolor	0.040598905845090696	0.0010530399600953279	0.0005637411915438821	0.00020495163141498606
Deltaproteobacteria bacterium SG8_13	0.0	0.0012747325832732916	0.0023062139654067906	0.0037711100180357437
Paracoccus sphaerophysae	0.0028073711488626548	0.0019675220307044283	0.0012556053811659193	0.0008607968519429415
Comamonadaceae unclassified	0.0007918226317304923	0.0013855788948622734	0.0015631005765534914	0.001967535661583866
Aestuariivita atlantica	0.0017995968902965735	0.0015518483622457462	0.0010762331838565023	0.0008607968519429415
Desulfobulbus sp. Tol-SR	0.0	0.0015241367843485008	0.0020499679692504804	0.002910313166092802
Thiorhodococcus sp. AK35	0.0007918226317304923	0.0024386188549576013	0.0013581037796284432	0.0013116904410559109
Micrococcales unclassified	0.0008638065073423554	0.0016349830959374826	0.0015887251761691223	0.002131496966715855
Rhodobacteraceae bacterium PD-2	0.0026634033976389287	0.0015241367843485008	0.0012812299807815502	0.0006968355468109526
Azospirillum lipoferum	0.0015116613878491218	0.0015241367843485008	0.0014349775784753362	0.0011067388096409247
Bacillus sonorensis	0.0	0.0	0.0006662395900064061	0.0
Roseovarius indicus	0.0016556291390728477	0.0013855788948622734	0.0011787315823190263	0.0008198065256599442
Rhodobacter capsulatus	0.0019435646415202994	0.001413290472759519	0.0011787315823190263	0.000778816199376947
Desulfatiglans anilini	0.0005038871292830406	0.0011915978495815552	0.0023062139654067906	0.0037301196917527463
Sandaracinus amylolyticus	0.0	0.002022945186498919	0.0007174887892376681	0.0016396130513198885
Celeribacter indicus	0.0015116613878491218	0.0013855788948622734	0.0011787315823190263	0.0007378258730939498
Actinobacteria unclassified	0.0007918226317304923	0.0011638862716843096	0.0019474695707879565	0.0018855550090178719
Sphingomonadales unclassified	0.0008638065073423554	0.0011638862716843096	0.0010506085842408711	0.0010657484833579275
Algoriphagus marincola	0.0059746616757846245	0.0005265199800476639	2.5624599615631006e-05	0.0
Ponticoccus sp. UMTAT08	0.0017995968902965735	0.0015518483622457462	0.0013068545803971814	0.000778816199376947
Haliangium ochraceum	0.0	0.0007759241811228731	0.0011787315823190263	0.001721593703885883
Rhodobacteraceae bacterium HLUCCA12	0.0020155485171321624	0.001413290472759519	0.0010762331838565023	0.0004099032628299721
Rhodospirillales bacterium URHD0088	0.0019435646415202994	0.0011084631158898189	0.0009224855861627163	0.0011887194622069192
Aeromonas unclassified	0.001151742009789807	0.001302444161170537	0.0012556053811659193	0.001926545335300869
Jannaschia seosinensis	0.0020155485171321624	0.0017181178296292192	0.0007687379884689302	0.000573864567961961
Jannaschia rubra	0.001367693636625396	0.0015241367843485008	0.0008456117873158232	0.0008198065256599442
Thiocapsa marina	0.0006478548805067665	0.0022169262317796377	0.0017680973734785395	0.0034021970814887685
Verrucomicrobia bacterium L21-Fru-AB	0.0005758710048949035	0.000942193648506346	0.0021524663677130046	0.0029922938186587966
Thioclava sp. 13D2W-2	0.0018715807659084366	0.0015795599401429918	0.0009224855861627163	0.000778816199376947
Desulfospira joergensenii	0.0009357903829542183	0.0015241367843485008	0.0031005765534913516	0.0013936710936219051
Rhodobacter sp. CACIA14H1	0.0012237258854016701	0.0012193094274788006	0.0009993593850096093	0.000778816199376947
Bacteroides unclassified	0.001079758134177944	0.001884387297012692	0.0015631005765534914	0.0021724872929988525
Halothece sp. PCC 7418	0.0028073711488626548	0.0029374272571080196	0.0032543241511851376	0.0
Desulfatirhabdium butyrativorans	0.0006478548805067665	0.000886770492711855	0.0020755925688661116	0.0024184292506968354
Roseovarius tolerans	0.002159516268355888	0.001828964141218201	0.0010506085842408711	0.0006148548942449582
Desulfovermiculus halophilus	0.012885113734523466	0.0008590589148146096	0.003228699551569507	0.0012707001147729137
Salinarimonas rosea	0.0016556291390728477	0.0019952336086016737	0.0009224855861627163	0.0012297097884899164
Geobacter unclassified	0.00028793550244745177	0.0008036357590201186	0.0013837283792440744	0.003074274471224791
Oceanicola sp. HL-35	0.0016556291390728477	0.0013855788948622734	0.0010506085842408711	0.0006968355468109526
Planctomycetes bacterium SM23_25	0.0	0.0007205010253283822	0.0016399743754003844	0.00500081980652566
Deltaproteobacteria bacterium SM23_61	0.0	0.0005819431358421548	0.0014606021780909674	0.004836858501393671
Halomonas unclassified	0.0017276130146847107	0.0011638862716843096	0.0012812299807815502	0.0008198065256599442
Devosia unclassified	0.0007198387561186294	0.0012193094274788006	0.0008968609865470852	0.0013526807673389081
Rhodospirillales unclassified	0.001367693636625396	0.0008313473369173641	0.0007431133888532992	0.000778816199376947
Candidatus Rhodobacter lobularis	0.0024474517708033402	0.0011361746937870643	0.0010762331838565023	0.00045089358911296935
Enterobacteriaceae unclassified	0.0009357903829542183	0.0008036357590201186	0.0010506085842408711	0.0013936710936219051
Jannaschia aquimarina	0.0019435646415202994	0.0009976168043008369	0.0009993593850096093	0.0006148548942449582
