	1	2	3	4
PF00384	0.000831302	0.000935072	0.000931377	0.001077331
PF08770	4.49E-05	1.77E-05	1.68E-05	4.16E-06
PF14697	0.000415651	0.000305782	0.000477457	0.000549064
PF09459	0	8.86E-06	0	4.16E-06
PF02635	0.00023591	0.000288055	0.000302614	0.000253734
PF12800	0.000651561	0.000638154	0.000823781	0.000965022
PF09242	2.25E-05	1.33E-05	2.02E-05	0
PF01568	0.000303313	0.00030135	0.000319425	0.000374362
PF04879	0.000202209	0.000226013	0.000235366	0.000257894
PF01058	0.00023591	0.000367825	0.000353049	0.000445075
PF02665	2.25E-05	7.09E-05	0.000104234	7.07E-05
PF04358	5.62E-05	9.31E-05	5.72E-05	6.66E-05
PF13501	5.62E-05	1.33E-05	2.35E-05	8.32E-06
PF13247	0.00023591	0.000358961	0.000342962	0.000436756
PF17179	0.000168507	8.42E-05	0.000171481	0.000166383
PF03916	0.000157273	0.000336803	0.000342962	0.000282851
PF10418	0.000134806	0.000124085	0.000188293	0.000270373
PF02662	0.000123572	0.000265897	0.000393398	0.000540745
PF01747	8.99E-05	0.000181697	0.000195018	0.00019966
PF14306	5.62E-05	0.00016397	0.000137857	0.000128947
PF00374	0.000134806	0.000336803	0.000295889	0.000345245
PF12139	1.12E-05	2.22E-05	4.37E-05	6.24E-05

