	1	2	3	4
Rhodobacteraceae	0.2248910787198613	0.0948102391314521	0.10833151377148383	0.07973755763092565
Desulfobacteraceae	0.148338237642282	0.053816275913706774	0.03371908044542874	0.05384797257359026
Bacteria unclassified	0.03535664590889391	0.07730825026908138	0.06419414205059422	0.0753930724671947
Proteobacteria unclassified	0.03234562832181391	0.05971266788338247	0.04738139056115288	0.06764984040666745
Alphaproteobacteria unclassified	0.03341773306872876	0.03954326360615845	0.035091549954770894	0.03428301217638019
Nonspecific/Host	0.01366363283834029	0.028499227853432542	0.08178670576125269	0.03360326279702092
Actinobacteria unclassified	0.013960172449189078	0.036127100004679676	0.02960167191740229	0.0339283603262797
Ectothiorhodospiraceae	0.03045233696024088	0.01216715803266414	0.008921051810723977	0.010580446861331127
Rhizobiales unclassified	0.021966741942106342	0.022743226168749124	0.019994385352007236	0.02048114434330299
Bradyrhizobiaceae	0.027851912680489976	0.018391127333988486	0.020680620106678312	0.020244709776569333
Rhodospirillaceae	0.020484043887862406	0.020216201038888108	0.018684300820362456	0.02187019742286322
Chromatiaceae	0.014347955017222108	0.0300903177500117	0.017374216288717676	0.027751507270362928
Desulfovibrionaceae	0.013207418052419078	0.02171369741213908	0.018060451043388753	0.02583047641565197
Sphingomonadaceae	0.015465681242729077	0.01413262202255604	0.01250818802832278	0.013801867833077196
Methylobacteriaceae	0.017016811514861195	0.013477467359258739	0.01191553074019776	0.01516136659179572
Deltaproteobacteria unclassified	0.007162572138963024	0.02101174598717769	0.011291680963224056	0.01997872088899397
Pseudomonadaceae	0.010378886379707566	0.01446019935420469	0.01185314576250039	0.015545572762737912
Rhizobiaceae	0.0156253564178015	0.012354345079320511	0.010449483764309554	0.011614848090790874
Phyllobacteriaceae	0.014690116106663017	0.010154897281108147	0.008952244299572663	0.009664262915238208
Gammaproteobacteria unclassified	0.00816624466798969	0.013571060882586925	0.012757727939112262	0.012294597470150137
Bacillaceae	0.00116334770409909	0.0011699190416023211	0.01924576561963879	0.00200969381723608
Chroococcales unclassified	0.029357421474029973	0.0012635125649305067	0.01597055429052684	0.0018323678921858375
Burkholderiales unclassified	0.006797600310226054	0.013758247929243296	0.009357746654605571	0.012590140678567207
Betaproteobacteria unclassified	0.005930792216975752	0.013149890027610089	0.007829314701019994	0.013417661662135004
Burkholderiaceae	0.005588631127534843	0.011231222799382283	0.008016469634112107	0.010314457973755763
Oscillatoriales unclassified	0.0072994365747393875	0.0008891384716177641	0.027854892541875915	0.0010935098711431612
Comamonadaceae	0.005155227080909692	0.006457953109644813	0.0061137278143423065	0.00904362217756236
Aurantimonadaceae	0.009033052761239991	0.005943188731339791	0.007111887457500234	0.006767939472750916
Xanthomonadaceae	0.004402472684139693	0.007019514249613927	0.00595776537009888	0.0067383851519092096
Myxococcales unclassified	0.001049294007618787	0.004398895596424727	0.004398140927664619	0.004699137013831422
Hyphomonadaceae	0.005520198909646661	0.002807805699845571	0.0065504226582239	0.0033987468967963115
Acetobacteraceae	0.00622733182782454	0.008517010622864897	0.005926572881250195	0.008777633289986996
Rhodospirillales unclassified	0.00622733182782454	0.010763255182741354	0.00583299541470414	0.007743232060527249
Aspergillaceae	2.2810739296060585e-05	0.0	0.00923297669921083	0.0
Terrabacteria group unclassified	0.003467232373001209	0.007534278627918948	0.008609126922237125	0.007299917247901643
Streptomycetaceae	0.0031022605442642395	0.006879123964621648	0.00595776537009888	0.007891003664735784
Eukaryota unclassified	0.00392344715892242	0.004492489119752913	0.006831155057862067	0.005467549355715805
Erythrobacteraceae	0.005155227080909692	0.0042585053114324485	0.0073926198571384015	0.004285376522047524
Halomonadaceae	0.006044845913456055	0.0032289765548224065	0.0028385164852303565	0.004108050596997281
Geobacteraceae	0.003558475330185451	0.008657400907857176	0.0048348357715462115	0.009634708594396501
Desulfobulbaceae	0.004767444512876662	0.007347091581262576	0.004897220749243582	0.00874807896914529
Hyphomicrobiaceae	0.005132416341613631	0.005381627591370677	0.005021990704638323	0.00472869133467313
Unclassified Gammaproteobacteria unclassified	0.004242797509067269	0.005943188731339791	0.0050843756823356935	0.006413287622650431
Marinilabiliaceae	0.0021670202331257556	0.00028078056998455706	0.001060544620855298	0.0002659888875753635
Alteromonadaceae	0.0016879947079084833	0.0007487481866254855	0.0008421971989145013	0.0008275209835677976
Caulobacteraceae	0.004128743812586966	0.0038373344564556133	0.0040550235503290805	0.0036351814635299682
Planctomycetes unclassified	0.0014370765756518168	0.006925920726285741	0.0036495211952961727	0.007743232060527249
Halanaerobiaceae	0.0009580510504345446	0.0	0.0	0.0
Phycisphaerae unclassified	0.001482698054243938	0.0072534980579343905	0.0040550235503290805	0.007506797493793593
Polyangiaceae	0.001049294007618787	0.005194440544714306	0.0046476808384541	0.004876462938881665
Methylocystaceae	0.004379661944843632	0.004586082643081099	0.0033064038179606353	0.0034578555384797258
Rhodocyclaceae	0.0030110175870799974	0.0036033506481351492	0.002900901462927727	0.00452181108878118
Microbacteriaceae	0.0015511302721321197	0.0031821797931583136	0.004460525905361988	0.003605627142688261
Enterobacteriaceae	0.002075777275941513	0.004164911788104264	0.0046476808384541	0.0034578555384797258
Planctomycetaceae	0.0007755651360660599	0.006036782254667977	0.003587136217598802	0.004462702447097766
Bacteroidetes unclassified	0.008485595018134538	0.0013571060882586925	0.002495399107894819	0.00150727036292706
Acidobacteria unclassified	0.0013002121398754533	0.003930927979783799	0.0033687887956580054	0.0033691925759546048
Nannocystaceae	0.0003421610894409088	0.001497496373250971	0.001715586886677688	0.0012117271545099893
Xanthobacteraceae	0.003421610894409088	0.002807805699845571	0.0025265915967435043	0.003103203688379241
Spirochaetaceae	0.005246470038093935	0.0032289765548224065	0.004398140927664619	0.0019801394963943728
Unclassified Bacteria unclassified	0.0014598873149478774	0.0031353830314942207	0.0039302535949343395	0.004758245655514836
Verrucomicrobia unclassified	0.0029882068477839366	0.0057092049230193275	0.0053339155931251755	0.0008570753044095047
Mycobacteriaceae	0.0015739410114281804	0.0036501474097992417	0.002588976574440875	0.003250975292587776
Oxalobacteraceae	0.0016879947079084833	0.0031821797931583136	0.003150441373717209	0.0029849864050124127
Opitutaceae	0.002098588015237574	0.00477326968973747	0.0028385164852303565	0.004699137013831422
Phycisphaeraceae	0.0012774014005793928	0.003088586269830128	0.0030880563960198385	0.002925877763328999
Desulfarculaceae	0.0020301557973493923	0.004960456736393842	0.0020275117751645403	0.004551365409622887
Anaerolineaceae	0.0003193503501448482	0.005007253498057934	0.0040550235503290805	0.004551365409622887
Myxococcaceae	0.000547457743105454	0.0021994477982123636	0.002776131507532986	0.0037238444260550892
Clostridiales unclassified	0.000980861789730605	0.004024521503111985	0.0025577840855921896	0.002659888875753635
Hypocreaceae	0.0	0.0	0.0	2.955432084170706e-05
Alcaligenaceae	0.001870480622276968	0.0017314801815714353	0.0016220094201316324	0.0024234543090199787
Flavobacteriaceae	0.00232669540819818	0.0012635125649305067	0.0017467793755263732	0.0008275209835677976
Gemmatimonadaceae	0.0004562147859212117	0.0016846834199073424	0.0020587042640132255	0.003103203688379241
Actinobacteria unclassified	0.0008439973539542417	0.0022462445598764565	0.0026201690632895597	0.0033987468967963115
Cyclobacteriaceae	0.0108807226442209	4.6796761664092844e-05	0.0003431173773355376	2.955432084170706e-05
Rhodobiaceae	0.002189830972421816	0.0018250737048996209	0.002245859197105337	0.0021574654214446152
Cystobacteraceae	0.0006387007002896964	0.002714212176517385	0.0022770516859540223	0.0028372148008038774
Nocardiaceae	0.0007299436574739387	0.0019654639898918995	0.002370629152500078	0.0024234543090199787
Nocardioidaceae	0.000547457743105454	0.001497496373250971	0.0031192488848685238	0.0018914765338692518
Bacteroidaceae	0.0018476698829809075	0.003088586269830128	0.0014972394647368914	0.002098356779761201
Rhodanobacteraceae	0.0013686443577636351	0.002386634844868735	0.0014660469758882061	0.0019801394963943728
Desulfohalobiaceae	0.000935240311138484	0.0020590575132200853	0.0009669671543092424	0.00200969381723608
Beijerinckiaceae	0.0023951276260863615	0.0017314801815714353	0.0016843943978290027	0.0017141506088190093
Sphingomonadales unclassified	0.0018932913615730285	0.0020122607515559924	0.002900901462927727	0.0018914765338692518
Firmicutes unclassified	0.0013458336184675745	0.0025738218915251064	0.0014972394647368914	0.002098356779761201
Anaeromyxobacteraceae	0.0007071329181778781	0.002433431606532828	0.002339436663651393	0.0025121172715450997
Bacteroidales unclassified	0.00232669540819818	0.0025270251298610135	0.0015284319535855766	0.0014481617212436459
Methylococcaceae	0.001208969182691211	0.0023398380832046423	0.0019027418197697995	0.0021574654214446152
Micrococcales unclassified	0.0007527543967699994	0.0022930413215405494	0.0014660469758882061	0.0018323678921858375
Isosphaeraceae	0.0004562147859212117	0.0025270251298610135	0.003025671418322468	0.002068802458919494
Hydrogenophilaceae	0.00036497182873696936	0.0013103093265945996	0.0009045821766118718	0.0007979666627260906
Aeromonadaceae	0.0015055087935399987	0.0019186672282278066	0.0014660469758882061	0.0022461283839697362
Sandaracinaceae	0.00043340404662515114	0.0013571060882586925	0.0016532019089803176	0.0017437049296607165
Kofleriaceae	0.0005018362645133329	0.001497496373250971	0.001341277020493465	0.0015959333254521812
Desulfomicrobiaceae	0.001642373229316362	0.0021994477982123636	0.0016220094201316324	0.0019801394963943728
Acidobacteriaceae	0.00020529665366454526	0.0016378866582432495	0.0014348544870395209	0.0028667691216455846
Verrucomicrobiaceae	0.001049294007618787	0.0018718704665637137	0.0014972394647368914	0.0027189975174370493
Paenibacillaceae	0.0011861584433951503	0.0017314801815714353	0.001715586886677688	0.0015959333254521812
Desulfonatronaceae	0.0011177262255069687	0.0025738218915251064	0.0013724695093421503	0.002098356779761201
Micrococcaceae	0.0007527543967699994	0.0022462445598764565	0.0016532019089803176	0.00150727036292706
Rhodothermaceae	0.00036497182873696936	0.0016378866582432495	0.001341277020493465	0.0018323678921858375
Unclassified Verrucomicrobia unclassified	0.0	0.0	0.0	0.005083343184773614
Thermaceae	0.0004562147859212117	0.001497496373250971	0.0014972394647368914	0.0022165740631280295
Methanosarcinaceae	0.0001596751750724241	9.359352332818569e-05	6.238497769737047e-05	0.00011821728336682824
Corynebacteriales unclassified	0.0006158899609936358	0.0011699190416023211	0.0011541220874013538	0.0015959333254521812
Cyanobacteria unclassified	0.0010721047469148476	0.0005615611399691141	0.0032440188402632648	0.00032509752925877764
