	1	2	3	4
Bacteria unclassified	0.03535664590889391	0.07730825026908138	0.06419414205059422	0.0753930724671947
Desulfatitalea	0.10928625196742627	0.017408395339042537	0.008328394522598958	0.015722898687788155
Proteobacteria unclassified	0.03234562832181391	0.05971266788338247	0.04738139056115288	0.06764984040666745
Rhodobacteraceae unclassified	0.06040283765596843	0.028078056998455708	0.031130103870987864	0.023879891240099302
Nonspecific/Host	0.01366363283834029	0.028499227853432542	0.08178670576125269	0.03360326279702092
Alphaproteobacteria unclassified	0.02880996373092452	0.034489213346436426	0.02966405689509966	0.02943610355834023
Actinobacteria unclassified	0.013960172449189078	0.036127100004679676	0.02960167191740229	0.03369192575954605
Paracoccus	0.029334610734733913	0.01118442603771819	0.013443962693783337	0.011614848090790874
Rhizobiales unclassified	0.015283195328360592	0.022743226168749124	0.015190742069309711	0.014599834495803286
Desulfovibrio	0.01170190925887908	0.01909307875894988	0.015876976823980784	0.023052370256531503
Thioalkalivibrio	0.01564816715709756	0.008517010622864897	0.0063632677251317885	0.007063482681167987
Pseudomonas	0.009808617897306051	0.013571060882586925	0.011322873452072741	0.014304291287386216
Methylobacterium	0.014484819452998472	0.012588328887640976	0.009607286565395053	0.012501477716042085
Gammaproteobacteria unclassified	0.00816624466798969	0.013571060882586925	0.012757727939112262	0.012294597470150137
Rhodobacter	0.019161021008690892	0.009640132902803127	0.008390779500296328	0.006590613547700674
Bacillus	0.0004105933073290905	0.000608357901633207	0.01840356842072429	0.0007388580210426764
Desulfotignum	0.01521476311047241	0.002807805699845571	0.0029320939517764122	0.002127911100602908
Desulfococcus	0.012659960309313625	0.016332069820768402	0.008266009544901587	0.01746660361744887
Bradyrhizobium	0.012659960309313625	0.007019514249613927	0.007174272435197604	0.007713677739685542
Unclassified Deltaproteobacteria unclassified	0.003307557197928785	0.012120361271000047	0.0061137278143423065	0.011792174015841116
Mesorhizobium	0.00891899906475969	0.006832327202957555	0.005614647992763342	0.0059699728100248255
Roseovarius	0.010333264901115444	0.0042585053114324485	0.0046476808384541	0.003576072821846554
Sphingomonas	0.00814343392869363	0.0057092049230193275	0.006207305280888362	0.006265516018441896
Azospirillum	0.006387007002896964	0.00608357901633207	0.006394460213980473	0.006442841943492139
Aspergillus	0.0	0.0	0.009201784210362145	0.0
Terrabacteria group unclassified	0.003467232373001209	0.007534278627918948	0.008609126922237125	0.007299917247901643
Rhizobium	0.0075047332284039325	0.006130375777996163	0.004304563461118563	0.005024234543090199
Burkholderia	0.0038778256803302996	0.007534278627918948	0.005396300570822546	0.006945265397801158
Eukaryota unclassified	0.00392344715892242	0.004492489119752913	0.006831155057862067	0.005467549355715805
Bosea	0.006820411049522115	0.005334830829706584	0.004491718394210674	0.006354178980967017
Oceanicola	0.00823467688587787	0.004679676166409285	0.003961446083783025	0.0029849864050124127
Jannaschia	0.009557699765049386	0.0036501474097992417	0.0040550235503290805	0.002689443196595342
Streptomyces	0.0027829101941193916	0.006036782254667977	0.005396300570822546	0.006974819718642866
Burkholderiales unclassified	0.0030110175870799974	0.007534278627918948	0.00517795314888175	0.006265516018441896
Halomonas	0.005657063345423025	0.002761008938181478	0.0024018216413487633	0.0036351814635299682
Unclassified Rhizobiales unclassified	0.0065010606993772665	0.0	0.004741258305000156	0.0057039839224494624
Aureimonas	0.005611441866830904	0.002901399223173756	0.005240338126579119	0.004610474051306301
Ectothiorhodospira	0.007185382878259084	0.0008891384716177641	0.0007174272435197604	0.0006797493793592623
Betaproteobacteria unclassified	0.0029882068477839366	0.006270766062988441	0.004304563461118563	0.005290223430665563
Deltaproteobacteria unclassified	0.0033303679372248454	0.006925920726285741	0.004398140927664619	0.006442841943492139
Roseivivax	0.00622733182782454	0.003977724741447892	0.003431173773355376	0.002659888875753635
Geobacter	0.0027829101941193916	0.007581075389583041	0.003961446083783025	0.008600307364936754
Rhodovulum	0.007162572138963024	0.0026206186531891992	0.0032128263514145795	0.0031918666509043623
Marinobacter	0.001642373229316362	0.0006551546632972998	0.0006862347546710752	0.0006797493793592623
Planctomycetes unclassified	0.0014370765756518168	0.006925920726285741	0.0036495211952961727	0.007743232060527249
Halanaerobium	0.0009580510504345446	0.0	0.0	0.0
Unclassified Gammaproteobacteria unclassified	0.003398800155113027	0.00510084702138612	0.004273370972269878	0.00531977775150727
Ectothiorhodospiraceae unclassified	0.005885170738383631	0.0007955449482895784	0.0007798122212171309	0.0006797493793592623
Ponticoccus	0.007527543967699993	0.0021994477982123636	0.0034935587510527464	0.002453008629861686
Phycisphaerae unclassified	0.001482698054243938	0.0072534980579343905	0.0040550235503290805	0.007506797493793593
Loktanella	0.0042884189876593905	0.0009827319949459498	0.0015596244424342619	0.0018028135713441305
Enhygromyxa	0.000273728871552727	0.0011699190416023211	0.0017779718643750584	0.0013594987587185246
Unclassified Rhodospirillales unclassified	0.003626907548073633	0.006879123964621648	0.00333759630680932	0.005497103676557513
Desulfobulbus	0.003626907548073633	0.0057092049230193275	0.003587136217598802	0.006561059226858967
Hyphomonas	0.0031250712835603003	0.0011231222799382282	0.004023831061480396	0.0018914765338692518
Thiocapsa	0.0032163142407445424	0.005989985493003884	0.0026201690632895597	0.004640028372148008
Unclassified Alphaproteobacteria unclassified	0.0029882068477839366	0.0025270251298610135	0.0039302535949343395	0.0029554320841707056
Chromatiaceae unclassified	0.0030110175870799974	0.006598343394637091	0.0038678686172369694	0.006206407376758482
Bacteroidetes unclassified	0.008485595018134538	0.0013571060882586925	0.002495399107894819	0.00150727036292706
Plesiocystis	0.0003421610894409088	0.001497496373250971	0.001715586886677688	0.0012117271545099893
Desulfosarcina	0.0032619357193366637	0.00510084702138612	0.0028385164852303565	0.004787799976356543
Citreicella	0.005246470038093935	0.0023398380832046423	0.0023082441748027076	0.0017732592505024234
Unclassified Bacteria unclassified	0.0014598873149478774	0.0031353830314942207	0.0039302535949343395	0.004758245655514836
Verrucomicrobia unclassified	0.0029882068477839366	0.0057092049230193275	0.0053339155931251755	0.0008570753044095047
Mycobacterium	0.0015739410114281804	0.0036501474097992417	0.002588976574440875	0.003250975292587776
Unclassified Betaproteobacteria unclassified	0.001984534318757271	0.0031353830314942207	0.0014036619981908356	0.0038420617094219174
Leptolyngbya	0.0023723168867903007	4.6796761664092844e-05	0.008952244299572663	0.00023643456673365647
Devosia	0.002805720933415452	0.0028546024615096637	0.0031192488848685238	0.0028076604799621703
Ruegeria	0.0054973881703506014	0.0012635125649305067	0.0017467793755263732	0.0009457382669346259
Synechococcus	0.0013230228791715139	0.0007955449482895784	0.0058641879035528244	0.0007388580210426764
Xanthomonadaceae unclassified	0.0016879947079084833	0.002714212176517385	0.0027137465298356154	0.0023052370256531505
Porphyrobacter	0.0020529665366454527	0.002480228368196921	0.003711906172993543	0.0025121172715450997
Phycisphaera	0.0012774014005793928	0.003088586269830128	0.0030880563960198385	0.002925877763328999
