	1	2	3	4
Proteobacteria	0.7977827961404229	0.6806588984042304	0.5868242927103153	0.6733952003782953
Bacteria unclassified	0.03535664590889391	0.07730825026908138	0.06419414205059422	0.0753930724671947
Actinobacteria	0.03001893291361573	0.0752491927558613	0.06721981346891669	0.07604326752571226
Nonspecific/Host	0.013686443577636351	0.028639618138424822	0.08181789825010137	0.033810143042912875
Firmicutes	0.010766668947740596	0.018391127333988486	0.03293926822421161	0.01737794065492375
Cyanobacteria	0.04053468372909966	0.004398895596424727	0.05592813250569263	0.0044922567679394725
Bacteroidetes	0.03382832637605785	0.013149890027610089	0.014754047225428116	0.010875990069748197
Planctomycetes	0.0054973881703506014	0.026112593008563806	0.01781091113259927	0.024973401111242462
Verrucomicrobia	0.007459111749811812	0.014319809069212411	0.011104526030131944	0.01557512708357962
Ascomycota	4.562147859212117e-05	0.00023398380832046422	0.00976324900963848	5.910864168341412e-05
Acidobacteria	0.0023723168867903007	0.007487481866254855	0.0063632677251317885	0.00913228514008748
Chloroflexi	0.001094915486210908	0.010903645467733633	0.012009108206743816	0.01205816290341648
Terrabacteria group unclassified	0.003467232373001209	0.007534278627918948	0.008609126922237125	0.007299917247901643
Eukaryota unclassified	0.00392344715892242	0.004492489119752913	0.006831155057862067	0.005467549355715805
Euryarchaeota	0.0007299436574739387	0.004586082643081099	0.0019651267974671698	0.00452181108878118
Spirochaetes	0.005360523734574237	0.0034629603631428705	0.004616488349605415	0.0022165740631280295
Unclassified Bacteria unclassified	0.0014598873149478774	0.0031353830314942207	0.0039302535949343395	0.004758245655514836
Deinococcus-Thermus	0.0010036725290266657	0.002480228368196921	0.002807323996381671	0.004167159238680695
Gemmatimonadetes	0.0004562147859212117	0.0016846834199073424	0.0020587042640132255	0.003103203688379241
Parcubacteria group unclassified	0.0006387007002896964	0.0010763255182741354	0.0008733896877631866	0.0009161839460929187
Bacteria candidate phyla unclassified	0.00018248591436848468	0.0018250737048996209	0.0006550422658223899	0.0012412814753516965
Synergistetes	0.00018248591436848468	0.001497496373250971	0.0006862347546710752	0.0008275209835677976
Armatimonadetes	9.124295718424234e-05	0.00028078056998455706	0.00028073239963816713	0.0013890530795602318
Chlorobi	0.0007071329181778781	4.6796761664092844e-05	0.0002495399107894819	0.00050242345430902
Archaea unclassified	6.843221788818175e-05	0.0013571060882586925	0.0007486197323684457	0.001063955550301454
Candidatus Rokubacteria	0.00018248591436848468	0.0009359352332818569	0.00037430986618422284	0.0005615320959924341
Thermotogae	0.00036497182873696936	9.359352332818569e-05	9.357746654605571e-05	0.0002955432084170706
Nitrospirae	4.562147859212117e-05	0.00037437409331274275	0.00046788733273027855	0.00032509752925877764
Microgenomates group unclassified	0.0001368644357763635	0.0007487481866254855	0.00012476995539474094	0.0002955432084170706
Nitrospinae	0.0	0.0	3.1192488848685235e-05	0.0005615320959924341
PVC group unclassified	0.0001596751750724241	0.0003275773316486499	0.00037430986618422284	0.00038420617094219177
Cloacimonetes	0.00020529665366454526	9.359352332818569e-05	0.00028073239963816713	0.0002955432084170706
Patescibacteria group unclassified	0.0001596751750724241	0.00023398380832046422	0.00018715493309211142	0.0004137604917838988
FCB group unclassified	2.2810739296060585e-05	9.359352332818569e-05	9.357746654605571e-05	0.0002955432084170706
Nanoarchaeota	6.843221788818175e-05	0.0004211708549768356	0.00018715493309211142	0.0002659888875753635
Candidatus Moranbacteria	0.0001368644357763635	0.00023398380832046422	0.0002495399107894819	0.00017732592505024234
Candidate division NC10	0.0	0.0007955449482895784	0.00021834742194079665	0.0006501950585175553
Chlamydiae	0.00022810739296060586	0.00014039028499227853	9.357746654605571e-05	0.00011821728336682824
Marinimicrobia	6.843221788818175e-05	9.359352332818569e-05	0.00018715493309211142	0.0001477716042085353
Omnitrophica	2.2810739296060585e-05	0.0007955449482895784	0.00012476995539474094	0.0005615320959924341
Fusobacteria	0.0001368644357763635	0.00018718704665637137	9.357746654605571e-05	0.0001477716042085353
Bacteroidetes/Chlorobi group unclassified	9.124295718424234e-05	0.0	0.0001559624442434262	5.910864168341412e-05
Candidatus Uhrbacteria	6.843221788818175e-05	0.0003275773316486499	0.0001559624442434262	0.00011821728336682824
Thaumarchaeota	4.562147859212117e-05	0.00018718704665637137	6.238497769737047e-05	0.0002068802458919494
Candidatus Peregrinibacteria	9.124295718424234e-05	0.00023398380832046422	9.357746654605571e-05	0.0002068802458919494
Candidatus Falkowbacteria	6.843221788818175e-05	0.00023398380832046422	9.357746654605571e-05	0.0002659888875753635
Candidatus Atribacteria	4.562147859212117e-05	4.6796761664092844e-05	3.1192488848685235e-05	0.00011821728336682824
Candidatus Parcubacteria	2.2810739296060585e-05	0.0003275773316486499	0.0	0.00047286913346731294
Candidatus Magasanikbacteria	0.0	4.6796761664092844e-05	3.1192488848685235e-05	0.0002068802458919494
Latescibacteria	0.00011405369648030293	0.0	0.0	0.0001477716042085353
Chrysiogenetes	0.0	0.00018718704665637137	0.0	0.00011821728336682824
Candidatus Hydrogenedentes	4.562147859212117e-05	4.6796761664092844e-05	9.357746654605571e-05	5.910864168341412e-05
Candidate division Zixibacteria	0.0	4.6796761664092844e-05	0.0	2.955432084170706e-05
Ignavibacteriae	0.0	0.000608357901633207	0.0	0.0
Candidatus Nomurabacteria	6.843221788818175e-05	0.0	6.238497769737047e-05	0.0
Candidatus Woesebacteria	4.562147859212117e-05	9.359352332818569e-05	6.238497769737047e-05	0.00011821728336682824
Candidatus Aminicenantes	0.0	0.00018718704665637137	3.1192488848685235e-05	5.910864168341412e-05
Tenericutes	4.562147859212117e-05	0.0	3.1192488848685235e-05	2.955432084170706e-05
Candidatus Wolfebacteria	6.843221788818175e-05	9.359352332818569e-05	3.1192488848685235e-05	2.955432084170706e-05
Candidatus Campbellbacteria	4.562147859212117e-05	4.6796761664092844e-05	3.1192488848685235e-05	2.955432084170706e-05
Candidatus Acetothermia	0.0	0.0	0.0	0.00023643456673365647
