	1	2	3	4
Bacteria unclassified	0.034307351901275124	0.0758575506574945	0.06313359742973892	0.07409268235015959
Desulfatitalea tepidiphila	0.1068911243413399	0.013571060882586925	0.006176112792039677	0.012678803641092327
Proteobacteria unclassified	0.03234562832181391	0.05971266788338247	0.04738139056115288	0.06764984040666745
Alphaproteobacteria unclassified	0.02880996373092452	0.034489213346436426	0.02966405689509966	0.02943610355834023
Nonspecific	0.011017587079997263	0.021854087697131357	0.07504912816993668	0.02659888875753635
Actinobacteria unclassified	0.013960172449189078	0.035518742103046466	0.028665897251941734	0.032893959096819955
Rhodobacteraceae unclassified	0.03152444170715573	0.016472460105760683	0.017187061355625564	0.013949639437285732
Rhizobiales unclassified	0.015283195328360592	0.019280265805606253	0.015190742069309711	0.014599834495803286
Gammaproteobacteria unclassified	0.00816624466798969	0.013571060882586925	0.012757727939112262	0.012294597470150137
Pseudomonas unclassified	0.00816624466798969	0.013571060882586925	0.011166911007829315	0.012885683886984278
Desulfococcus oleovorans	0.012659960309313625	0.016332069820768402	0.008266009544901587	0.01746660361744887
Methylobacterium unclassified	0.007938137275029084	0.009874116711123591	0.007111887457500234	0.00803877526894432
Thioalkalivibrio unclassified	0.008257487625173933	0.005943188731339791	0.004491718394210674	0.004610474051306301
Aspergillus sp. Z5	0.0	0.0	0.009201784210362145	0.0
Rhodobacteraceae bacterium HLUCCA09	0.009968293072378476	0.00444569235808882	0.004928413238092268	0.0033987468967963115
Terrabacteria group unclassified	0.003467232373001209	0.007534278627918948	0.008609126922237125	0.007299917247901643
Paracoccus unclassified	0.010059536029562718	0.004398895596424727	0.004897220749243582	0.0043149308428892304
Eukaryota unclassified	0.00392344715892242	0.004492489119752913	0.006831155057862067	0.005467549355715805
Burkholderia unclassified	0.0037181505052578754	0.007534278627918948	0.005396300570822546	0.006945265397801158
Desulfotignum unclassified	0.009033052761239991	0.0012635125649305067	0.0014972394647368914	0.0011821728336682824
Bradyrhizobium unclassified	0.005406145213166359	0.005989985493003884	0.004398140927664619	0.005910864168341411
Streptomyces unclassified	0.0027829101941193916	0.005989985493003884	0.005396300570822546	0.006945265397801158
Burkholderiales unclassified	0.0030110175870799974	0.007534278627918948	0.00517795314888175	0.006265516018441896
Homo sapiens	0.0026460457583430278	0.006645140156301184	0.006737577591316011	0.007004374039484573
Ectothiorhodospira sp. PHS-1	0.007185382878259084	0.0008891384716177641	0.0007174272435197604	0.0006797493793592623
Betaproteobacteria unclassified	0.0029882068477839366	0.006270766062988441	0.004304563461118563	0.005290223430665563
Mesorhizobium unclassified	0.004721823034284541	0.005194440544714306	0.004117408528026451	0.003605627142688261
Deltaproteobacteria unclassified	0.0033303679372248454	0.006925920726285741	0.004398140927664619	0.006442841943492139
Sphingomonas unclassified	0.003786582723146057	0.005522017876362956	0.004366948438815933	0.005083343184773614
Rhizobium unclassified	0.004174365291179087	0.005194440544714306	0.004242178483421192	0.0042262678803641094
Ectothiorhodospiraceae unclassified	0.005885170738383631	0.0007955449482895784	0.0007798122212171309	0.0006797493793592623
Bacillus sp. NSP9.1	0.0	0.0	0.007642159767927883	0.0
Enhygromyxa salina	0.000273728871552727	0.0011699190416023211	0.0017779718643750584	0.0013594987587185246
