	1	2	3	4
PF00384	0.001043125	0.000950782	0.000717082	0.000976296
PF08770	2.61E-05	0	1.72E-05	2.27E-05
PF14697	0.000360747	0.00039578	0.000288205	0.000363273
PF09459	8.69E-06	0	6.86E-06	3.24E-06
PF02635	0.00022601	0.000191066	0.000198999	0.000246507
PF12800	0.000612836	0.000800659	0.000511221	0.000814121
PF09242	3.48E-05	9.10E-06	1.37E-05	1.30E-05
PF01568	0.000312937	0.000327542	0.000274481	0.00030489
PF04879	0.000278167	0.000236558	0.000154396	0.000252994
PF01058	0.000334669	0.000373034	0.000367119	0.000376247
PF02665	0.000104312	0.000100082	8.58E-05	0.000113523
PF04358	6.08E-05	7.28E-05	6.18E-05	5.84E-05
PF13501	3.91E-05	2.73E-05	1.72E-05	1.62E-05
PF13247	0.000343362	0.000441272	0.000250464	0.000376247
PF17179	9.13E-05	0.000131927	7.89E-05	0.000165419
PF03916	0.000217318	0.000304796	0.000240171	0.000278942
PF10418	9.13E-05	0.000204714	0.000109792	0.000201098
PF02662	0.000252088	0.000400329	0.000123517	0.000385978
PF01747	0.000126044	0.000172869	0.000164689	0.000165419
PF14306	0.000113005	0.000150124	0.000137241	0.00012001
PF00374	0.000339015	0.000318444	0.000360257	0.000454091
PF12139	4.35E-05	2.27E-05	2.40E-05	4.87E-05

