	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Actinobacteria unclassified_class_1760	648	148	612	927	669	772	1026	906	949	891	881	1148
Actinobacteria unclassified_phylum_201174	53	11	37	88	62	48	47	102	84	73	59	115
Thermotogae unclassified_class_188708	0	2	3	0	0	0	2	2	1	0	0	0
Gemmatimonadetes unclassified_class_219685	0	0	0	0	0	0	0	0	0	4	0	0
Thermotogae unclassified	0	0	0	0	0	0	1	0	0	0	0	1
Rhodobacterales	5355	2615	10141	9156	5529	2095	4211	3885	3715	2844	1433	2835
Rhizobiales	3242	1226	5440	6291	3352	2128	3540	2780	3027	3393	1406	3364
Desulfobacterales	513	508	6722	204	5500	1316	1687	8042	1251	913	3757	2132
Bacteria unclassified	1438	479	1550	1925	1651	1652	1938	2156	2058	2401	2537	2551
Proteobacteria unclassified	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Chromatiales	561	1337	2004	839	2706	923	886	2321	877	701	875	1339
Alphaproteobacteria unclassified	1123	446	1465	1821	1088	845	1197	942	1125	1105	622	1160
Rhodospirillales	922	383	1444	1681	1006	844	1096	864	976	1081	527	1299
Burkholderiales	833	195	927	1570	794	779	1514	1054	909	1193	674	1267
Myxococcales	903	21	257	1570	1253	505	1338	601	757	823	593	878
Sphingomonadales	681	121	987	1559	821	436	777	438	731	462	319	676
Desulfovibrionales	229	377	775	225	525	642	714	1264	732	417	951	1124
Gammaproteobacteria unclassified	392	193	566	560	639	427	619	654	604	550	430	654
Bacillales	100	89	145	1142	98	97	1994	380	726	111	109	198
Pseudomonadales	344	126	483	496	466	326	531	499	398	447	329	545
Deltaproteobacteria unclassified	304	38	314	326	368	449	449	517	362	383	583	676
Bacteroidales	240	790	429	121	941	171	305	515	215	156	224	199
Chroococcales	246	130	1287	449	497	27	276	341	512	165	28	62
Xanthomonadales	290	75	285	555	317	227	499	308	274	474	203	336
Betaproteobacteria unclassified	266	53	260	437	252	281	449	267	251	399	238	454
Micrococcales	190	46	188	393	212	225	461	267	303	278	240	319
Oscillatoriales	191	9	320	580	190	19	398	97	893	246	3	37
Desulfuromonadales	80	26	211	120	189	244	217	391	233	153	312	439
Corynebacteriales	174	49	148	339	170	169	288	242	230	266	202	292
Oceanospirillales	125	207	277	145	310	81	156	552	123	150	64	160
Eurotiales	0	0	1	657	0	0	1062	247	296	1	0	0
Terrabacteria group unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Streptomycetales	142	36	136	224	175	147	225	203	191	224	206	267
Eukaryota unclassified	294	27	172	295	351	96	227	87	219	116	69	185
Planctomycetales	154	1	57	206	95	188	156	219	221	166	240	229
Alteromonadales	98	1151	98	38	120	23	64	136	52	44	22	41
Clostridiales	70	97	109	95	103	158	156	218	181	102	201	196
Halanaerobiales	2	1155	89	1	4	0	3	379	0	1	18	0
Planctomycetes unclassified	99	2	63	37	67	148	90	192	117	135	400	262
Caulobacterales	145	31	181	279	143	82	154	113	130	185	46	123
Phycisphaerae unclassified	88	0	65	46	44	155	85	220	130	117	319	254
Rhodocyclales	96	16	132	152	104	77	195	144	93	163	60	153
Enterobacteriales	61	28	91	162	82	89	208	127	149	109	88	117
Cytophagales	128	87	514	157	156	9	96	44	34	26	16	19
Bacteroidetes unclassified	82	67	372	110	110	29	131	79	80	49	33	51
Acidobacteria unclassified	122	1	57	142	73	84	135	115	108	129	97	114
Spirochaetales	30	73	232	7	140	70	57	179	143	48	66	68
Unclassified Bacteria unclassified	40	39	64	49	91	67	89	176	126	54	87	161
Verrucomicrobia unclassified	14	42	131	18	113	122	117	20	171	75	185	29
Opitutales	47	24	92	55	63	102	70	89	91	62	84	159
Phycisphaerales	87	11	56	88	60	66	123	94	99	88	65	99
Desulfarculales	36	17	89	27	53	106	56	131	65	53	126	154
Propionibacteriales	43	10	34	114	39	42	207	87	108	56	73	81
Anaerolineales	31	0	14	54	30	107	67	92	130	77	138	154
Flavobacteriales	87	51	111	109	108	32	135	91	64	41	33	31
Verrucomicrobiales	43	9	65	78	44	74	75	128	80	31	82	158
Hypocreales	0	0	0	2	0	0	1	1	0	796	0	1
Gemmatimonadales	67	0	20	108	40	36	77	77	66	124	73	105
Syntrophobacterales	29	1	59	14	54	112	35	82	68	44	138	155
Methylococcales	29	17	65	64	66	50	87	85	78	51	42	85
Firmicutes unclassified	41	37	59	45	60	55	60	85	48	42	80	71
Streptosporangiales	42	6	31	72	34	56	52	59	71	79	54	90
Nostocales	43	18	51	123	50	17	97	41	117	52	9	20
Hydrogenophilales	72	1	16	51	26	28	124	41	29	161	15	27
Aeromonadales	31	16	66	51	50	41	52	58	47	42	49	76
Neisseriales	31	14	41	66	51	39	95	49	49	47	27	65
Acidobacteriales	62	1	9	73	17	35	70	31	46	72	24	97
Solibacterales	73	0	20	48	42	23	82	34	30	47	35	50
Sphingobacteriales	11	19	37	128	97	1	69	53	29	25	2	4
Bacteroidetes Order II. Incertae sedis	26	10	16	56	27	35	33	69	43	45	50	62
