PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF00001	1.0433294730142832e-05	0.0	0.0	9.117259351838837e-05	4.4316222839694926e-05	4.5491972941374495e-05	1.106382350988737e-05	1.0087119085165547e-05	3.43101431076069e-05	1.3685194899984034e-05	0.0	2.9191587633146074e-05
PF00002	0.0	0.0	0.0	7.597716126532364e-06	4.431622283969492e-06	0.0	3.687941169962457e-06	0.0	0.0	0.0	0.0	6.487019474032461e-06
PF00003	4.6949826285642746e-05	0.0	0.0	3.798858063266182e-05	3.102135598778645e-05	0.0	2.212764701977474e-05	0.0	3.43101431076069e-06	1.8246926533312046e-05	0.0	9.730529211048691e-06
PF00004	0.003589053387169134	0.0037183908691598233	0.0034770816853414927	0.0033543916698640388	0.0035231397157557466	0.0035574722840154855	0.0034851044056145217	0.0036246381246028197	0.0035030656112866646	0.0033619962137627444	0.003947439571729844	0.0038889681746824604
PF00005	0.011852222813442257	0.013716481121583518	0.013725779952885543	0.011639701105847583	0.012209119392335953	0.01191434771334598	0.010905242039578985	0.012353358506299405	0.011847292415056663	0.011317656182286796	0.012686713059827211	0.012036664634067232
PF00006	0.0010328961782841404	0.0010559780716043003	0.0011430906040560157	0.001105467696410459	0.0010901790818564953	0.001082708956004713	0.0010621270569491875	0.001102858353311433	0.0008989257494193008	0.0011723650297652988	0.0013061075084543424	0.0011579329761147942
PF00008	1.5649942095214247e-05	1.1233809272386174e-05	1.3039056320030598e-05	4.1787438695928005e-05	2.6589733703816956e-05	3.63935783530996e-05	3.687941169962457e-05	1.3449492113554062e-05	2.0586085864564142e-05	9.123463266656023e-06	2.0797890262011823e-05	2.5948077896129843e-05
PF00009	0.0018101766356797813	0.001954682813395194	0.0019384730395778822	0.0017778655736085732	0.0019011659598229124	0.0018242281149491173	0.001663261467653068	0.0017013607523645889	0.001650317883475892	0.0018566247747645007	0.0017595015161662002	0.001719060160618602
PF00010	5.216647365071416e-06	1.1233809272386174e-05	0.0	2.2793148379597092e-05	4.431622283969492e-06	1.3647591882412348e-05	1.8439705849812285e-05	0.0	3.43101431076069e-06	0.0	0.0	9.730529211048691e-06
PF00011	0.00044863167339614175	0.0005616904636193086	0.0005867575344013769	0.0004254721030858124	0.0005761108969160341	0.0005822972536495936	0.0005015599991148942	0.0005379796845421625	0.00043230780315584694	0.0005017904796660813	0.0005698621931791239	0.0005319355968706618
PF00012	0.0015284776779659248	0.0011233809272386173	0.0012169785898695224	0.0015499340898126022	0.0014092558863022986	0.0013147180180057229	0.0014198573504355459	0.0011432068296520952	0.0015439564398423106	0.0013411491001984353	0.0013269053987163542	0.0013590305798098007
PF00013	0.00025039907352342796	0.00026961142253726815	0.00029120559114735004	0.00026212120636536656	0.0002836238261740475	0.0002684026403541095	0.0002470920583874846	0.0002589027231859157	0.00025389505899629106	0.00021440138676641652	0.0002911704636681655	0.0003308379931756555
PF00014	1.0433294730142832e-05	0.0	0.0	7.597716126532364e-06	0.0	0.0	1.8439705849812285e-05	0.0	6.86202862152138e-06	9.123463266656023e-06	0.0	6.487019474032461e-06
PF00015	0.0006051310943482842	0.001628902344495995	0.0011648223645894002	0.0006192138643123877	0.0007711022774106917	0.0004594689267078824	0.0011174461744986243	0.0009750881782326694	0.001019011250295925	0.0006203955021326095	0.0005074685223930885	0.0005676142039778403
PF00016	8.346635784114265e-05	0.0001235719019962479	0.0001521223237336903	7.597716126532364e-05	9.306406796335935e-05	9.098394588274899e-05	0.00011432617626883616	8.069695268132437e-05	9.949941501206001e-05	0.00012772848573318433	0.00012062776351966856	5.838317526629215e-05
PF00017	5.216647365071416e-06	0.0	0.0	2.2793148379597092e-05	4.431622283969492e-06	4.54919729413745e-06	0.0	3.3623730283885156e-06	0.0	0.0	0.0	3.2435097370162304e-06
PF00018	1.5649942095214247e-05	0.0	0.0	5.318401288572655e-05	3.102135598778645e-05	1.3647591882412348e-05	2.9503529359699655e-05	1.6811865141942578e-05	6.86202862152138e-06	4.5617316333280116e-06	1.2478734157207093e-05	3.5678607107178535e-05
PF00019	0.0	0.0	0.0	3.798858063266182e-06	0.0	4.54919729413745e-06	0.0	0.0	0.0	0.0	0.0	3.2435097370162304e-06
PF00020	4.6949826285642746e-05	0.0	0.0	1.1396574189798546e-05	0.0	4.54919729413745e-06	0.0	0.0	0.0	4.5617316333280116e-06	0.0	3.2435097370162304e-06
PF00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43101431076069e-06	0.0	0.0	0.0
PF00022	0.00011998288939664256	6.740285563431704e-05	7.823433792018359e-05	0.00011396574189798547	0.00010192731253129833	9.098394588274899e-05	7.007088222928668e-05	3.698610331227367e-05	7.20513005259745e-05	6.386424286659216e-05	4.575535857642601e-05	5.838317526629215e-05
PF00023	0.0011476624203157115	0.0004156509430782884	0.00034336181642747243	0.0009877030964492073	0.0006736065871633628	0.0005004117023551195	0.0006675173517632047	0.0004572827318608381	0.000586703447140078	0.0006067103072326255	0.0005074685223930885	0.0004248997755491262
PF00024	5.216647365071416e-06	0.0	1.3039056320030598e-05	1.5195432253064728e-05	1.772648913587797e-05	2.2745986470687248e-05	3.687941169962457e-06	1.0087119085165547e-05	6.86202862152138e-06	1.8246926533312046e-05	4.159578052402364e-06	3.2435097370162304e-06
PF00025	0.0002556157208884994	0.0001235719019962479	9.996609845356791e-05	0.0002317303418592371	0.0001772648913587797	0.00025475504847169715	0.00022865235253767232	0.00016139390536264875	0.00023330897313172694	0.00012772848573318433	0.00015806396599128984	0.00016866250632484398
PF00026	2.608323682535708e-05	0.0	0.0	2.2793148379597092e-05	1.3294866851908478e-05	0.0	2.212764701977474e-05	0.0	0.0	1.8246926533312046e-05	4.159578052402364e-06	6.487019474032461e-06
PF00027	0.0009650797625382119	0.0007751328397946459	0.0012126322377628456	0.0010940711222206605	0.0010192731253129833	0.0009325854452981771	0.0010953185274788497	0.0009683634321758925	0.0011699758799693953	0.0009944574960655064	0.0008319156104804728	0.0009244002750496257
PF00028	0.0001669327156822853	5.6169046361930866e-05	0.00013473691530698284	0.00011396574189798547	0.00014624353537099325	0.00011372993235343623	7.007088222928668e-05	5.716034148260476e-05	8.234434345825657e-05	4.5617316333280114e-05	5.407451468123074e-05	5.838317526629215e-05
PF00030	1.0433294730142832e-05	0.0	4.346352106676866e-06	7.597716126532364e-06	1.3294866851908478e-05	4.54919729413745e-06	3.687941169962457e-06	6.724746056777031e-06	6.86202862152138e-06	9.123463266656023e-06	8.319156104804728e-06	9.730529211048691e-06
PF00031	0.0	0.0	4.346352106676866e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PF00032	9.91162999363569e-05	8.987047417908939e-05	6.954163370682985e-05	9.877030964492074e-05	7.976920111145087e-05	5.459036752964939e-05	5.900705871939931e-05	5.043559542582773e-05	8.234434345825657e-05	5.9302511233264146e-05	4.9914936628828374e-05	3.2435097370162304e-05
PF00033	0.00013041618412678539	0.00013480571126863407	0.00012169785898695226	0.00020893719347964002	0.0001152221793832068	0.00010918073505929878	0.00014751764679849828	0.00010087119085165546	9.263738639053864e-05	0.00017334580206646442	8.319156104804729e-05	8.757476289943823e-05
PF00034	0.0006938140995544983	0.0004268847523506746	0.0005302549570145777	0.0008243521997287615	0.000549521163212217	0.0003502881916485836	0.000556879116664331	0.0003933976443214563	0.0005009280893710608	0.0006432041602992495	0.0002703725734061537	0.000408682226864045
PF00035	0.00010433294730142832	0.00015727332981340644	0.00011300515477359851	0.00011016688383471928	8.863244567938985e-05	8.643474858861154e-05	0.0001364538232886109	0.00011095830993682102	7.891332914749587e-05	4.5617316333280114e-05	0.0001289469196244733	0.00010379231158451937
PF00036	0.00041211514184064183	0.00020220856690295112	0.0001782004363737515	0.0003608915160102873	0.0001816965136427492	0.0002411074565892848	0.00027659558774718423	0.00014794441324909467	0.00022644694451020555	0.00030563601943297674	0.0001955001684629111	0.00025299375948726596
PF00037	0.002295324840631423	0.0030555961220890392	0.0028077434609132556	0.001375186618902358	0.0026589733703816956	0.0038941128837816567	0.0021611335255979996	0.0035708401561486036	0.0024840543609907398	0.0026001870309969666	0.004662886996743051	0.0038013934117830223
PF00038	0.0	0.0	0.0	3.798858063266182e-06	0.0	0.0	7.375882339924914e-06	0.0	0.0	0.0	0.0	3.2435097370162304e-06
PF00040	0.0	0.0	0.0	0.0	0.0	0.0	3.687941169962457e-06	0.0	0.0	0.0	0.0	3.2435097370162304e-06
PF00041	0.0002921322524439993	0.00023590999472010963	0.0002694738306139657	0.0002545234902388342	0.0003102135598778645	0.0003684849808251334	0.0002802835289171467	0.00031606306466852043	0.00029506723072541933	0.0002873890928996647	0.0003410854002969939	0.00042814328528614244
PF00042	3.1299884190428495e-05	1.1233809272386174e-05	3.477081685341493e-05	4.1787438695928005e-05	1.3294866851908478e-05	1.3647591882412348e-05	4.0567352869587025e-05	1.0087119085165547e-05	1.0293042932282071e-05	9.123463266656023e-06	8.319156104804728e-06	3.2435097370162304e-06
PF00043	0.0001930159525076424	0.0001685071390857926	0.0001521223237336903	0.00032670179344089164	0.0001329486685190848	8.643474858861154e-05	0.0002212764701977474	7.397220662454734e-05	0.0001784127441595559	0.0002828273612663367	5.407451468123074e-05	7.46007239513733e-05
PF00044	0.00027648231034878507	0.00030331285035442666	0.0002477420700805814	0.0002355291999225033	0.0002481708479022916	0.00027295183764824694	0.0002470920583874846	0.0003026135725549664	0.0002401710017532483	0.0002417717765663846	0.0002454151050917395	0.0002659677984353309
PF00045	5.216647365071416e-06	0.0	4.346352106676866e-06	3.798858063266182e-06	4.431622283969492e-06	9.0983945882749e-06	1.4751764679849828e-05	0.0	0.0	0.0	0.0	6.487019474032461e-06
PF00046	1.0433294730142832e-05	1.1233809272386174e-05	0.0	3.798858063266182e-05	0.0	1.3647591882412348e-05	1.4751764679849828e-05	6.724746056777031e-06	1.715507155380345e-05	1.3685194899984034e-05	0.0	2.5948077896129843e-05
PF00047	1.5649942095214247e-05	0.0	1.3039056320030598e-05	5.318401288572655e-05	2.2158111419847463e-05	6.368876211792429e-05	1.8439705849812285e-05	1.6811865141942578e-05	3.087912879684621e-05	1.3685194899984034e-05	4.1595780524023646e-05	7.784423368838953e-05
PF00050	2.608323682535708e-05	0.0	4.346352106676866e-06	3.0390864506129456e-05	3.102135598778645e-05	1.81967891765498e-05	2.5815588189737197e-05	2.0174238170331093e-05	1.715507155380345e-05	3.649385306662409e-05	1.2478734157207093e-05	1.6217548685081152e-05
PF00052	0.0	1.1233809272386174e-05	8.692704213353732e-06	7.597716126532364e-06	0.0	9.0983945882749e-06	3.687941169962457e-06	1.0087119085165547e-05	3.43101431076069e-06	4.5617316333280116e-06	8.319156104804728e-06	3.2435097370162304e-06
PF00053	0.0	0.0	8.692704213353732e-06	1.5195432253064728e-05	0.0	9.0983945882749e-06	0.0	0.0	6.86202862152138e-06	9.123463266656023e-06	1.6638312209609456e-05	2.5948077896129843e-05
PF00054	5.216647365071416e-06	2.2467618544772348e-05	3.477081685341493e-05	7.597716126532364e-06	1.3294866851908478e-05	2.2745986470687248e-05	3.319147052966211e-05	1.6811865141942578e-05	2.401710017532483e-05	2.2808658166640057e-05	1.6638312209609456e-05	7.135721421435707e-05
PF00055	0.0	0.0	0.0	0.0	0.0	0.0	3.687941169962457e-06	0.0	0.0	0.0	0.0	3.2435097370162304e-06
PF00056	0.0002451824261583565	0.00019097475763056495	0.00022601030954719702	0.00031530521925109313	0.0002481708479022916	0.00023655825929514736	0.0002397161760475597	0.00024881560410075016	0.00022987795882096625	0.00022352485003307256	0.0002079789026201182	0.00025299375948726596
PF00057	0.0	0.0	0.0	7.597716126532364e-06	8.863244567938985e-06	1.3647591882412348e-05	1.106382350988737e-05	6.724746056777031e-06	6.86202862152138e-06	9.123463266656023e-06	4.159578052402364e-06	9.730529211048691e-06
PF00058	2.608323682535708e-05	0.0	4.346352106676866e-06	4.1787438695928005e-05	0.0	4.5491972941374495e-05	1.106382350988737e-05	1.6811865141942578e-05	3.774115741836759e-05	1.3685194899984034e-05	2.0797890262011823e-05	4.2165626581210996e-05
PF00059	7.303306311099983e-05	0.0	2.173176053338433e-05	4.5586296759194184e-05	7.090595654351188e-05	5.0041170235511943e-05	5.531911754943685e-05	5.716034148260476e-05	3.087912879684621e-05	5.0179047966608125e-05	3.743620247162128e-05	8.757476289943823e-05
PF00060	0.0	1.1233809272386174e-05	3.0424464746738064e-05	4.5586296759194184e-05	1.3294866851908478e-05	1.81967891765498e-05	1.8439705849812285e-05	3.3623730283885156e-06	3.087912879684621e-05	2.2808658166640057e-05	8.319156104804728e-06	3.2435097370162304e-06
PF00061	5.216647365071416e-06	2.2467618544772348e-05	4.346352106676866e-06	7.597716126532364e-06	1.3294866851908478e-05	4.54919729413745e-06	1.4751764679849828e-05	1.6811865141942578e-05	1.0293042932282071e-05	9.123463266656023e-06	8.319156104804728e-06	9.730529211048691e-06
PF00062	0.0	0.0	0.0	0.0	0.0	0.0	7.375882339924914e-06	0.0	0.0	4.5617316333280116e-06	0.0	3.2435097370162304e-06
PF00063	0.0002556157208884994	1.1233809272386174e-05	3.0424464746738064e-05	0.00014055774834084874	0.00010635893481526782	5.0041170235511943e-05	4.794323520951194e-05	6.724746056777031e-06	3.774115741836759e-05	5.4740779599936135e-05	8.319156104804728e-06	4.5409136318227226e-05
PF00066	1.0433294730142832e-05	0.0	0.0	0.0	4.431622283969492e-06	0.0	0.0	0.0	0.0	0.0	4.159578052402364e-06	6.487019474032461e-06
PF00067	0.0003025655471741421	7.863666490670322e-05	0.0001651613800537209	0.0006344092965654524	0.0002570340924702306	0.00012282832694171113	0.000427801175715645	0.0001075959369084325	0.00026761911623933383	0.00035125333576625686	7.071282689084019e-05	0.0001167663505325843
PF00068	5.216647365071416e-06	0.0	0.0	0.0	0.0	0.0	3.687941169962457e-06	0.0	0.0	0.0	0.0	0.0
PF00069	0.00471584921802456	0.0005729242728916949	0.0019602048001112664	0.004927118908056238	0.0033325799575450584	0.0035756690731920354	0.004233756463116901	0.002750421137221806	0.004573542076244	0.0042789042720616744	0.003252790036978649	0.003730036197568665
PF00070	0.0016015107410769247	0.002067020906119056	0.0018471996453376682	0.0014929512188636097	0.001825828380995431	0.002074433966126677	0.0016669494088230304	0.0020073366979479436	0.0014375949962087292	0.0015646739502315078	0.0017595015161662002	0.0018163654527290892
