Genera	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Oceanicola	0.008649946196506912	0.007298737318443909	0.008348751156336725	0.008474991427031793	0.005277872874586329	0.004816955684007707	0.005073947011848819	0.004363047340369945	0.004314298332031117	0.0036720623501199042	0.00299704516673702	0.0030887794733783906
Jannaschia	0.008484396987004388	0.007006787825706153	0.009690101757631823	0.008254543673149463	0.005991098938719616	0.0037572254335260114	0.0048721423011502864	0.0036576444769568397	0.0044162108910554745	0.003372302158273381	0.0020683832840861123	0.002782959723538946
Bosea	0.007573876334740502	0.004525217137435224	0.006914893617021276	0.007936119139763876	0.006019627981284948	0.005491329479768786	0.005535214922016894	0.00415403908454384	0.004891802833169141	0.0059202637889688246	0.001646264246517518	0.0065751246215480594
Aureimonas	0.007325552520486714	0.00481716663017298	0.005689176688251619	0.007103316513986185	0.0047072920232796986	0.0029865125240847784	0.004180240435898175	0.0032396279653046293	0.005707103305363998	0.00644484412470024	0.0015618404390037991	0.004770788097495336
Burkholderia	0.00716000331098419	0.00321144442011532	0.00393154486586494	0.006515455836966639	0.00473582106584503	0.007755298651252409	0.0064289214979675385	0.004728811788065629	0.005876957570404593	0.008280875299760192	0.00595187842971718	0.007186764121226949
Unclassified Rhizobiales unclassified	0.00716000331098419	0.0	0.006591119333950046	0.008597462401410865	0.004964053406367682	0.0	0.005218093233776343	0.00407566098860905	0.005163569657234093	0.007756294964028777	0.0	0.005902321171901282
Roseivivax	0.00678751758960351	0.0060579519743084445	0.006313598519888991	0.006637926811345711	0.004279356384799726	0.004094412331406551	0.005045117767463315	0.002403594942000209	0.003736793830893094	0.0039718225419664265	0.0018573237653018151	0.0027523777485550017
Rhizobium	0.006663355682476616	0.0029194949273775635	0.007608695652173913	0.009699701170822516	0.0049069953212370196	0.006310211946050096	0.005708190388329922	0.003553140349043787	0.004687977715120427	0.007643884892086331	0.0035457999155761926	0.005198935747270559
Betaproteobacteria unclassified	0.006663355682476616	0.002335595941902051	0.0030296022201665124	0.0047763680007838144	0.0036231884057971015	0.0064547206165703275	0.00588116585464295	0.0038405267008046816	0.004687977715120427	0.00644484412470024	0.005276487969607429	0.005474173522126059
Terrabacteria group unclassified	0.006663355682476616	0.00240858331508649	0.003515263644773358	0.0053152402880517315	0.005049640534063677	0.007755298651252409	0.006054141320955978	0.005251332427630892	0.009375955430240853	0.0075689448441247	0.007851414098775855	0.007553747821034283
Azospirillum	0.006415031868222829	0.006349901467046201	0.0064754856614246065	0.007201293293489443	0.005934040853588954	0.006262042389210019	0.005909995099028454	0.004545929564217787	0.006964024866664402	0.0077937649880095924	0.004558885605740819	0.006666870546499893
Hoeflea	0.006125320751593411	0.0017516969564265383	0.0021970397779833488	0.0030862685543526186	0.0015405682985279014	0.0012524084778420038	0.002277510306454868	0.0008099069913261573	0.0012908924143085233	0.002398081534772182	0.0005909666525960321	0.0006422214746628337
Rhodovulum	0.005918384239715255	0.005547040362017371	0.007261794634597595	0.00580512418556802	0.004792879150975694	0.002697495183044316	0.0038631187476576238	0.003527014317065524	0.0034989978598362606	0.003372302158273381	0.002743773744195863	0.003302853298266002
Unclassified Alphaproteobacteria unclassified	0.005876996937339624	0.0035033939128530766	0.0030296022201665124	0.006295008083084309	0.002938491384229145	0.002601156069364162	0.0035748263038025774	0.0014891838227609991	0.004280327479022998	0.00644484412470024	0.0017728999577880963	0.0030581974983944463
Burkholderiales unclassified	0.005835609634963993	0.003138457046930881	0.0030527289546716002	0.0044334492725224125	0.0041937692571037315	0.007755298651252409	0.006082970565341482	0.0046504336921308394	0.00563916159934776	0.008093525179856115	0.00595187842971718	0.006483378696596227
Ponticoccus	0.005587285820710206	0.005547040362017371	0.007631822386679001	0.006001077744574536	0.0047072920232796986	0.0022639691714836222	0.0032000461267910167	0.0030567457414567875	0.0038047355369093317	0.0030725419664268585	0.0018573237653018151	0.0025383039236673904
Plesiocystis	0.005380349308832051	0.0	0.0003469010175763182	0.006809386175476412	0.007874015748031496	0.0015414258188824663	0.006169458298497996	0.0008360330233044205	0.001868396915446547	0.002585431654676259	0.0010130856901646263	0.001253860974341723
Streptomyces	0.005338962006456419	0.002262608568717612	0.0028214616096207215	0.00497232155979033	0.004650233938149036	0.0062138728323699426	0.0057658488771009314	0.004676559724109102	0.005876957570404593	0.0073441247002398085	0.007724778387505277	0.007217346096210893
Unclassified Rhodospirillales unclassified	0.005214800099329526	0.0028465075541931244	0.0036771507863089734	0.005633664821437319	0.0025961428734451674	0.007080924855491329	0.002652290483466428	0.00224683875013063	0.0036348812718687367	0.004421462829736211	0.00299704516673702	0.00568824734701367
Acidobacteria unclassified	0.005049250889827001	7.298737318443909e-05	0.00011563367252543941	0.0004898838975162886	0.0003138194682186466	0.0004816955684007707	0.0008072188427941303	0.00039189047967394715	0.00033970853008119035	0.0005620503597122302	0.0004643309413254538	0.00021407382488761124
Hyphomonas	0.00500786358745137	0.0007298737318443909	0.0031683626271970396	0.005462205457306618	0.0031381946821864657	0.0011560693641618498	0.006198287542883501	0.005617096875326575	0.004382240038047355	0.005283273381294964	0.0001266357112705783	0.0019572463989724455
Ruegeria	0.0047181524708219515	0.002262608568717612	0.005573543015726179	0.005266251898300103	0.0025961428734451674	0.001300578034682081	0.0018162423962867933	0.0013585536628696834	0.0019023677684546659	0.0010491606714628297	0.0005487547488391727	0.0009786231994862228
Citreicella	0.0046767651684463205	0.004087292898328589	0.005319148936170213	0.0042374957135158965	0.0027958461714024875	0.0024084778420038534	0.002018047106985326	0.0017504441425436304	0.0025138431226008084	0.0026229016786570745	0.0013085690164626425	0.0018349184990366677
Haliangium	0.004221504842314378	0.0	0.0005087881591119334	0.0016656052515553815	0.0007988131918292822	0.0015414258188824663	0.0015567791968172514	0.0012017974710001045	0.0014607466793491184	0.0022482014388489208	0.0017728999577880963	0.001651426649133001
Leisingera	0.004180117539938747	0.0025545580614553683	0.004093432007400555	0.004041542154509381	0.002995549469359808	0.0010115606936416184	0.0015567791968172514	0.001280175566934894	0.002004280327479023	0.0008992805755395684	0.0005065428450823132	0.0007033854246307227
Thioclava	0.004097342935187484	0.0027735201810086857	0.004070305272895467	0.0034781756723656493	0.002852904256533151	0.001445086705202312	0.0022486810620693633	0.0015414358867175254	0.0024798722695926895	0.0018735011990407674	0.001055297593921486	0.0009480412245022784
Oceanicaulis	0.004055955632811853	0.009707320633530398	0.001341350601295097	0.0020330181746925978	0.002909962341663814	0.0011560693641618498	0.0014991207080462421	0.0010711673111087887	0.0013928049733328803	0.001199040767386091	0.00021105951878429716	0.001192697024373834
Devosia	0.003890406423309329	0.0013867600905043429	0.0028445883441258093	0.00453142605202567	0.002367910532922515	0.0029383429672447015	0.0018162423962867933	0.0014108057268262097	0.0033970853008119034	0.0028851918465227816	0.0013929928239763613	0.002905287623474724
Aestuariivita	0.0038490191209336975	0.00240858331508649	0.004509713228492137	0.003992553764757752	0.002025562022138537	0.0010115606936416184	0.0017297546631302794	0.0015675619186957886	0.001936338621462785	0.0013489208633093526	0.0008864499788940482	0.0013150249243096118
Synechococcus	0.0038076318185580665	0.00029194949273775636	0.001341350601295097	0.0060500661343261646	0.0015690973410932329	0.0008188824662813102	0.004064923458356157	0.00039189047967394715	0.006386520365526378	0.0036720623501199042	0.0004643309413254538	0.0007645493745986116
Unclassified Gammaproteobacteria unclassified	0.003724857213806804	0.0028465075541931244	0.003445883441258094	0.003821094400627051	0.004650233938149036	0.005250481695568401	0.004180240435898175	0.004336921308391682	0.004654006862112307	0.005620503597122302	0.004178978471929084	0.005504755497110003
Bradyrhizobiaceae unclassified	0.0036006953066799107	0.002335595941902051	0.0026133209990749306	0.002890314995346103	0.0017688006390505534	0.0023121387283236996	0.0020468763513708304	0.0013846796948479465	0.002683697387641404	0.0024730215827338128	0.0014352047277332207	0.0024159760237316124
Phycisphaera	0.0036006953066799107	0.00080286110502883	0.0012950971322849213	0.00215548914907167	0.0017117425539198905	0.003179190751445087	0.0035459970594170728	0.0024558470059567353	0.0033631144478037845	0.0032973621103117505	0.002743773744195863	0.003027615523410502
Xanthomonadaceae unclassified	0.0035179207019286484	0.0014597474636887818	0.0017113783533765031	0.0026698672414637733	0.001683213511354559	0.0027938342967244703	0.0034883385706460635	0.0020639565262827882	0.002955464211706356	0.00490857314148681	0.002110595187842972	0.002385394048747668
Bacteroidetes unclassified	0.003393758794801755	0.004890154003357419	0.008603145235892692	0.0026943614363395874	0.0031381946821864657	0.0013969171483622352	0.00377663101450111	0.0020639565262827882	0.002717668240649523	0.0018360311750599521	0.0013929928239763613	0.0015596807241811676
Porphyrobacter	0.0033523714924261236	0.00029194949273775636	0.0020814061054579094	0.0032822221133591337	0.003309368937578455	0.002552986512524085	0.0029117536829359704	0.0015936879506740517	0.004042531507966165	0.00161121103117506	0.002321654706627269	0.0025994678736352794
Erythrobacter	0.00322820958529923	0.0	0.0016651248843663274	0.0035516582569930927	0.002539084788314504	0.0005780346820809249	0.0023063395508403726	0.0004963946075869996	0.002072222033495261	0.00033723021582733815	0.0	0.000856295299550445
Mycobacterium	0.003104047678172337	0.0020436464491642944	0.0015957446808510637	0.0031107627492284328	0.0021682072349651946	0.0037572254335260114	0.0028252659497794565	0.0022729647821088934	0.00281958079967388	0.004084232613908873	0.003588011819333052	0.003364017248233891
Deltaproteobacteria unclassified	0.0030626603757967054	0.0026275454346398074	0.0033765032377428305	0.002326948513202371	0.0038514207463197533	0.007129094412331407	0.004007264969585147	0.005172954331696102	0.004789890274144784	0.004608812949640288	0.008991135500211059	0.006666870546499893
Thiobacillus	0.0029798857710454435	0.0	0.00030064754856614246	0.001249203938666536	0.0005420518087412986	0.001300578034682081	0.0034306800818750542	0.0008621590552826836	0.0006454462071542617	0.005770383693045563	0.0005487547488391727	0.0007339673996146671
Unclassified Betaproteobacteria unclassified	0.0029798857710454435	0.0010948105977665863	0.0020120259019426458	0.0034781756723656493	0.0020540910647038686	0.0032273603082851638	0.003603655548188082	0.001854948270456683	0.0015286883853653564	0.004721223021582734	0.002321654706627269	0.0039756567479127805
Sphingomonadaceae unclassified	0.0029798857710454435	0.001532734836873221	0.0020120259019426458	0.003061774359476804	0.002367910532922515	0.0035645472061657034	0.0025658027503099143	0.0017504441425436304	0.0034310561538200223	0.002547961630695444	0.0020261713803292527	0.0030581974983944463
Novosphingobium	0.002938498468669812	0.0004379242391066346	0.0022432932469935245	0.0037231176211237936	0.0019970329795732057	0.0017822736030828517	0.0017297546631302794	0.0010189152471522624	0.0014947175323572375	0.0012365107913669064	0.0006331785563528915	0.0019878283739563902
Myxococcales unclassified	0.0028557238639185497	0.00036493686592219544	0.0007863089731729879	0.0031352569441042474	0.003252310852447792	0.0027938342967244703	0.0034883385706460635	0.0018288222384784199	0.0023439888575602134	0.0034097721822541967	0.0030814689742507386	0.0028747056484907797
Unclassified Verrucomicrobia unclassified	0.0028143365615429187	0.0	0.0	0.0017390878361828246	0.0	0.0	0.0	0.004023408924652524	0.0	0.0	0.0	0.005260099697238447
Celeribacter	0.0027729492591672873	0.0021166338223487335	0.003954671600370028	0.003821094400627051	0.002025562022138537	0.0015414258188824663	0.0015279499524317468	0.0018288222384784199	0.0018004552094303089	0.0015737410071942446	0.0007598142676234699	0.0013761888742775008
Erythrobacteraceae unclassified	0.0027315619567916563	0.0005838989854755127	0.001364477335800185	0.0019595355900651544	0.0024534976606185098	0.0012524084778420038	0.0014702914636607375	0.0007837809593478943	0.001936338621462785	0.0010491606714628297	0.0008864499788940482	0.0009786231994862228
Leptolyngbya	0.0027315619567916563	0.0	0.0024051803885291397	0.005045804144417773	0.0022823234052265205	4.816955684007707e-05	0.003517167815031568	0.0008882850872609468	0.009749634813330162	0.0036720623501199042	0.0	0.0002446557998715557
Pseudoruegeria	0.0026901746544160253	0.0027735201810086857	0.003746530989824237	0.0031352569441042474	0.0027102590437064933	0.0018304431599229288	0.0019027301294433072	0.0015936879506740517	0.001868396915446547	0.0019484412470023981	0.001266357112705783	0.0013456068992935563
Rhodospirillaceae unclassified	0.0026901746544160253	0.0021896211955331727	0.002358926919518964	0.002890314995346103	0.001683213511354559	0.0023603082851637765	0.0021333640845273443	0.0010189152471522624	0.001970309474470904	0.003110011990407674	0.0010975094976783454	0.0027217957735710574
Sorangium	0.002607400049664763	0.0	0.0006012950971322849	0.0019595355900651544	0.0021111491498345316	0.0029383429672447015	0.002421656528382391	0.0012017974710001045	0.0023779597105683323	0.002772781774580336	0.0028281975517095823	0.002507721948683446
Aurantimonas	0.0025660127472891315	0.0021166338223487335	0.002173913043478261	0.00215548914907167	0.001911445851877211	0.002071290944123314	0.0012396575085767002	0.001463057790782736	0.0008492713252029758	0.0019109712230215828	0.0008020261713803293	0.0015596807241811676
Rhodopseudomonas	0.0025246254449135005	0.0027735201810086857	0.003260869565217391	0.003919071180130309	0.001797329681615885	0.002023121387283237	0.0019027301294433072	0.00224683875013063	0.0024798722695926895	0.0015737410071942446	8.442380751371887e-05	0.002354812073763724
Sulfitobacter	0.0024832381425378696	0.0007298737318443909	0.002752081406105458	0.0031107627492284328	0.0011982197877439234	0.00028901734104046245	0.001326145241733214	0.00047026857560873654	0.0018004552094303089	0.00018735011990407674	0.0003376952300548755	0.00021407382488761124
Haematobacter	0.002400463537786607	0.0013137727173199037	0.0021970397779833488	0.0016656052515553815	0.0015405682985279014	0.001300578034682081	0.0005765848877100931	0.0007054028634131048	0.0012908924143085233	0.0009367505995203837	0.0005065428450823132	0.000856295299550445
Roseobacter	0.0023590762354109758	0.0010948105977665863	0.002335800185013876	0.0020575123695684124	0.0015976263836585643	0.0006262042389210019	0.0008648773315651397	0.0006270247674783154	0.0010870672962598092	0.0011241007194244604	0.0005487547488391727	0.0005810575246949448
Candidatus Solibacter	0.0023176889330353448	0.0	0.00046253469010175765	0.0008817910155293195	0.0010270455323519343	0.0010597302504816955	0.001758583907515784	0.0006792768314348417	0.0007473587661786188	0.0013114508393285373	0.001266357112705783	0.0011009510994220008
Unclassified Burkholderiales unclassified	0.002276301630659714	0.0007298737318443909	0.0008788159111933396	0.0014206633027972371	0.0003994065959146411	0.0014932562620423892	0.0016144376855882607	0.00033963841571742084	0.0013928049733328803	0.0009367505995203837	0.0008020261713803293	0.0015596807241811676
Chondromyces	0.002276301630659714	0.0	0.00046253469010175765	0.002277960123450742	0.00151203925596257	0.002167630057803468	0.002335168795225877	0.0015414358867175254	0.0023779597105683323	0.0024355515587529976	0.0020261713803292527	0.002324230098779779
Actinobacteria unclassified_phylum_201174	0.0021935270259084514	0.00080286110502883	0.0008556891766882516	0.00215548914907167	0.0017688006390505534	0.0023121387283236996	0.0013549744861187187	0.0026648552617828405	0.002853551652681999	0.0027353117505995203	0.0024905023216547067	0.003516927123153613
Magnetospirillum	0.0021935270259084514	0.00240858331508649	0.00272895467160037	0.0027923382158428454	0.0022823234052265205	0.0017341040462427746	0.0024504857727678958	0.001463057790782736	0.0026497265346332845	0.003334832134292566	0.0013929928239763613	0.0033945992232178356
Sphingomonadales unclassified	0.00215213972353282	0.0008758484782132691	0.0019195189639222942	0.0026943614363395874	0.0019399748944425425	0.002071290944123314	0.0016144376855882607	0.0010711673111087887	0.00315928932975507	0.0016861510791366906	0.0011819333051920641	0.0019572463989724455
Geobacter	0.00215213972353282	0.00029194949273775636	0.0028214616096207215	0.0021309949541958558	0.002852904256533151	0.007803468208092485	0.004007264969585147	0.006191869578848364	0.004314298332031117	0.0036720623501199042	0.0089489235964542	0.008899354720327839
