Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Bacteria_unclassified	1408	457	1504	1872	1616	1621	1882	2121	2024	2366	2511	2507
Desulfatitalea_tepidiphila	164	236	4686	39	3047	290	895	5089	198	454	2633	429
Proteobacteria_unclassified	1089	343	1418	1661	1320	1276	1591	1547	1519	1471	1283	2289
Alphaproteobacteria_unclassified	938	360	1263	1479	919	737	1009	831	951	883	546	996
Nonspecific1	576	191	483	738	793	467	1095	685	2406	766	641	900
Actinobacteria_unclassified1	634	148	612	902	660	759	992	880	919	862	855	1113
Rhodobacteraceae_unclassified	756	377	1382	1235	839	352	583	559	551	443	265	472
Rhizobiales_unclassified	492	201	670	828	503	412	530	432	487	540	294	494
Gammaproteobacteria_unclassified	293	137	358	362	426	290	410	431	409	368	296	416
Pseudomonas_unclassified	297	110	358	412	357	290	435	390	358	366	300	436
Desulfococcus_oleovorans	104	9	555	22	633	349	62	531	265	54	201	591
Methylobacterium_unclassified	195	125	348	368	237	211	257	211	228	204	143	272
Thioalkalivibrio_unclassified	146	284	362	138	420	127	154	452	144	161	157	156
Aspergillus_sp._Z5	0	0	0	656	0	0	1050	242	295	0	0	0
Rhodobacteraceae_bacterium_HLUCCA09	156	105	437	351	280	95	164	155	158	162	52	115
Terrabacteria_group_unclassified	161	33	152	217	177	161	210	201	276	202	186	247
Paracoccus_unclassified	208	119	441	351	213	94	153	148	157	113	62	146
Eukaryota_unclassified	294	27	172	295	351	96	227	87	219	116	69	185
Burkholderia_unclassified	173	36	163	253	166	161	211	181	173	221	141	235
Desulfotignum_unclassified	39	83	396	4	685	27	37	592	48	19	80	40
Bradyrhizobium_unclassified	180	68	237	272	176	128	179	140	141	203	114	200
Streptomyces_unclassified	129	30	122	203	163	128	200	177	173	194	182	235
Burkholderiales_unclassified	141	43	132	181	147	161	211	178	166	216	141	212
Homo_sapiens	237	0	116	293	241	142	198	64	216	104	65	237
Ectothiorhodospira_sp._PHS-1	40	361	315	18	397	19	12	454	23	9	96	23
