	PATHWAY 	PATHWAY NAME 
	1	Sulfite oxidation 
	2	Thiosulfate oxidation 
	3	Tetrathionate oxidation 
	4	Tetrathionate reduction 
	5	Sulfate reduction DS
	6	Elemental sulfur reduction 
	7	Thiosulfate disproportion 
	8	Carbon disulfide oxidation 
	9	Alkanesulfonate degradation 
	10	Sulfate reduction A
	11	Sulfide oxidation 
	12	Cysteate oxidation 
	13	Dimethylsulfone oxidation 
	14	Sulfoacetate oxidation 
	15	Sulfolactate oxidation 
	16	DMS oxidation 
	17	DMSP oxidation 
	18	MTP oxidation 
	19	Suloacetaldehyde oxidation 
	20	Elemental sulfur oxidation 
	21	Elemental sulfur disproportion 
	22	Methanesulfonate oxidation 
	23	Taurine oxidation 
	24	DMS methanogenesis 
	25	MTP methanogesis 
	26	Methanethiol methanogenesis 
	27	Homotaurine degradation 
	28	SQDG biosynthesis 
	29	Marker genes 
