	mean	std
PF00374	0.6936249999999999	0.02216778550703265
PF00384	0.34650000000000003	0.013606721028331409
PF01058	0.428	0.007348469228349432
PF01747	0.9968750000000001	0.014406719662312007
PF02635	0.361375	0.025933637836381064
PF02662	0.5008750000000001	0.021087826549251953
PF04358	0.5155000000000001	0.004242640687109257
PF04945	0.21450000000000002	0.036402511687283916
PF08770	0.32875	0.016368523801142718
PF09242	0.329125	0.023685061597072666
PF10418	0.46325	0.02873400175998575
PF12139	0.9061249999999998	0.004703721930580279
PF13501	0.354375	0.02825869019308189
