	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Erythrobacteraceae	0.009767403360648953	0.0008758484782132691	0.005226641998149861	0.009503747611815999	0.008615770854730115	0.004383429672447013	0.00668838469743708	0.0028738635176089457	0.008051092162924212	0.002997601918465228	0.0032503165892781767	0.004434386372671947
Acetobacteraceae	0.008484396987004388	0.005182103496095176	0.006313598519888991	0.008205555283397835	0.00681844117311423	0.008766859344894027	0.0059964828321849685	0.0050423241718047865	0.006454462071542617	0.0080560551558753	0.005487547488391726	0.009082846570231505
Hyphomicrobiaceae	0.006704742984852247	0.0029924823005620027	0.005203515263644773	0.008891392739920638	0.004250827342234395	0.005539499036608863	0.004353215902211203	0.0032657539972828927	0.005469307334307164	0.006969424460431655	0.0026593499366821443	0.004893115997431114
Terrabacteria group unclassified	0.006663355682476616	0.00240858331508649	0.003515263644773358	0.0053152402880517315	0.005049640534063677	0.007755298651252409	0.006054141320955978	0.005251332427630892	0.009375955430240853	0.0075689448441247	0.007851414098775855	0.007553747821034283
Caulobacteraceae	0.006001158844466518	0.002262608568717612	0.004185938945420907	0.006833880370352227	0.004079653086842406	0.00394990366088632	0.004439703635367717	0.002952241613543735	0.0044162108910554745	0.00693195443645084	0.001941747572815534	0.003761582923025169
Streptomycetaceae	0.005876996937339624	0.0026275454346398074	0.0031452358926919517	0.0054866996521824325	0.004992582448933014	0.007080924855491329	0.006486579986738548	0.0053035844915874176	0.006488432924550735	0.008393285371702638	0.008695652173913044	0.008165387320713171
Polyangiaceae	0.005380349308832051	7.298737318443909e-05	0.0010638297872340426	0.0044089550776465975	0.003765833618623759	0.005346820809248555	0.004929800789921297	0.0028477374856306823	0.005061657098209736	0.005508093525179856	0.005065428450823132	0.0050460258723508365
Nannocystaceae	0.005380349308832051	0.0	0.0003469010175763182	0.006809386175476412	0.007874015748031496	0.0015414258188824663	0.006169458298497996	0.0008360330233044205	0.001868396915446547	0.002585431654676259	0.0010130856901646263	0.001253860974341723
Acidobacteria unclassified	0.005049250889827001	7.298737318443909e-05	0.0013182238667900092	0.0034781756723656493	0.0020826201072692	0.004046242774566474	0.0038919479920431284	0.003004493677500261	0.0036688521248768556	0.00483363309352518	0.004094554664415365	0.003486345148169669
Methylocystaceae	0.004345666749441272	0.004671191883804102	0.004440333024976873	0.0047763680007838144	0.0025676138308798357	0.004720616570327553	0.004007264969585147	0.0024558470059567353	0.0036009104188606178	0.00483363309352518	0.0024905023216547067	0.003578091073121502
Kofleriaceae	0.004221504842314378	0.0	0.0005087881591119334	0.0016656052515553815	0.0007988131918292822	0.0015414258188824663	0.0015567791968172514	0.0012017974710001045	0.0014607466793491184	0.0022482014388489208	0.0017728999577880963	0.001651426649133001
Xanthobacteraceae	0.004014568330436222	0.00321144442011532	0.003469010175763182	0.004041542154509381	0.0035661303206664385	0.002890173410404624	0.002738778216622942	0.0019333263663914725	0.0027516390936576417	0.00427158273381295	0.001646264246517518	0.0032111073733141686
